–	barrennig verr
🦕	dinosaor, saoropod
🦖	dinosaor, tiranosaor roue
🐋	balum, loen
🐬	delfin, loen
🦭	morleon, reunig
🐟️	loen, pesk, pesked
🐠	pesk, pesk trovanel, trovanel
🐡	loar-vor, pesk
🦈	pesk, rinkin
🐙	loen, morgazh
🐚	krogenn, krogenn droellennek, troellenn
🐌	loen, maligorn
🦋	amprevan, balafenn
🐛	amprevan, biskoulenn
🐜	amprevan, merienenn
🐝	amprevan, gwenanenn
🪲	amprevan, cʼhwil
🐞	amprevan, buocʼhan
🦗	amprevan, krank-raden
🪳	amprevan, cʼhwil-du
🕷️	kevnidenn
🕸️	gwiad, gwiad-kevnid, kevnid
🦂	krug, loen
🦟	amprevan, moustik
🪰	kelienenn, kleñved
🪱	buzhugenn, loen
🦠	bakterienn, mikrob
💐	bleunioù, boked, boked bleunioù
🌸	bleunienn gerez, bleuñv, kerez
💮	bleunienn wenn, bleuñv
🏵️	plantenn, rozetenn
🌹	bleunienn, rozenn
🥀	boked, boked goeñvet, goeñviñ
🌺	bleunienn, hibiskuz
🌻	bleunienn, tro-heol
🌼	bleunienn, broñs
🌷	bleunienn, tulipezenn
🌱	strujenn, strujenn yaouank, yaouank
🪴	plantenn, plantenn podet, pod, ti
🌲	avalpineg, gwez
🌳	deliaoueg, gwez
🌴	gwez, gwez-palmez, palmez
🌵	kaktuz, plant
🌾	plant, plant riz, riz
🌿	delienn, louzaouenn
☘️	melchon, plant
🍀	4, melchon peder, plant
🍁	delienn, delienn skav-gwracʼh, skav-gwracʼh
🍂	delienn, delioù secʼh
🍃	avel, delienn, delienn en avel
🍄	kabell-touseg, tog-touseg
🍇	frouezh, rezin
🍈	frouezh, meloñs
🍉	frouezh, pastekez
🍊	frouezh, mandarin, orañjez
🍋	frouezh, sitroñs
🍌	bananez, frouezh
🍍	ananaz, frouezh
🥭	frouezh, mangez, trovanel
🍎	aval, aval ruz, frouezh, ruz
🍏	aval, aval glas, frouezh, glas
🍐	frouezh, per
🍑	frouezh, pechez
🍒	frouezh, kerez
🍓	frouezh, sivi
🫐	frouezh, lus
🥝	frouezh, kiwi
🍅	frouezh, legumaj, tomatez
🫒	boued, olivez
🥥	frouezh, kraoñ-kokoz
🥑	avoukez, frouezh, legumaj
🍆	berjinez, legumaj
🥔	aval-douar, boued, legumaj
🥕	boued, karotez, legumaj
🌽	maiz, penn-maiz
🌶️	pimant, pimant ruz
🫑	legumaj, skilbebr
🥒	kokombrez, legumaj
🥬	legumaj, legumaj glas, letuz
🥦	brikoli, legumaj
🧄	kignen, legumaj, temz-boued
🧅	legumaj, ognon, temz-boued
🥜	boued, kakaouetez
🌰	boued, kistin
🍞	bara, choanenn
🥐	bara, kornegenn, viennerezh
🥖	baget, bara
🫓	bara, galetez
🥨	bara, bretzel
🥯	bagel, bara
🥞	galetez, krampouezh, pancake
🧇	dijuniñ, galfrez, pastezerezh
🧀	formaj-laezh, keuz, tamm formaj-laezh, tamm keuz
🍖	askorn, kig, kig war askorn
🍗	kig, kig-yar, morzhed, morzhed yar, yar
🥩	kostenn, kostezenn, ramskoaz, tamm kig
🥓	bacon, boued, dijuniñ, kig, kig-sall
🍔	burger, hamburger
🍟	fritez, patatez
🍕	formaj-laezh, keuz, pizza, tamm formaj-laezh, tamm keuz
🌭	hot-dog, silzig
🥪	bara, sandwich
🌮	mecʼhikan, tako
🌯	burrito, mecʼhikan
🫔	mecʼhikan, tamal
🥙	boued, falafel, kebab, sandwich
🧆	falafel, pouloud
🥚	boued, dijuniñ, vi
🍳	dijuniñ, paelon, plad, vi, vi war ar plad
🥘	boued, kastelodenn, meuz mitonet, paelon
🍲	keusteurenn, pothouarn, pothouarnad
🫕	chokolad, darbod, formaj-laezh, keuz, teuzadell
🥣	bolenn, bolennad, bolennad gant loa, dijuniñ, edaj, loa
🥗	boued, saladenn
🍿	popcorn
🧈	amann, boued-laezh
🧂	holen, temz-boued
🥫	boest-mir, boued-mir
🍱	bento, boest
🍘	galetez, galetez riz, riz
🍙	boulig, boulig riz, riz
🍚	bolennad, bolennad riz, riz
🍛	kari, riz, riz dre gari
🍜	bolennad, bolennad tomm, tomm
🍝	spaghetti, toazennoù
