👶🏻	barn, ljósur húðarlitur, pinkubarn, pinkubarn: ljósur húðarlitur
👨🏻‍🏫	ljósur húðarlitur, lærari, mannligur lærari, mannligur lærari: ljósur húðarlitur, maður, professari, vegleiðari
👨🏼‍🏫	lærari, mannligur lærari, mannligur lærari: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, professari, vegleiðari
👨🏽‍🏫	lærari, mannligur lærari, mannligur lærari: miðal húðarlitur, maður, miðal húðarlitur, professari, vegleiðari
👨🏾‍🏫	lærari, mannligur lærari, mannligur lærari: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, professari, vegleiðari
👨🏿‍🏫	lærari, mannligur lærari, mannligur lærari: myrkur húðarlitur, maður, myrkur húðarlitur, professari, vegleiðari
👩🏻‍🏫	kona, kvinna, kvinnuligur lærari, kvinnuligur lærari: ljósur húðarlitur, ljósur húðarlitur, lærari, lærarinna, professari, vegleiðari
👩🏼‍🏫	kona, kvinna, kvinnuligur lærari, kvinnuligur lærari: miðalljósur húðarlitur, lærari, lærarinna, miðalljósur húðarlitur, professari, vegleiðari
👩🏽‍🏫	kona, kvinna, kvinnuligur lærari, kvinnuligur lærari: miðal húðarlitur, lærari, lærarinna, miðal húðarlitur, professari, vegleiðari
👩🏾‍🏫	kona, kvinna, kvinnuligur lærari, kvinnuligur lærari: miðalmyrkur húðarlitur, lærari, lærarinna, miðalmyrkur húðarlitur, professari, vegleiðari
👩🏿‍🏫	kona, kvinna, kvinnuligur lærari, kvinnuligur lærari: myrkur húðarlitur, lærari, lærarinna, myrkur húðarlitur, professari, vegleiðari
👨🏻‍⚖	dómari, ljósur húðarlitur, mannligur dómari, mannligur dómari: ljósur húðarlitur, maður, rættvísi
👨🏼‍⚖	dómari, mannligur dómari, mannligur dómari: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, rættvísi
👨🏽‍⚖	dómari, mannligur dómari, mannligur dómari: miðal húðarlitur, maður, miðal húðarlitur, rættvísi
👨🏾‍⚖	dómari, mannligur dómari, mannligur dómari: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, rættvísi
👨🏿‍⚖	dómari, mannligur dómari, mannligur dómari: myrkur húðarlitur, maður, myrkur húðarlitur, rættvísi
👩🏻‍⚖	dómari, kona, kvinna, kvinnuligur dómari, kvinnuligur dómari: ljósur húðarlitur, ljósur húðarlitur, rættvísi
👩🏼‍⚖	dómari, kona, kvinna, kvinnuligur dómari, kvinnuligur dómari: miðalljósur húðarlitur, miðalljósur húðarlitur, rættvísi
👩🏽‍⚖	dómari, kona, kvinna, kvinnuligur dómari, kvinnuligur dómari: miðal húðarlitur, miðal húðarlitur, rættvísi
👩🏾‍⚖	dómari, kona, kvinna, kvinnuligur dómari, kvinnuligur dómari: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur, rættvísi
👩🏿‍⚖	dómari, kona, kvinna, kvinnuligur dómari, kvinnuligur dómari: myrkur húðarlitur, myrkur húðarlitur, rættvísi
👨🏻‍🌾	bóndi, ljósur húðarlitur, mannligur bóndi, mannligur bóndi: ljósur húðarlitur, maður
👨🏼‍🌾	bóndi, mannligur bóndi, mannligur bóndi: miðalljósur húðarlitur, maður, miðalljósur húðarlitur
👨🏽‍🌾	bóndi, mannligur bóndi, mannligur bóndi: miðal húðarlitur, maður, miðal húðarlitur
👨🏾‍🌾	bóndi, mannligur bóndi, mannligur bóndi: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur
👨🏿‍🌾	bóndi, mannligur bóndi, mannligur bóndi: myrkur húðarlitur, maður, myrkur húðarlitur
👩🏻‍🌾	bóndi, kona, kvinna, kvinnuligur bóndi, kvinnuligur bóndi: ljósur húðarlitur, ljósur húðarlitur
👩🏼‍🌾	bóndi, kona, kvinna, kvinnuligur bóndi, kvinnuligur bóndi: miðalljósur húðarlitur, miðalljósur húðarlitur
👩🏽‍🌾	bóndi, kona, kvinna, kvinnuligur bóndi, kvinnuligur bóndi: miðal húðarlitur, miðal húðarlitur
👩🏾‍🌾	bóndi, kona, kvinna, kvinnuligur bóndi, kvinnuligur bóndi: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur
👩🏿‍🌾	bóndi, kona, kvinna, kvinnuligur bóndi, kvinnuligur bóndi: myrkur húðarlitur, myrkur húðarlitur
👨🏻‍🍳	kokkur, ljósur húðarlitur, mannligur kokkur, mannligur kokkur: ljósur húðarlitur, maður
👨🏼‍🍳	kokkur, mannligur kokkur, mannligur kokkur: miðalljósur húðarlitur, maður, miðalljósur húðarlitur
👨🏽‍🍳	kokkur, mannligur kokkur, mannligur kokkur: miðal húðarlitur, maður, miðal húðarlitur
👨🏾‍🍳	kokkur, mannligur kokkur, mannligur kokkur: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur
👨🏿‍🍳	kokkur, mannligur kokkur, mannligur kokkur: myrkur húðarlitur, maður, myrkur húðarlitur
👩🏻‍🍳	kokkur, kona, kvinna, kvinnuligur kokkur, kvinnuligur kokkur: ljósur húðarlitur, ljósur húðarlitur
👩🏼‍🍳	kokkur, kona, kvinna, kvinnuligur kokkur, kvinnuligur kokkur: miðalljósur húðarlitur, miðalljósur húðarlitur
👩🏽‍🍳	kokkur, kona, kvinna, kvinnuligur kokkur, kvinnuligur kokkur: miðal húðarlitur, miðal húðarlitur
👩🏾‍🍳	kokkur, kona, kvinna, kvinnuligur kokkur, kvinnuligur kokkur: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur
👩🏿‍🍳	kokkur, kona, kvinna, kvinnuligur kokkur, kvinnuligur kokkur: myrkur húðarlitur, myrkur húðarlitur
👨🏻‍🔧	elektrikari, ljósur húðarlitur, mannligur mekanikari, mannligur mekanikari: ljósur húðarlitur, maður, mekanikari, rørsmiður
👨🏼‍🔧	elektrikari, mannligur mekanikari, mannligur mekanikari: miðalljósur húðarlitur, maður, mekanikari, miðalljósur húðarlitur, rørsmiður
👨🏽‍🔧	elektrikari, mannligur mekanikari, mannligur mekanikari: miðal húðarlitur, maður, mekanikari, miðal húðarlitur, rørsmiður
👨🏾‍🔧	elektrikari, mannligur mekanikari, mannligur mekanikari: miðalmyrkur húðarlitur, maður, mekanikari, miðalmyrkur húðarlitur, rørsmiður
👨🏿‍🔧	elektrikari, mannligur mekanikari, mannligur mekanikari: myrkur húðarlitur, maður, mekanikari, myrkur húðarlitur, rørsmiður
👩🏻‍🔧	elektrikari, kona, kvinna, kvinnuligur mekanikari, kvinnuligur mekanikari: ljósur húðarlitur, ljósur húðarlitur, mekanikari, rørsmiður
👩🏼‍🔧	elektrikari, kona, kvinna, kvinnuligur mekanikari, kvinnuligur mekanikari: miðalljósur húðarlitur, mekanikari, miðalljósur húðarlitur, rørsmiður
👩🏽‍🔧	elektrikari, kona, kvinna, kvinnuligur mekanikari, kvinnuligur mekanikari: miðal húðarlitur, mekanikari, miðal húðarlitur, rørsmiður
👩🏾‍🔧	elektrikari, kona, kvinna, kvinnuligur mekanikari, kvinnuligur mekanikari: miðalmyrkur húðarlitur, mekanikari, miðalmyrkur húðarlitur, rørsmiður
👩🏿‍🔧	elektrikari, kona, kvinna, kvinnuligur mekanikari, kvinnuligur mekanikari: myrkur húðarlitur, mekanikari, myrkur húðarlitur, rørsmiður
👨🏻‍🏭	arbeiðsmaður, arbeiðsmaður: ljósur húðarlitur, ljósur húðarlitur, maður, verksmiðja, virki, ídnaðarvirki
👨🏼‍🏭	arbeiðsmaður, arbeiðsmaður: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, verksmiðja, virki, ídnaðarvirki
👨🏽‍🏭	arbeiðsmaður, arbeiðsmaður: miðal húðarlitur, maður, miðal húðarlitur, verksmiðja, virki, ídnaðarvirki
👨🏾‍🏭	arbeiðsmaður, arbeiðsmaður: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, verksmiðja, virki, ídnaðarvirki
👨🏿‍🏭	arbeiðsmaður, arbeiðsmaður: myrkur húðarlitur, maður, myrkur húðarlitur, verksmiðja, virki, ídnaðarvirki
👩🏻‍🏭	arbeiðskvinna, arbeiðskvinna: ljósur húðarlitur, kona, kvinna, ljósur húðarlitur, verksmiðja, virki, ídnaðarvirki
👩🏼‍🏭	arbeiðskvinna, arbeiðskvinna: miðalljósur húðarlitur, kona, kvinna, miðalljósur húðarlitur, verksmiðja, virki, ídnaðarvirki
👩🏽‍🏭	arbeiðskvinna, arbeiðskvinna: miðal húðarlitur, kona, kvinna, miðal húðarlitur, verksmiðja, virki, ídnaðarvirki
👩🏾‍🏭	arbeiðskvinna, arbeiðskvinna: miðalmyrkur húðarlitur, kona, kvinna, miðalmyrkur húðarlitur, verksmiðja, virki, ídnaðarvirki
👩🏿‍🏭	arbeiðskvinna, arbeiðskvinna: myrkur húðarlitur, kona, kvinna, myrkur húðarlitur, verksmiðja, virki, ídnaðarvirki
👨🏻‍💼	arkitektur, deildarstjóri, ljósur húðarlitur, løgfrøðingur, maður, skrivstova, skrivstovumaður, skrivstovumaður: ljósur húðarlitur, stjóri
👨🏼‍💼	arkitektur, deildarstjóri, løgfrøðingur, maður, miðalljósur húðarlitur, skrivstova, skrivstovumaður, skrivstovumaður: miðalljósur húðarlitur, stjóri
👨🏽‍💼	arkitektur, deildarstjóri, løgfrøðingur, maður, miðal húðarlitur, skrivstova, skrivstovumaður, skrivstovumaður: miðal húðarlitur, stjóri
👨🏾‍💼	arkitektur, deildarstjóri, løgfrøðingur, maður, miðalmyrkur húðarlitur, skrivstova, skrivstovumaður, skrivstovumaður: miðalmyrkur húðarlitur, stjóri
👨🏿‍💼	arkitektur, deildarstjóri, løgfrøðingur, maður, myrkur húðarlitur, skrivstova, skrivstovumaður, skrivstovumaður: myrkur húðarlitur, stjóri
👩🏻‍💼	arkitektur, deildarstjóri, kona, kvinna, ljósur húðarlitur, løgfrøðingur, skrivstova, skrivstovukvinna, skrivstovukvinna: ljósur húðarlitur, stjóri
👩🏼‍💼	arkitektur, deildarstjóri, kona, kvinna, løgfrøðingur, miðalljósur húðarlitur, skrivstova, skrivstovukvinna, skrivstovukvinna: miðalljósur húðarlitur, stjóri
👩🏽‍💼	arkitektur, deildarstjóri, kona, kvinna, løgfrøðingur, miðal húðarlitur, skrivstova, skrivstovukvinna, skrivstovukvinna: miðal húðarlitur, stjóri
👩🏾‍💼	arkitektur, deildarstjóri, kona, kvinna, løgfrøðingur, miðalmyrkur húðarlitur, skrivstova, skrivstovukvinna, skrivstovukvinna: miðalmyrkur húðarlitur, stjóri
👩🏿‍💼	arkitektur, deildarstjóri, kona, kvinna, løgfrøðingur, myrkur húðarlitur, skrivstova, skrivstovukvinna, skrivstovukvinna: myrkur húðarlitur, stjóri
👨🏻‍🔬	ljósur húðarlitur, maður, náttúruvísindi, vísind, vísindamaður, vísindamaður: ljósur húðarlitur
👨🏼‍🔬	maður, miðalljósur húðarlitur, náttúruvísindi, vísind, vísindamaður, vísindamaður: miðalljósur húðarlitur
👨🏽‍🔬	maður, miðal húðarlitur, náttúruvísindi, vísind, vísindamaður, vísindamaður: miðal húðarlitur
👨🏾‍🔬	maður, miðalmyrkur húðarlitur, náttúruvísindi, vísind, vísindamaður, vísindamaður: miðalmyrkur húðarlitur
👨🏿‍🔬	maður, myrkur húðarlitur, náttúruvísindi, vísind, vísindamaður, vísindamaður: myrkur húðarlitur
👩🏻‍🔬	kona, kvinna, ljósur húðarlitur, náttúruvísindi, vísind, vísindakvinna, vísindakvinna: ljósur húðarlitur
👩🏼‍🔬	kona, kvinna, miðalljósur húðarlitur, náttúruvísindi, vísind, vísindakvinna, vísindakvinna: miðalljósur húðarlitur
👩🏽‍🔬	kona, kvinna, miðal húðarlitur, náttúruvísindi, vísind, vísindakvinna, vísindakvinna: miðal húðarlitur
👩🏾‍🔬	kona, kvinna, miðalmyrkur húðarlitur, náttúruvísindi, vísind, vísindakvinna, vísindakvinna: miðalmyrkur húðarlitur
👩🏿‍🔬	kona, kvinna, myrkur húðarlitur, náttúruvísindi, vísind, vísindakvinna, vísindakvinna: myrkur húðarlitur
👨🏻‍💻	ljósur húðarlitur, mannligur tøknifrøðingur, mannligur tøknifrøðingur: ljósur húðarlitur, maður, tøkni, uppfinnari
👨🏼‍💻	mannligur tøknifrøðingur, mannligur tøknifrøðingur: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, tøkni, uppfinnari
👨🏽‍💻	mannligur tøknifrøðingur, mannligur tøknifrøðingur: miðal húðarlitur, maður, miðal húðarlitur, tøkni, uppfinnari
👨🏾‍💻	mannligur tøknifrøðingur, mannligur tøknifrøðingur: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, tøkni, uppfinnari
👨🏿‍💻	mannligur tøknifrøðingur, mannligur tøknifrøðingur: myrkur húðarlitur, maður, myrkur húðarlitur, tøkni, uppfinnari
👩🏻‍💻	kona, kvinna, kvinnuligur tøknifrøðingur, kvinnuligur tøknifrøðingur: ljósur húðarlitur, ljósur húðarlitur, mannligur tøknifrøðingur, tøkni, uppfinnari
👩🏼‍💻	kona, kvinna, kvinnuligur tøknifrøðingur, kvinnuligur tøknifrøðingur: miðalljósur húðarlitur, mannligur tøknifrøðingur, miðalljósur húðarlitur, tøkni, uppfinnari
👩🏽‍💻	kona, kvinna, kvinnuligur tøknifrøðingur, kvinnuligur tøknifrøðingur: miðal húðarlitur, mannligur tøknifrøðingur, miðal húðarlitur, tøkni, uppfinnari
👩🏾‍💻	kona, kvinna, kvinnuligur tøknifrøðingur, kvinnuligur tøknifrøðingur: miðalmyrkur húðarlitur, mannligur tøknifrøðingur, miðalmyrkur húðarlitur, tøkni, uppfinnari
👩🏿‍💻	kona, kvinna, kvinnuligur tøknifrøðingur, kvinnuligur tøknifrøðingur: myrkur húðarlitur, mannligur tøknifrøðingur, myrkur húðarlitur, tøkni, uppfinnari
👨🏻‍🎤	ljósur húðarlitur, mannligur sangari, mannligur sangari: ljósur húðarlitur, maður, sangari, sjónleikari, skemtari, undirhaldari, vertur
👨🏼‍🎤	mannligur sangari, mannligur sangari: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, sangari, sjónleikari, skemtari, undirhaldari, vertur
👨🏽‍🎤	mannligur sangari, mannligur sangari: miðal húðarlitur, maður, miðal húðarlitur, sangari, sjónleikari, skemtari, undirhaldari, vertur
👨🏾‍🎤	mannligur sangari, mannligur sangari: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, sangari, sjónleikari, skemtari, undirhaldari, vertur
👨🏿‍🎤	mannligur sangari, mannligur sangari: myrkur húðarlitur, maður, myrkur húðarlitur, sangari, sjónleikari, skemtari, undirhaldari, vertur
👩🏻‍🎤	kona, kvinna, kvinnuligur sangari, kvinnuligur sangari: ljósur húðarlitur, ljósur húðarlitur, sangari, sangarinna, sjónleikari, skemtari, songkvinna, undirhaldari, vertur
👩🏼‍🎤	kona, kvinna, kvinnuligur sangari, kvinnuligur sangari: miðalljósur húðarlitur, miðalljósur húðarlitur, sangari, sangarinna, sjónleikari, skemtari, songkvinna, undirhaldari, vertur
👩🏽‍🎤	kona, kvinna, kvinnuligur sangari, kvinnuligur sangari: miðal húðarlitur, miðal húðarlitur, sangari, sangarinna, sjónleikari, skemtari, songkvinna, undirhaldari, vertur
👩🏾‍🎤	kona, kvinna, kvinnuligur sangari, kvinnuligur sangari: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur, sangari, sangarinna, sjónleikari, skemtari, songkvinna, undirhaldari, vertur
👩🏿‍🎤	kona, kvinna, kvinnuligur sangari, kvinnuligur sangari: myrkur húðarlitur, myrkur húðarlitur, sangari, sangarinna, sjónleikari, skemtari, songkvinna, undirhaldari, vertur
👨🏻‍🎨	list, listamaður, listamaður: ljósur húðarlitur, listamálari, ljósur húðarlitur, maður
👨🏼‍🎨	list, listamaður, listamaður: miðalljósur húðarlitur, listamálari, maður, miðalljósur húðarlitur
👨🏽‍🎨	list, listamaður, listamaður: miðal húðarlitur, listamálari, maður, miðal húðarlitur
👨🏾‍🎨	list, listamaður, listamaður: miðalmyrkur húðarlitur, listamálari, maður, miðalmyrkur húðarlitur
👨🏿‍🎨	list, listamaður, listamaður: myrkur húðarlitur, listamálari, maður, myrkur húðarlitur
👩🏻‍🎨	kona, kvinna, list, listakona, listakona: ljósur húðarlitur, listamálari, ljósur húðarlitur
👩🏼‍🎨	kona, kvinna, list, listakona, listakona: miðalljósur húðarlitur, listamálari, miðalljósur húðarlitur
👩🏽‍🎨	kona, kvinna, list, listakona, listakona: miðal húðarlitur, listamálari, miðal húðarlitur
👩🏾‍🎨	kona, kvinna, list, listakona, listakona: miðalmyrkur húðarlitur, listamálari, miðalmyrkur húðarlitur
👩🏿‍🎨	kona, kvinna, list, listakona, listakona: myrkur húðarlitur, listamálari, myrkur húðarlitur
👨🏻‍✈	René, flogskipari, ljósur húðarlitur, mannligur flogskipari, mannligur flogskipari: ljósur húðarlitur, maður, pilotur
👨🏼‍✈	René, flogskipari, mannligur flogskipari, mannligur flogskipari: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, pilotur
👨🏽‍✈	René, flogskipari, mannligur flogskipari, mannligur flogskipari: miðal húðarlitur, maður, miðal húðarlitur, pilotur
👨🏾‍✈	René, flogskipari, mannligur flogskipari, mannligur flogskipari: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, pilotur
👨🏿‍✈	René, flogskipari, mannligur flogskipari, mannligur flogskipari: myrkur húðarlitur, maður, myrkur húðarlitur, pilotur
👩🏻‍✈	flogskipari, kona, kvinna, kvinnuligur flogskipari, kvinnuligur flogskipari: ljósur húðarlitur, ljósur húðarlitur, pilotur
👩🏼‍✈	flogskipari, kona, kvinna, kvinnuligur flogskipari, kvinnuligur flogskipari: miðalljósur húðarlitur, miðalljósur húðarlitur, pilotur
👩🏽‍✈	flogskipari, kona, kvinna, kvinnuligur flogskipari, kvinnuligur flogskipari: miðal húðarlitur, miðal húðarlitur, pilotur
👩🏾‍✈	flogskipari, kona, kvinna, kvinnuligur flogskipari, kvinnuligur flogskipari: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur, pilotur
👩🏿‍✈	flogskipari, kona, kvinna, kvinnuligur flogskipari, kvinnuligur flogskipari: myrkur húðarlitur, myrkur húðarlitur, pilotur
👨🏻‍🚀	astronautur, ljósur húðarlitur, mannligur astronautur, mannligur astronautur: ljósur húðarlitur, maður, rúmdin
👨🏼‍🚀	astronautur, mannligur astronautur, mannligur astronautur: miðalljósur húðarlitur, maður, miðalljósur húðarlitur, rúmdin
👨🏽‍🚀	astronautur, mannligur astronautur, mannligur astronautur: miðal húðarlitur, maður, miðal húðarlitur, rúmdin
👨🏾‍🚀	astronautur, mannligur astronautur, mannligur astronautur: miðalmyrkur húðarlitur, maður, miðalmyrkur húðarlitur, rúmdin
👨🏿‍🚀	astronautur, mannligur astronautur, mannligur astronautur: myrkur húðarlitur, maður, myrkur húðarlitur, rúmdin
👩🏻‍🚀	astronautur, kona, kvinna, kvinnuligur astronautur, kvinnuligur astronautur: ljósur húðarlitur, ljósur húðarlitur, rúmdin
👩🏼‍🚀	astronautur, kona, kvinna, kvinnuligur astronautur, kvinnuligur astronautur: miðalljósur húðarlitur, miðalljósur húðarlitur, rúmdin
👩🏽‍🚀	astronautur, kona, kvinna, kvinnuligur astronautur, kvinnuligur astronautur: miðal húðarlitur, miðal húðarlitur, rúmdin
👩🏾‍🚀	astronautur, kona, kvinna, kvinnuligur astronautur, kvinnuligur astronautur: miðalmyrkur húðarlitur, miðalmyrkur húðarlitur, rúmdin
