،	arabic, arabic comma, comma
👩🏼‍💼	architect, business, manager, medium-fair skin, white-collar, woman, woman office worker, woman office worker: medium-fair skin
👩🏽‍💼	architect, business, manager, medium skin, white-collar, woman, woman office worker, woman office worker: medium skin
👩🏾‍💼	architect, business, manager, medium-dark skin, white-collar, woman, woman office worker, woman office worker: medium-dark skin
👩🏿‍💼	architect, business, dark skin, manager, white-collar, woman, woman office worker, woman office worker: dark skin
🧑🏻‍🔬	Fair skin, biologist, chemist, engineer, physicist, scientist, scientist: Fair skin
🧑🏼‍🔬	biologist, chemist, engineer, medium-fair skin, physicist, scientist, scientist: medium-fair skin
🧑🏽‍🔬	biologist, chemist, engineer, medium skin, physicist, scientist, scientist: medium skin
🧑🏾‍🔬	biologist, chemist, engineer, medium-dark skin, physicist, scientist, scientist: medium-dark skin
🧑🏿‍🔬	biologist, chemist, dark skin, engineer, physicist, scientist, scientist: dark skin
👨🏻‍🔬	Fair skin, biologist, chemist, engineer, man, man scientist: Fair skin, physicist, scientist
👨🏼‍🔬	biologist, chemist, engineer, man, man scientist: medium-fair skin, medium-fair skin, physicist, scientist
👨🏽‍🔬	biologist, chemist, engineer, man, man scientist: medium skin, medium skin, physicist, scientist
👨🏾‍🔬	biologist, chemist, engineer, man, man scientist: medium-dark skin, medium-dark skin, physicist, scientist
👨🏿‍🔬	biologist, chemist, dark skin, engineer, man, man scientist: dark skin, physicist, scientist
👩🏻‍🔬	Fair skin, biologist, chemist, engineer, physicist, scientist, woman, woman scientist: Fair skin
👩🏼‍🔬	biologist, chemist, engineer, medium-fair skin, physicist, scientist, woman, woman scientist: medium-fair skin
👩🏽‍🔬	biologist, chemist, engineer, medium skin, physicist, scientist, woman, woman scientist: medium skin
👩🏾‍🔬	biologist, chemist, engineer, medium-dark skin, physicist, scientist, woman, woman scientist: medium-dark skin
👩🏿‍🔬	biologist, chemist, dark skin, engineer, physicist, scientist, woman, woman scientist: dark skin
🧑🏻‍💻	Fair skin, coder, developer, inventor, software, technologist, technologist: Fair skin
🧑🏼‍💻	coder, developer, inventor, medium-fair skin, software, technologist, technologist: medium-fair skin
🧑🏽‍💻	coder, developer, inventor, medium skin, software, technologist, technologist: medium skin
🧑🏾‍💻	coder, developer, inventor, medium-dark skin, software, technologist, technologist: medium-dark skin
🧑🏿‍💻	coder, dark skin, developer, inventor, software, technologist, technologist: dark skin
👨🏻‍💻	Fair skin, coder, developer, inventor, man, man technologist: Fair skin, software, technologist
👨🏼‍💻	coder, developer, inventor, man, man technologist: medium-fair skin, medium-fair skin, software, technologist
👨🏽‍💻	coder, developer, inventor, man, man technologist: medium skin, medium skin, software, technologist
👨🏾‍💻	coder, developer, inventor, man, man technologist: medium-dark skin, medium-dark skin, software, technologist
👨🏿‍💻	coder, dark skin, developer, inventor, man, man technologist: dark skin, software, technologist
👩🏻‍💻	Fair skin, coder, developer, inventor, software, technologist, woman, woman technologist: Fair skin
👩🏼‍💻	coder, developer, inventor, medium-fair skin, software, technologist, woman, woman technologist: medium-fair skin
👩🏽‍💻	coder, developer, inventor, medium skin, software, technologist, woman, woman technologist: medium skin
👩🏾‍💻	coder, developer, inventor, medium-dark skin, software, technologist, woman, woman technologist: medium-dark skin
👩🏿‍💻	coder, dark skin, developer, inventor, software, technologist, woman, woman technologist: dark skin
🧑🏻‍🎤	Fair skin, actor, entertainer, rock, singer, singer: Fair skin, star
🧑🏼‍🎤	actor, entertainer, medium-fair skin, rock, singer, singer: medium-fair skin, star
🧑🏽‍🎤	actor, entertainer, medium skin, rock, singer, singer: medium skin, star
🧑🏾‍🎤	actor, entertainer, medium-dark skin, rock, singer, singer: medium-dark skin, star
🧑🏿‍🎤	actor, dark skin, entertainer, rock, singer, singer: dark skin, star
👨🏻‍🎤	Fair skin, actor, entertainer, man, man singer: Fair skin, rock, singer, star
👨🏼‍🎤	actor, entertainer, man, man singer: medium-fair skin, medium-fair skin, rock, singer, star
👨🏽‍🎤	actor, entertainer, man, man singer: medium skin, medium skin, rock, singer, star
👨🏾‍🎤	actor, entertainer, man, man singer: medium-dark skin, medium-dark skin, rock, singer, star
👨🏿‍🎤	actor, dark skin, entertainer, man, man singer: dark skin, rock, singer, star
👩🏻‍🎤	Fair skin, actor, entertainer, rock, singer, star, woman, woman singer: Fair skin
👩🏼‍🎤	actor, entertainer, medium-fair skin, rock, singer, star, woman, woman singer: medium-fair skin
👩🏽‍🎤	actor, entertainer, medium skin, rock, singer, star, woman, woman singer: medium skin
👩🏾‍🎤	actor, entertainer, medium-dark skin, rock, singer, star, woman, woman singer: medium-dark skin
👩🏿‍🎤	actor, dark skin, entertainer, rock, singer, star, woman, woman singer: dark skin
🧑🏻‍🎨	Fair skin, artist, artist: Fair skin, palette
🧑🏼‍🎨	artist, artist: medium-fair skin, medium-fair skin, palette
🧑🏽‍🎨	artist, artist: medium skin, medium skin, palette
🧑🏾‍🎨	artist, artist: medium-dark skin, medium-dark skin, palette
🧑🏿‍🎨	artist, artist: dark skin, dark skin, palette
👨🏻‍🎨	Fair skin, artist, man, man artist: Fair skin, palette
👨🏼‍🎨	artist, man, man artist: medium-fair skin, medium-fair skin, palette
👨🏽‍🎨	artist, man, man artist: medium skin, medium skin, palette
👨🏾‍🎨	artist, man, man artist: medium-dark skin, medium-dark skin, palette
👨🏿‍🎨	artist, dark skin, man, man artist: dark skin, palette
👩🏻‍🎨	Fair skin, artist, palette, woman, woman artist: Fair skin
👩🏼‍🎨	artist, medium-fair skin, palette, woman, woman artist: medium-fair skin
👩🏽‍🎨	artist, medium skin, palette, woman, woman artist: medium skin
👩🏾‍🎨	artist, medium-dark skin, palette, woman, woman artist: medium-dark skin
👩🏿‍🎨	artist, dark skin, palette, woman, woman artist: dark skin
🧑🏻‍✈	Fair skin, pilot, pilot: Fair skin, plane
🧑🏼‍✈	medium-fair skin, pilot, pilot: medium-fair skin, plane
🧑🏽‍✈	medium skin, pilot, pilot: medium skin, plane
🧑🏾‍✈	medium-dark skin, pilot, pilot: medium-dark skin, plane
🧑🏿‍✈	dark skin, pilot, pilot: dark skin, plane
👨🏻‍✈	Fair skin, man, man pilot: Fair skin, pilot, plane
👨🏼‍✈	man, man pilot: medium-fair skin, medium-fair skin, pilot, plane
👨🏽‍✈	man, man pilot: medium skin, medium skin, pilot, plane
👨🏾‍✈	man, man pilot: medium-dark skin, medium-dark skin, pilot, plane
👨🏿‍✈	dark skin, man, man pilot: dark skin, pilot, plane
👩🏻‍✈	Fair skin, pilot, plane, woman, woman pilot: Fair skin
👩🏼‍✈	medium-fair skin, pilot, plane, woman, woman pilot: medium-fair skin
👩🏽‍✈	medium skin, pilot, plane, woman, woman pilot: medium skin
👩🏾‍✈	medium-dark skin, pilot, plane, woman, woman pilot: medium-dark skin
👩🏿‍✈	dark skin, pilot, plane, woman, woman pilot: dark skin
🧑🏻‍🚀	Fair skin, astronaut, astronaut: Fair skin, rocket
🧑🏼‍🚀	astronaut, astronaut: medium-fair skin, medium-fair skin, rocket
🧑🏽‍🚀	astronaut, astronaut: medium skin, medium skin, rocket
🧑🏾‍🚀	astronaut, astronaut: medium-dark skin, medium-dark skin, rocket
🧑🏿‍🚀	astronaut, astronaut: dark skin, dark skin, rocket
👨🏻‍🚀	Fair skin, astronaut, man, man astronaut: Fair skin, rocket
👨🏼‍🚀	astronaut, man, man astronaut: medium-fair skin, medium-fair skin, rocket
👨🏽‍🚀	astronaut, man, man astronaut: medium skin, medium skin, rocket
👨🏾‍🚀	astronaut, man, man astronaut: medium-dark skin, medium-dark skin, rocket
👨🏿‍🚀	astronaut, dark skin, man, man astronaut: dark skin, rocket
👩🏻‍🚀	Fair skin, astronaut, rocket, woman, woman astronaut: Fair skin
👩🏼‍🚀	astronaut, medium-fair skin, rocket, woman, woman astronaut: medium-fair skin
👩🏽‍🚀	astronaut, medium skin, rocket, woman, woman astronaut: medium skin
👩🏾‍🚀	astronaut, medium-dark skin, rocket, woman, woman astronaut: medium-dark skin
👩🏿‍🚀	astronaut, dark skin, rocket, woman, woman astronaut: dark skin
🧑🏻‍🚒	Fair skin, firefighter, firefighter: Fair skin, firetruck
🧑🏼‍🚒	firefighter, firefighter: medium-fair skin, firetruck, medium-fair skin
🧑🏽‍🚒	firefighter, firefighter: medium skin, firetruck, medium skin
🧑🏾‍🚒	firefighter, firefighter: medium-dark skin, firetruck, medium-dark skin
🧑🏿‍🚒	dark skin, firefighter, firefighter: dark skin, firetruck
👨🏻‍🚒	Fair skin, firefighter, firetruck, man, man firefighter: Fair skin
👨🏼‍🚒	firefighter, firetruck, man, man firefighter: medium-fair skin, medium-fair skin
👨🏽‍🚒	firefighter, firetruck, man, man firefighter: medium skin, medium skin
👨🏾‍🚒	firefighter, firetruck, man, man firefighter: medium-dark skin, medium-dark skin
👨🏿‍🚒	dark skin, firefighter, firetruck, man, man firefighter: dark skin
👩🏻‍🚒	Fair skin, firefighter, firetruck, woman, woman firefighter: Fair skin
👩🏼‍🚒	firefighter, firetruck, medium-fair skin, woman, woman firefighter: medium-fair skin
👩🏽‍🚒	firefighter, firetruck, medium skin, woman, woman firefighter: medium skin
👩🏾‍🚒	firefighter, firetruck, medium-dark skin, woman, woman firefighter: medium-dark skin
👩🏿‍🚒	dark skin, firefighter, firetruck, woman, woman firefighter: dark skin
👮🏻	Fair skin, cop, officer, police, police officer: Fair skin
👮🏼	cop, medium-fair skin, officer, police, police officer: medium-fair skin
👮🏽	cop, medium skin, officer, police, police officer: medium skin
👮🏾	cop, medium-dark skin, officer, police, police officer: medium-dark skin
👮🏿	cop, dark skin, officer, police, police officer: dark skin
👮🏻‍♂	Fair skin, cop, man, man police officer: Fair skin, officer, police
👮🏼‍♂	cop, man, man police officer: medium-fair skin, medium-fair skin, officer, police
👮🏽‍♂	cop, man, man police officer: medium skin, medium skin, officer, police
👮🏾‍♂	cop, man, man police officer: medium-dark skin, medium-dark skin, officer, police
👮🏿‍♂	cop, dark skin, man, man police officer: dark skin, officer, police
👮🏻‍♀	Fair skin, cop, officer, police, woman, woman police officer: Fair skin
👮🏼‍♀	cop, medium-fair skin, officer, police, woman, woman police officer: medium-fair skin
👮🏽‍♀	cop, medium skin, officer, police, woman, woman police officer: medium skin
👮🏾‍♀	cop, medium-dark skin, officer, police, woman, woman police officer: medium-dark skin
👮🏿‍♀	cop, dark skin, officer, police, woman, woman police officer: dark skin
🕵🏻	Fair skin, detective, detective: Fair skin, sleuth, spy
🕵🏼	detective, detective: medium-fair skin, medium-fair skin, sleuth, spy
🕵🏽	detective, detective: medium skin, medium skin, sleuth, spy
🕵🏾	detective, detective: medium-dark skin, medium-dark skin, sleuth, spy
🕵🏿	dark skin, detective, detective: dark skin, sleuth, spy
🕵🏻‍♂	Fair skin, detective, man, man detective: Fair skin, sleuth, spy
🕵🏼‍♂	detective, man, man detective: medium-fair skin, medium-fair skin, sleuth, spy
🕵🏽‍♂	detective, man, man detective: medium skin, medium skin, sleuth, spy
🕵🏾‍♂	detective, man, man detective: medium-dark skin, medium-dark skin, sleuth, spy
🕵🏿‍♂	dark skin, detective, man, man detective: dark skin, sleuth, spy
🕵🏻‍♀	Fair skin, detective, sleuth, spy, woman, woman detective: Fair skin
🕵🏼‍♀	detective, medium-fair skin, sleuth, spy, woman, woman detective: medium-fair skin
🕵🏽‍♀	detective, medium skin, sleuth, spy, woman, woman detective: medium skin
🕵🏾‍♀	detective, medium-dark skin, sleuth, spy, woman, woman detective: medium-dark skin
🕵🏿‍♀	dark skin, detective, sleuth, spy, woman, woman detective: dark skin
💂🏻	Fair skin, guard, guard: Fair skin
💂🏼	guard, guard: medium-fair skin, medium-fair skin
💂🏽	guard, guard: medium skin, medium skin
💂🏾	guard, guard: medium-dark skin, medium-dark skin
💂🏿	dark skin, guard, guard: dark skin
💂🏻‍♂	Fair skin, guard, man, man guard: Fair skin
💂🏼‍♂	guard, man, man guard: medium-fair skin, medium-fair skin
💂🏽‍♂	guard, man, man guard: medium skin, medium skin
💂🏾‍♂	guard, man, man guard: medium-dark skin, medium-dark skin
💂🏿‍♂	dark skin, guard, man, man guard: dark skin
💂🏻‍♀	Fair skin, guard, woman, woman guard: Fair skin
💂🏼‍♀	guard, medium-fair skin, woman, woman guard: medium-fair skin
💂🏽‍♀	guard, medium skin, woman, woman guard: medium skin
💂🏾‍♀	guard, medium-dark skin, woman, woman guard: medium-dark skin
💂🏿‍♀	dark skin, guard, woman, woman guard: dark skin
🥷🏻	Fair skin, fighter, hidden, ninja, ninja: Fair skin, stealth
🥷🏼	fighter, hidden, medium-fair skin, ninja, ninja: medium-fair skin, stealth
🥷🏽	fighter, hidden, medium skin, ninja, ninja: medium skin, stealth
🥷🏾	fighter, hidden, medium-dark skin, ninja, ninja: medium-dark skin, stealth
🥷🏿	dark skin, fighter, hidden, ninja, ninja: dark skin, stealth
👷🏻	Fair skin, construction, construction worker: Fair skin, hat, worker
👷🏼	construction, construction worker: medium-fair skin, hat, medium-fair skin, worker
👷🏽	construction, construction worker: medium skin, hat, medium skin, worker
👷🏾	construction, construction worker: medium-dark skin, hat, medium-dark skin, worker
👷🏿	construction, construction worker: dark skin, dark skin, hat, worker
👷🏻‍♂	Fair skin, construction, man, man construction worker: Fair skin, worker
👷🏼‍♂	construction, man, man construction worker: medium-fair skin, medium-fair skin, worker
👷🏽‍♂	construction, man, man construction worker: medium skin, medium skin, worker
👷🏾‍♂	construction, man, man construction worker: medium-dark skin, medium-dark skin, worker
👷🏿‍♂	construction, dark skin, man, man construction worker: dark skin, worker
👷🏻‍♀	Fair skin, construction, woman, woman construction worker: Fair skin, worker
👷🏼‍♀	construction, medium-fair skin, woman, woman construction worker: medium-fair skin, worker
👷🏽‍♀	construction, medium skin, woman, woman construction worker: medium skin, worker
👷🏾‍♀	construction, medium-dark skin, woman, woman construction worker: medium-dark skin, worker
👷🏿‍♀	construction, dark skin, woman, woman construction worker: dark skin, worker
🫅	crown wala vyakti, monarch, noble, person with crown, regal, royalty
🫅🏻	Fair skin, crown wala vyakti, crown wala vyakti: Fair skin, monarch, noble, person with crown, regal, royalty
🫅🏼	crown wala vyakti, crown wala vyakti: medium-fair skin, medium-fair skin, monarch, noble, person with crown, regal, royalty
🫅🏽	crown wala vyakti, crown wala vyakti: medium skin, medium skin, monarch, noble, person with crown, regal, royalty
🫅🏾	crown wala vyakti, crown wala vyakti: medium-dark skin, medium-dark skin, monarch, noble, person with crown, regal, royalty
🫅🏿	crown wala vyakti, crown wala vyakti: dark skin, dark skin, monarch, noble, person with crown, regal, royalty
🤴🏻	Fair skin, prince, prince: Fair skin
🤴🏼	medium-fair skin, prince, prince: medium-fair skin
🤴🏽	medium skin, prince, prince: medium skin
🤴🏾	medium-dark skin, prince, prince: medium-dark skin
🤴🏿	dark skin, prince, prince: dark skin
👸🏻	Fair skin, fairy tale, fantasy, princess, princess: Fair skin
👸🏼	fairy tale, fantasy, medium-fair skin, princess, princess: medium-fair skin
👸🏽	fairy tale, fantasy, medium skin, princess, princess: medium skin
👸🏾	fairy tale, fantasy, medium-dark skin, princess, princess: medium-dark skin
👸🏿	dark skin, fairy tale, fantasy, princess, princess: dark skin
👳	turban, turban wala vyakti
👳🏻	Fair skin, turban, turban wala vyakti, turban wala vyakti: Fair skin
👳🏼	medium-fair skin, turban, turban wala vyakti, turban wala vyakti: medium-fair skin
👳🏽	medium skin, turban, turban wala vyakti, turban wala vyakti: medium skin
👳🏾	medium-dark skin, turban, turban wala vyakti, turban wala vyakti: medium-dark skin
👳🏿	dark skin, turban, turban wala vyakti, turban wala vyakti: dark skin
👳‍♂	man, turban, turban wala aadmi
👳🏻‍♂	Fair skin, man, turban, turban wala aadmi, turban wala aadmi: Fair skin
👳🏼‍♂	man, medium-fair skin, turban, turban wala aadmi, turban wala aadmi: medium-fair skin
👳🏽‍♂	man, medium skin, turban, turban wala aadmi, turban wala aadmi: medium skin
👳🏾‍♂	man, medium-dark skin, turban, turban wala aadmi, turban wala aadmi: medium-dark skin
👳🏿‍♂	dark skin, man, turban, turban wala aadmi, turban wala aadmi: dark skin
👳‍♀	turban, turban wali mahila, woman
👳🏻‍♀	Fair skin, turban, turban wali mahila, turban wali mahila: Fair skin, woman
👳🏼‍♀	medium-fair skin, turban, turban wali mahila, turban wali mahila: medium-fair skin, woman
👳🏽‍♀	medium skin, turban, turban wali mahila, turban wali mahila: medium skin, woman
👳🏾‍♀	medium-dark skin, turban, turban wali mahila, turban wali mahila: medium-dark skin, woman
👳🏿‍♀	dark skin, turban, turban wali mahila, turban wali mahila: dark skin, woman
👲	cap, gua pi mao, hat, person, skullcap, skullcap wala aadmi, skullcap wala vyakti
👲🏻	Fair skin, cap, gua pi mao, hat, person, skullcap, skullcap wala aadmi, skullcap wala aadmi: Fair skin, skullcap wala vyakti
👲🏼	cap, gua pi mao, hat, medium-fair skin, person, skullcap, skullcap wala aadmi, skullcap wala aadmi: medium-fair skin, skullcap wala vyakti
👲🏽	cap, gua pi mao, hat, medium skin, person, skullcap, skullcap wala aadmi, skullcap wala aadmi: medium skin, skullcap wala vyakti
👲🏾	cap, gua pi mao, hat, medium-dark skin, person, skullcap, skullcap wala aadmi, skullcap wala aadmi: medium-dark skin, skullcap wala vyakti
👲🏿	cap, dark skin, gua pi mao, hat, person, skullcap, skullcap wala aadmi, skullcap wala aadmi: dark skin, skullcap wala vyakti
🧕	headscarf, headscarf pahne mahila, hijab, mantilla, tichel
🧕🏻	Fair skin, headscarf, headscarf pahne mahila, headscarf pahne mahila: Fair skin, hijab, mantilla, tichel
🧕🏼	headscarf, headscarf pahne mahila, headscarf pahne mahila: medium-fair skin, hijab, mantilla, medium-fair skin, tichel
🧕🏽	headscarf, headscarf pahne mahila, headscarf pahne mahila: medium skin, hijab, mantilla, medium skin, tichel
🧕🏾	headscarf, headscarf pahne mahila, headscarf pahne mahila: medium-dark skin, hijab, mantilla, medium-dark skin, tichel
🧕🏿	dark skin, headscarf, headscarf pahne mahila, headscarf pahne mahila: dark skin, hijab, mantilla, tichel
🤵	groom, person, suit boot mein vyakti, tuxedo
🤵🏻	Fair skin, groom, person, suit boot mein vyakti, suit boot mein vyakti: Fair skin, tuxedo
🤵🏼	groom, medium-fair skin, person, suit boot mein vyakti, suit boot mein vyakti: medium-fair skin, tuxedo
🤵🏽	groom, medium skin, person, suit boot mein vyakti, suit boot mein vyakti: medium skin, tuxedo
🤵🏾	groom, medium-dark skin, person, suit boot mein vyakti, suit boot mein vyakti: medium-dark skin, tuxedo
🤵🏿	dark skin, groom, person, suit boot mein vyakti, suit boot mein vyakti: dark skin, tuxedo
🤵‍♂	man, suit boot mein aadmi, tuxedo
🤵🏻‍♂	Fair skin, man, suit boot mein aadmi, suit boot mein aadmi: Fair skin, tuxedo
🤵🏼‍♂	man, medium-fair skin, suit boot mein aadmi, suit boot mein aadmi: medium-fair skin, tuxedo
🤵🏽‍♂	man, medium skin, suit boot mein aadmi, suit boot mein aadmi: medium skin, tuxedo
🤵🏾‍♂	man, medium-dark skin, suit boot mein aadmi, suit boot mein aadmi: medium-dark skin, tuxedo
🤵🏿‍♂	dark skin, man, suit boot mein aadmi, suit boot mein aadmi: dark skin, tuxedo
🤵‍♀	suit boot mein mahila, tuxedo, woman
🤵🏻‍♀	Fair skin, suit boot mein mahila, suit boot mein mahila: Fair skin, tuxedo, woman
🤵🏼‍♀	medium-fair skin, suit boot mein mahila, suit boot mein mahila: medium-fair skin, tuxedo, woman
🤵🏽‍♀	medium skin, suit boot mein mahila, suit boot mein mahila: medium skin, tuxedo, woman
🤵🏾‍♀	medium-dark skin, suit boot mein mahila, suit boot mein mahila: medium-dark skin, tuxedo, woman
🤵🏿‍♀	dark skin, suit boot mein mahila, suit boot mein mahila: dark skin, tuxedo, woman
👰🏻	Fair skin, bride, person, person with veil, person with veil: Fair skin, veil, wedding
👰🏼	bride, medium-fair skin, person, person with veil, person with veil: medium-fair skin, veil, wedding
👰🏽	bride, medium skin, person, person with veil, person with veil: medium skin, veil, wedding
👰🏾	bride, medium-dark skin, person, person with veil, person with veil: medium-dark skin, veil, wedding
👰🏿	bride, dark skin, person, person with veil, person with veil: dark skin, veil, wedding
👰🏻‍♂	Fair skin, man, man with veil, man with veil: Fair skin, veil
👰🏼‍♂	man, man with veil, man with veil: medium-fair skin, medium-fair skin, veil
👰🏽‍♂	man, man with veil, man with veil: medium skin, medium skin, veil
👰🏾‍♂	man, man with veil, man with veil: medium-dark skin, medium-dark skin, veil
👰🏿‍♂	dark skin, man, man with veil, man with veil: dark skin, veil
👰‍♀	parde mein dulhan, veil, woman
👰🏻‍♀	Fair skin, parde mein dulhan, parde mein dulhan: Fair skin, veil, woman
👰🏼‍♀	medium-fair skin, parde mein dulhan, parde mein dulhan: medium-fair skin, veil, woman
👰🏽‍♀	medium skin, parde mein dulhan, parde mein dulhan: medium skin, veil, woman
👰🏾‍♀	medium-dark skin, parde mein dulhan, parde mein dulhan: medium-dark skin, veil, woman
👰🏿‍♀	dark skin, parde mein dulhan, parde mein dulhan: dark skin, veil, woman
🤰🏻	Fair skin, pregnant, pregnant woman: Fair skin, woman
🤰🏼	medium-fair skin, pregnant, pregnant woman: medium-fair skin, woman
🤰🏽	medium skin, pregnant, pregnant woman: medium skin, woman
🤰🏾	medium-dark skin, pregnant, pregnant woman: medium-dark skin, woman
🤰🏿	dark skin, pregnant, pregnant woman: dark skin, woman
🫃🏻	Fair skin, belly, bloated, full, pregnant, pregnant man, pregnant man: Fair skin
🫃🏼	belly, bloated, full, medium-fair skin, pregnant, pregnant man, pregnant man: medium-fair skin
🫃🏽	belly, bloated, full, medium skin, pregnant, pregnant man, pregnant man: medium skin
🫃🏾	belly, bloated, full, medium-dark skin, pregnant, pregnant man, pregnant man: medium-dark skin
🫃🏿	belly, bloated, dark skin, full, pregnant, pregnant man, pregnant man: dark skin
🫄🏻	Fair skin, belly, bloated, full, pregnant, pregnant person, pregnant person: Fair skin
🫄🏼	belly, bloated, full, medium-fair skin, pregnant, pregnant person, pregnant person: medium-fair skin
🫄🏽	belly, bloated, full, medium skin, pregnant, pregnant person, pregnant person: medium skin
🫄🏾	belly, bloated, full, medium-dark skin, pregnant, pregnant person, pregnant person: medium-dark skin
🫄🏿	belly, bloated, dark skin, full, pregnant, pregnant person, pregnant person: dark skin
🤱🏻	Fair skin, baby, breast, breast-feeding, breast-feeding: Fair skin, nursing
🤱🏼	baby, breast, breast-feeding, breast-feeding: medium-fair skin, medium-fair skin, nursing
🤱🏽	baby, breast, breast-feeding, breast-feeding: medium skin, medium skin, nursing
🤱🏾	baby, breast, breast-feeding, breast-feeding: medium-dark skin, medium-dark skin, nursing
🤱🏿	baby, breast, breast-feeding, breast-feeding: dark skin, dark skin, nursing
👩‍🍼	baby, baby ko feed karti mahila, feeding, nursing, woman
👩🏻‍🍼	Fair skin, baby, baby ko feed karti mahila, baby ko feed karti mahila: Fair skin, feeding, nursing, woman
👩🏼‍🍼	baby, baby ko feed karti mahila, baby ko feed karti mahila: medium-fair skin, feeding, medium-fair skin, nursing, woman
👩🏽‍🍼	baby, baby ko feed karti mahila, baby ko feed karti mahila: medium skin, feeding, medium skin, nursing, woman
👩🏾‍🍼	baby, baby ko feed karti mahila, baby ko feed karti mahila: medium-dark skin, feeding, medium-dark skin, nursing, woman
👩🏿‍🍼	baby, baby ko feed karti mahila, baby ko feed karti mahila: dark skin, dark skin, feeding, nursing, woman
👨‍🍼	baby, baby ko feed karta aadmi, feeding, man, nursing
👨🏻‍🍼	Fair skin, baby, baby ko feed karta aadmi, baby ko feed karta aadmi: Fair skin, feeding, man, nursing
👨🏼‍🍼	baby, baby ko feed karta aadmi, baby ko feed karta aadmi: medium-fair skin, feeding, man, medium-fair skin, nursing
👨🏽‍🍼	baby, baby ko feed karta aadmi, baby ko feed karta aadmi: medium skin, feeding, man, medium skin, nursing
👨🏾‍🍼	baby, baby ko feed karta aadmi, baby ko feed karta aadmi: medium-dark skin, feeding, man, medium-dark skin, nursing
👨🏿‍🍼	baby, baby ko feed karta aadmi, baby ko feed karta aadmi: dark skin, dark skin, feeding, man, nursing
🧑‍🍼	baby, baby ko feed karta vyakti, feeding, nursing, person
🧑🏻‍🍼	Fair skin, baby, baby ko feed karta vyakti, baby ko feed karta vyakti: Fair skin, feeding, nursing, person
🧑🏼‍🍼	baby, baby ko feed karta vyakti, baby ko feed karta vyakti: medium-fair skin, feeding, medium-fair skin, nursing, person
🧑🏽‍🍼	baby, baby ko feed karta vyakti, baby ko feed karta vyakti: medium skin, feeding, medium skin, nursing, person
🧑🏾‍🍼	baby, baby ko feed karta vyakti, baby ko feed karta vyakti: medium-dark skin, feeding, medium-dark skin, nursing, person
🧑🏿‍🍼	baby, baby ko feed karta vyakti, baby ko feed karta vyakti: dark skin, dark skin, feeding, nursing, person
👼🏻	Fair skin, angel, baby, baby angel: Fair skin, face, fairy tale, fantasy
👼🏼	angel, baby, baby angel: medium-fair skin, face, fairy tale, fantasy, medium-fair skin
👼🏽	angel, baby, baby angel: medium skin, face, fairy tale, fantasy, medium skin
👼🏾	angel, baby, baby angel: medium-dark skin, face, fairy tale, fantasy, medium-dark skin
👼🏿	angel, baby, baby angel: dark skin, dark skin, face, fairy tale, fantasy
🎅🏻	Christmas, Fair skin, Santa Claus, Santa Claus: Fair skin, celebration, claus, father, santa
🎅🏼	Christmas, Santa Claus, Santa Claus: medium-fair skin, celebration, claus, father, medium-fair skin, santa
🎅🏽	Christmas, Santa Claus, Santa Claus: medium skin, celebration, claus, father, medium skin, santa
🎅🏾	Christmas, Santa Claus, Santa Claus: medium-dark skin, celebration, claus, father, medium-dark skin, santa
🎅🏿	Christmas, Santa Claus, Santa Claus: dark skin, celebration, claus, dark skin, father, santa
🤶🏻	Christmas, Fair skin, Mrs., Mrs. Claus, Mrs. Claus: Fair skin, celebration, claus, mother
🤶🏼	Christmas, Mrs., Mrs. Claus, Mrs. Claus: medium-fair skin, celebration, claus, medium-fair skin, mother
🤶🏽	Christmas, Mrs., Mrs. Claus, Mrs. Claus: medium skin, celebration, claus, medium skin, mother
🤶🏾	Christmas, Mrs., Mrs. Claus, Mrs. Claus: medium-dark skin, celebration, claus, medium-dark skin, mother
🤶🏿	Christmas, Mrs., Mrs. Claus, Mrs. Claus: dark skin, celebration, claus, dark skin, mother
🧑🏻‍🎄	Claus, christmas, Fair skin, mx claus, mx claus: Fair skin
🧑🏼‍🎄	Claus, christmas, medium-fair skin, mx claus, mx claus: medium-fair skin
🧑🏽‍🎄	Claus, christmas, medium skin, mx claus, mx claus: medium skin
🧑🏾‍🎄	Claus, christmas, medium-dark skin, mx claus, mx claus: medium-dark skin
🧑🏿‍🎄	Claus, christmas, dark skin, mx claus, mx claus: dark skin
🦸🏻	Fair skin, good, hero, heroine, superhero, superhero: Fair skin, superpower
🦸🏼	good, hero, heroine, medium-fair skin, superhero, superhero: medium-fair skin, superpower
🦸🏽	good, hero, heroine, medium skin, superhero, superhero: medium skin, superpower
🦸🏾	good, hero, heroine, medium-dark skin, superhero, superhero: medium-dark skin, superpower
🦸🏿	dark skin, good, hero, heroine, superhero, superhero: dark skin, superpower
🦸🏻‍♂	Fair skin, good, hero, man, man superhero, man superhero: Fair skin, superpower
🦸🏼‍♂	good, hero, man, man superhero, man superhero: medium-fair skin, medium-fair skin, superpower
🦸🏽‍♂	good, hero, man, man superhero, man superhero: medium skin, medium skin, superpower
🦸🏾‍♂	good, hero, man, man superhero, man superhero: medium-dark skin, medium-dark skin, superpower
🦸🏿‍♂	dark skin, good, hero, man, man superhero, man superhero: dark skin, superpower
🦸🏻‍♀	Fair skin, good, hero, heroine, superpower, woman, woman superhero, woman superhero: Fair skin
