،	arabic, arabic comma, comma
🤚🏻	Fair skin, backhand, raised, uthe huye haath ki back side, uthe huye haath ki back side: Fair skin
🤚🏼	backhand, medium-fair skin, raised, uthe huye haath ki back side, uthe huye haath ki back side: medium-fair skin
🤚🏽	backhand, medium skin, raised, uthe huye haath ki back side, uthe huye haath ki back side: medium skin
🤚🏾	backhand, medium-dark skin, raised, uthe huye haath ki back side, uthe huye haath ki back side: medium-dark skin
🤚🏿	backhand, dark skin, raised, uthe huye haath ki back side, uthe huye haath ki back side: dark skin
🖐️	faili fingers wala haath, finger, hand, splayed
🖐🏻	Fair skin, faili fingers wala haath, faili fingers wala haath: Fair skin, finger, hand, splayed
🖐🏼	faili fingers wala haath, faili fingers wala haath: medium-fair skin, finger, hand, medium-fair skin, splayed
🖐🏽	faili fingers wala haath, faili fingers wala haath: medium skin, finger, hand, medium skin, splayed
🖐🏾	faili fingers wala haath, faili fingers wala haath: medium-dark skin, finger, hand, medium-dark skin, splayed
🖐🏿	dark skin, faili fingers wala haath, faili fingers wala haath: dark skin, finger, hand, splayed
✋	haath, high 5, high five, utha hua haath
✋🏻	Fair skin, haath, high 5, high five, utha hua haath, utha hua haath: Fair skin
✋🏼	haath, high 5, high five, medium-fair skin, utha hua haath, utha hua haath: medium-fair skin
✋🏽	haath, high 5, high five, medium skin, utha hua haath, utha hua haath: medium skin
✋🏾	haath, high 5, high five, medium-dark skin, utha hua haath, utha hua haath: medium-dark skin
✋🏿	dark skin, haath, high 5, high five, utha hua haath, utha hua haath: dark skin
🖖🏻	Fair skin, finger, hand, spock, vulcan, vulcan salute, vulcan salute: Fair skin
🖖🏼	finger, hand, medium-fair skin, spock, vulcan, vulcan salute, vulcan salute: medium-fair skin
🖖🏽	finger, hand, medium skin, spock, vulcan, vulcan salute, vulcan salute: medium skin
🖖🏾	finger, hand, medium-dark skin, spock, vulcan, vulcan salute, vulcan salute: medium-dark skin
🖖🏿	dark skin, finger, hand, spock, vulcan, vulcan salute, vulcan salute: dark skin
🫱🏻	Fair skin, hand, right, rightward, rightwards hand, rightwards hand: Fair skin
🫱🏼	hand, medium-fair skin, right, rightward, rightwards hand, rightwards hand: medium-fair skin
🫱🏽	hand, medium skin, right, rightward, rightwards hand, rightwards hand: medium skin
🫱🏾	hand, medium-dark skin, right, rightward, rightwards hand, rightwards hand: medium-dark skin
🫱🏿	dark skin, hand, right, rightward, rightwards hand, rightwards hand: dark skin
🫱🏻‍🫲🏼	Fair skin, agreement, hand, handshake, handshake: Fair skin, medium-fair skin, medium-fair skin, meeting, shake
🫱🏻‍🫲🏽	Fair skin, agreement, hand, handshake, handshake: Fair skin, medium skin, medium skin, meeting, shake
🫱🏻‍🫲🏾	Fair skin, agreement, hand, handshake, handshake: Fair skin, medium-dark skin, medium-dark skin, meeting, shake
🫱🏻‍🫲🏿	Fair skin, agreement, dark skin, hand, handshake, handshake: Fair skin, dark skin, meeting, shake
🫱🏼‍🫲🏻	Fair skin, agreement, hand, handshake, handshake: medium-fair skin, Fair skin, medium-fair skin, meeting, shake
🫱🏼‍🫲🏽	agreement, hand, handshake, handshake: medium-fair skin, medium skin, medium skin, medium-fair skin, meeting, shake
🫱🏼‍🫲🏾	agreement, hand, handshake, handshake: medium-fair skin, medium-dark skin, medium-dark skin, medium-fair skin, meeting, shake
🫱🏼‍🫲🏿	agreement, dark skin, hand, handshake, handshake: medium-fair skin, dark skin, medium-fair skin, meeting, shake
🫱🏽‍🫲🏻	Fair skin, agreement, hand, handshake, handshake: medium skin, Fair skin, medium skin, meeting, shake
🫱🏽‍🫲🏼	agreement, hand, handshake, handshake: medium skin, medium-fair skin, medium skin, medium-fair skin, meeting, shake
🫱🏽‍🫲🏾	agreement, hand, handshake, handshake: medium skin, medium-dark skin, medium skin, medium-dark skin, meeting, shake
🫱🏽‍🫲🏿	agreement, dark skin, hand, handshake, handshake: medium skin, dark skin, medium skin, meeting, shake
🫱🏾‍🫲🏻	Fair skin, agreement, hand, handshake, handshake: medium-dark skin, Fair skin, medium-dark skin, meeting, shake
🫱🏾‍🫲🏼	agreement, hand, handshake, handshake: medium-dark skin, medium-fair skin, medium-dark skin, medium-fair skin, meeting, shake
🫱🏾‍🫲🏽	agreement, hand, handshake, handshake: medium-dark skin, medium skin, medium skin, medium-dark skin, meeting, shake
🫱🏾‍🫲🏿	agreement, dark skin, hand, handshake, handshake: medium-dark skin, dark skin, medium-dark skin, meeting, shake
🫱🏿‍🫲🏻	Fair skin, agreement, dark skin, hand, handshake, handshake: dark skin, Fair skin, meeting, shake
🫱🏿‍🫲🏼	agreement, dark skin, hand, handshake, handshake: dark skin, medium-fair skin, medium-fair skin, meeting, shake
🫱🏿‍🫲🏽	agreement, dark skin, hand, handshake, handshake: dark skin, medium skin, medium skin, meeting, shake
🫱🏿‍🫲🏾	agreement, dark skin, hand, handshake, handshake: dark skin, medium-dark skin, medium-dark skin, meeting, shake
🫲🏻	Fair skin, hand, left, leftward, leftwards hand, leftwards hand: Fair skin
🫲🏼	hand, left, leftward, leftwards hand, leftwards hand: medium-fair skin, medium-fair skin
🫲🏽	hand, left, leftward, leftwards hand, leftwards hand: medium skin, medium skin
🫲🏾	hand, left, leftward, leftwards hand, leftwards hand: medium-dark skin, medium-dark skin
🫲🏿	dark skin, hand, left, leftward, leftwards hand, leftwards hand: dark skin
🫳🏻	Fair skin, dismiss, drop, palm down hand, palm down hand: Fair skin, shoo
🫳🏼	dismiss, drop, medium-fair skin, palm down hand, palm down hand: medium-fair skin, shoo
🫳🏽	dismiss, drop, medium skin, palm down hand, palm down hand: medium skin, shoo
🫳🏾	dismiss, drop, medium-dark skin, palm down hand, palm down hand: medium-dark skin, shoo
🫳🏿	dark skin, dismiss, drop, palm down hand, palm down hand: dark skin, shoo
🫴🏻	Fair skin, beckon, catch, come, offer, palm up hand, palm up hand: Fair skin
🫴🏼	beckon, catch, come, medium-fair skin, offer, palm up hand, palm up hand: medium-fair skin
🫴🏽	beckon, catch, come, medium skin, offer, palm up hand, palm up hand: medium skin
🫴🏾	beckon, catch, come, medium-dark skin, offer, palm up hand, palm up hand: medium-dark skin
🫴🏿	beckon, catch, come, dark skin, offer, palm up hand, palm up hand: dark skin
👌	OK, OK kaa symbol, haath
👌🏻	Fair skin, OK, OK kaa symbol, OK kaa symbol: Fair skin, haath
👌🏼	OK, OK kaa symbol, OK kaa symbol: medium-fair skin, haath, medium-fair skin
👌🏽	OK, OK kaa symbol, OK kaa symbol: medium skin, haath, medium skin
👌🏾	OK, OK kaa symbol, OK kaa symbol: medium-dark skin, haath, medium-dark skin
👌🏿	OK, OK kaa symbol, OK kaa symbol: dark skin, dark skin, haath
🤌	fingers, haath kaa gesture, pinched, pooch-taachh, sarcastic
🤌🏻	Fair skin, fingers, haath kaa gesture, pinched, pinched fingers: Fair skin, pooch-taachh, sarcastic
🤌🏼	fingers, haath kaa gesture, medium-fair skin, pinched, pinched fingers: medium-fair skin, pooch-taachh, sarcastic
🤌🏽	fingers, haath kaa gesture, medium skin, pinched, pinched fingers: medium skin, pooch-taachh, sarcastic
🤌🏾	fingers, haath kaa gesture, medium-dark skin, pinched, pinched fingers: medium-dark skin, pooch-taachh, sarcastic
