¬	negatzione
🥜	birdura, màndigu, nutzola americana, nutzolas americanas
🫘	fasolos, fasolu, legùmenes, màndigu
🌰	castàngia, pranta
🍞	cocone, pane
🥐	cocone, croissant, filone, frantzesu, ismurzu, màndigu, pane
🥖	baguette, cocone, frantzesu, màndigu, pane
🫓	arepa, covatza, lavash, naan, pita
🥨	imboligadu, pretzel
🥯	bagel, ismurzu, paneteria
🥞	crêpe, ismurzu, màndigu, pancake, pancakes
🧇	gaufre, ismùrgiu, waffle
🍔	burger, hamburger
🍟	patata frinta, patatas frintas
🍕	fita, pizza
🌭	hot dog
🥚	ou
🧈	butiru
🧂	sale
🍣	sushi
🍼	alleu, bèvida, crabighera, creadura, criu, late, pipiu, pitzinneddu, puparola, tiralate, tirapetus, titiera
🥛	bèvida, late, tassa, tassa de late
☕️	bèvida, bèvida caente, caente, cafè, papore, tè
🫖	bèvida, tejera, tè
🍵	bèvida, tzìchera, tzìchera de tè, tzìchera de tè chene asa, tzìchera de tè chene mànigu, tè
🍶	ampulla, bèvida, sakè, tassa, tzilleri
🥢	bachitas, hashi
🍽️	coghina, furcheta, furcheta e leputzu cun pratu, leputzu, pratu, pratu cun posadas
🍴	coghina, furcheta, furcheta e leputzu, leputzu, posadas
🥄	cullera, posada
🔪	arma, coghina, leputzu, leputzu de coghina, traste
🫙	boto, butega, bòidu, cundimentu, cuntenidore, nuscos, pimentas
🏺	abbàrgiu, broca, bèvida, coghina, sinnu zodiacale, ziru, zodìacu, ànfora
🌍	Europa, mapamundu, mapamundu chi ammustrat s’Europa e s’Àfrica, mundu, terra, Àfrica
🌎️	Amèrica, Amèricas, mapamundu, mapamundu chi ammustrat sas Amèricas, mapamundu chi ammustrat s’Amèrica, mundu, terra, world
🌏	Austràlia, mapamundu, mapamundu chi ammustrat s’Àsia e s’Austràlia, mundu, terra, world, Àsia
🌐	mapamundu, mapamundu cun meridianos, meridianos, mundu, terra
🗺️	mapa, mapa de su mundu, mundu
🗾	Giapone, mapa, mapa de su Giapone
🧭	bùssola, magnètica, magnèticu, navigatzione, nàvigu, orientamentu
🏔️	cùcuru, fritu, montagna, monte, monte cun nie, montera, montàngia, nie
⛰️	cùcuru, montagna, monte, montera, montàngia
🌋	cùcuru, erutzione, montagna, monte, montera, montàngia, vulcanu
🗻	cùcuru, fuji, montagna, monte, monte fuji, montera, montàngia
🏕️	acampamentu, campègiu, tenda, vacàntzia
🏖️	istiu, mare, para-sole, praja, praja cun para-sole
🏜️	desertu
🏝️	desertu, soledade, ìsula, ìsula deserta
🏞️	parcu, parcu natzionale
🏟️	edifìtziu, fàbricu, istàdiu
🏛️	clàssicu, edifìtziu, edifìtziu clàssicu, fàbricu
🏗️	costrutzione, edilìtzia, fàbricu, fàbricu de un’edifìtziu
🧱	impastu, matone, matones, muru
🪨	coròngiu, pedra, perda, pesante, preda, roca, sòlida, sòlidu
🪵	cotighina, cotzighina, cotzigone, cotzinàrgiu, cotzina, linna, linnàmene, mutzigone, mutzu, truncu, tzompa
🛖	barraca, domo, iurta, pinneta, pinnetu
🏘️	domos, edifìtzios, fàbricos
🏚️	abbandonada, cadrudda, disabitada, domo, domo chi si nch’est irrughende, rùdere
🏠️	abitatzione, domo, edifìtziu, fàbricu
🏡	abitatzione, domo, domo cun giardinu, edifìtziu, fàbricu, giardinu
🏢	edifìtziu, edifìtziu de ufìtzios, fàbricu, fàbricu de ufìtzios, ufìtzios, ufìtziu
🏣	edifìtziu, fàbricu, giaponesu, postas, ufìtziu postale, ufìtziu postale giaponesu
🏤	edifìtziu, europeu, fàbricu, postas, ufìtziu postale
🏥	dutore, edifìtziu, fàbricu, ispidale, meighina, mèigos, salude
🏦	banca, edifìtziu, fàbricu
🏨	albergu, edifìtziu, fàbricu, hotel, posada
🏩	albergu, amore, edifìtziu, fàbricu, hotel, love hotel, motel
🏪	butega, butega 24 oras, buteghedda, drogheria, edifìtziu, fàbricu, minimarket
🏫	edifìtziu, fàbricu, iscola
🏬	butega, edifìtziu, fàbricu, supermercadu
🏭️	edifìtziu, fàbrica, fàbricu, industria
🏯	casteddu, casteddu giaponesu, edifìtziu, fàbricu, giaponesu
🏰	casteddu, edifìtziu, europeu, fàbricu
💒	amore, capella, coja, cojuiu, cresiedda
🗼	Turre de Tòkyo, Tòkyo, turre
🗽	Istàtua de sa Libertade, istàtua, libertade
⛪️	cristianèsimu, crèsia, edifìtziu, fàbricu, religione, rughe
🕌	edifìtziu, fàbricu, islam, islamismu, moschea, religione
🛕	edifìtziu, fàbricu, induismu, religione, tèmpiu, tèmpiu induista
🕍	ebraismu, edifìtziu, fàbricu, giudaismu, religione, sinagoga, tèmpiu
⛩️	jinja, religione, santuàriu, santuàriu shintoista, shintoismu
🕋	islam, islamismu, kaaba, religione
⛲️	càntaru, funtana, grifone, mitza
⛺️	campègiu, tenda
🌁	anneuladu, buorosu, bùora, fumatzosu, fuscu, nebidosu, neulosu, nèbida, nèula
🌃	isteddas, isteddos, isteddu, note, note cun isteddos
🏙️	edifìtzios, fàbricos, paesàgiu urbanu, tzitade
🌄	arborinu, arbèschida, arbèschida in sos montes, mangiana, mangianeddu, mangianile, mangianu, montagnas, monte, montera, montes, sole
🌅	arborinu, arbèschida, mangiana, mangianeddu, mangianile, mangianu
🌆	edifìtzios, fàbricos, intrinada, paesàgiu, sero, tzitade, tzitade a s’intrinada
🌇	edifìtzios, fàbricos, intrinada, paesàgiu, sole, tzitade
🌉	note, ponte, ponte a de note
♨️	calore, fontes termales, mitzas termales, papore, termas
🎠	caddu, caddu de giòstra, giostra
🛝	giogare, giogu, iscagiadòrgiu, lassinadòrgia, lassinadòrgiu, parcu de giogos, trauladòrgiu, àrea de ispàssiu
🎡	intratenimentu, parcu de disaogu, parcu de ispàssiu, roda panoràmica
🎢	intratenimentu, montagnas russas, parcu de disaogu, parcu de ispàssiu
💈	barbieri, insigna, palu, palu de barbieri, pelucheri, pilucheri, segada de pilos
🎪	intratenimentu, tenda, tendone, tendone de su tzircu, tzircu
🚂	ferrovia, locomotiva, motore, papore, trenu
🚃	elètricu, ferrovia, màchina, tram, trenu, vagone
🚄	ferrovia, lestresa, shinkansen, trenu, trenu a lestresa arta, velotzidade
🚅	balla, ferrovia, lestresa, shinkansen, trenu, trenu balla, velotzidade
🚆	ferrovia, trenu
🚇️	metro, metropolitana
🚈	binàriu lèbiu, ferrovia, metropolitana lèbia, metrotranvia
🚉	ferrovia, istatzione, trenu
🚊	filubus, tram
🚝	monorotàia, veìculu
🚞	ferrovia, ferrovia de monte, ferrovia montana, monte, trenu, veìculu
🚋	tram, vagone, vagone de su tram, veìculu
🚌	bus, corriera, postale, veìculu, àutobus
🚍️	arribende, bus, corriera, in arribu, in arrivu, postale, postale arribende, veìculu, àutobus
🚎	bus, filobus, filubus, postalinu cun filu, veìculu
🚐	bus, postale, postalinu, veìculu
🚑️	ambulàntzia, veìculu
🚒	autopompa, càmion, càmion de is pompieris, càmion de sos pompieris, pompieris, veìculu
🚓	automòbile, màchina, màchina de sa politzia, patùllia, politzia, veìculu
🚔️	arribende, automòbile, in arribu, in arrivu, màchina, màchina de sa politzia arribende, politzia, veìculu
🚕	taxi, veìculu
🚖	arribende, in arribu, in arrivu, taxi, taxi arribende, veìculu
🚗	automòbile, màchina, veìculu
🚘️	arribende, automòbile, automòbile arribende, in arribu, in arrivu, màchina, veìculu
🚙	SUV, automòbile, màchina, veìculu
🛻	camieddu, pick-up, pickup, veìculu
🚚	càmion, veìculu
🚛	autoarticuladu, càmion, càmion articuladu, semi-rimòrchiu, veìculu
🚜	tratore, veìculu
🏎️	automòbile de cursa, cursa, màchina de cursa, veìculu, àuto de cursa
🏍️	cursa, moto, mototzicleta, veìculu
🛵	motorinu, veìculu
🦽	atzessibilidade, cadira a rodas manuale, carrotzedda manuale, carrutzina manuale
🦼	atzessibilidade, cadira a rodas a motore, cadira a rodas motorizada, carrotzedda a motore, carrotzedda motorizada, carrutzina a motore, carrutzina motorizada
🛺	risciò a motore, risciò motorizadu, tuk tuk
🚲️	bitzicleta, veìculu
🛴	monopàtinu
🛹	skateboard, tàula de skateboard
🛼	pàtinos, pàtinos a rodeddas
🚏	bus, corriera, firmada, firmada de sa corriera, firmada de su postale, postale, àutobus
🛣️	autostrada, caminu, caminu lestru, pedàgiu
🛤️	binàrios, ferrovia, trenu
🛢️	barile, barile de petròliu, petròliu
⛽️	benzina, carburante, istatzione, istatzione de servìtziu, pompa de benzina
🛞	bortare, chircu, girare, gomma, pneumàticu, roda
🚨	lughe, lughe de sa politzia, politzia, sirena de sa politzia
🚥	semàforu orizontale, sinnale, tràficu
🚦	semàforu verticale, sinnale, tràficu
🛑	otagonale, sinnale, sinnale de stop, stop
🚧	barriera, cantieri, fràigu, traballos
⚓️	barca, imbarcatzione, nae, navile, naviu, traste, àncora
🛟	agiudu, gallegiante, gallegiare, sarvagente, seguresa, sucursu
⛵️	barca, barca a vela, localidade balneare, vela, yacht
🛶	barca, canoa, imbarcatzione
🚤	barca, imbarcatzione, motoscafu
🛳️	crotziera, imbarcatzione, nave, nave de crotziera, naviu
⛴️	batellu, imbarcatzione, nave, navile, naviu
🛥️	barca, barca a motore, imbarcatzione
🚢	imbarcatzione, nave, naviu
✈️	aeroplanu, aèreu, velìvolu
🛩️	aeroplaneddu, aeroplanu, aeroplanu minore, velìvolu
🛫	aeroplanu, aèreu, check-in, decollu, partèntzia, tzucada, velìvolu
🛬	aeroplanu, arribu, arrivu, aterràgiu, aèreu, velìvolu
🪂	paracadute, paracadutismu, pararutas
💺	cadira, sedile
🚁	elicòteru, velìvolu, veìculu
🚟	ferrovia, ferrovia suspesa, ferrovia suspèndida
🚠	cabina, funivia, montagna, monte, montera, veìculu
🚡	cabina, funivia aèrea, veìculu
🛰️	ispàtziu, satèllite
🚀	ispàtziu, razu
🛸	UFO, discu chi bolat
🛎️	albergu, campanedda, campanedda de albergu, posada
🧳	bagàlliu, biàgiu, valìgia
⌛️	arena, rellògiu a arena, rellògiu a arena chene tempus, rellògiu a rena, rellògiu a rena chene tempus, rena, tempus
⏳️	arena, rellògiu a arena, rellògiu a arena iscurrende, rellògiu a rena, rellògiu a rena iscurrende, rena, tempus
⌚️	rellògiu, rellògiu de burtzu
⏰	isvèllia, rellògiu
⏱️	cronòmetru, rellògiu
⏲️	rellògiu, temporizadore, timer
🕰️	rellògiu, rellògiu de consola, rellògiu de mesa, rellògiu de mènsola
🕛️	00:00, 12:00, dòighi, dòighi in puntu, in puntu, mesanote, mesudie, mesunote, rellògiu
🕧	00:30, 12:30, dòighi e mesa, dòighi e mesu, mesanote e mesa, mesanote e mesu, mesudie e mesa, mesudie e mesu, mesunote e mesa, mesunote e mesu, rellògiu
🕐️	13:00, 1:00, rellògiu, una, una in puntu
🕜	13:30, 1:30, rellògiu, una e mesa, una e mesu
🕑️	14:00, 2:00, duas, duas in puntu, rellògiu
🕝	14:30, 2:30, duas e mesa, duas e mesu, rellògiu
🕒️	15:00, 3:00, rellògiu, tres, tres in puntu
🕞	15:30, 3:30, rellògiu, tres e mesa, tres e mesu
🕓️	16:00, 4:00, bator, bator in puntu, rellògiu
🕟	16:30, 4:30, bator e mesa, bator e mesu, rellògiu
🕔️	17:00, 5:00, chimbe, chimbe in puntu, rellògiu
🕠	17:30, 5:30, chimbe e mesa, chimbe e mesu, rellògiu
🕕️	18:00, 6:00, rellògiu, ses, ses in puntu
🕡	18:30, 6:30, rellògiu, ses e mesa, ses e mesu
🕖️	19:00, 7:00, rellògiu, sete, sete in puntu
🕢	19:30, 7:30, rellògiu, sete e mesa, sete e mesu
🕗️	20:00, 8:00, oto, oto in puntu, rellògiu
🕣	20:30, 8:30, oto e mesa, oto e mesu, rellògiu
🕘️	21:00, 9:00, noe, noe in puntu, rellògiu
🕤	21:30, 9:30, noe e mesa, noe e mesu, rellògiu
🕙️	10:00, 22:00, deghe, deghe in puntu, rellògiu
🕥	10:30, 22:30, deghe e mesa, deghe e mesu, rellògiu
🕚️	11:00, 23:00, rellògiu, ùndighi, ùndighi in puntu
🕦	11:30, 23:30, rellògiu, ùndighi e mesa, ùndighi e mesu
🌑	isburridura de luna, iscura, iscuridade, iscuru, isperdimentu de luna, luna, luna noa
🌒	creschente, luna, luna creschente
🌓	cuartu, luna, primu cuartu de luna
🌔	creschente, cumbessa, luna, luna creschente cumbessa
🌕️	luna, luna prena, prena
🌖	calante, luna, luna calante cumbessa, menguante, minimante
🌗	cuartu, musciura, ùrtimu cuartu de luna
🌘	calante, ismenguamentu de luna, luna, luna betza, luna calante, luna modde, menguante, minimante
🌙	creschente, farche, farche de luna, luna
🌚	cara, fatze, luna, luna noa cun cara
🌛	cara, cuartu, fatze, luna, primu cuartu de luna cun cara
🌜️	cara, cuartu, fatze, luna, musciura, ùrtimu cuartu de luna cun cara
🌡️	clima, mèteu, temperadura, tempus, termòmetru
☀️	calore, lughente, luminosu, rajos, sole, solianu
🌝	cara, fatze, lughente, luminosa, luna, luna prena cun cara, prena
🌞	cara, fatze, lughente, luminosu, sole, sole cun cara
🪐	Saturnu, praneta cun aneddos, saturninu
⭐️	istedda, isteddu, istella
🌟	brillante, istedda, isteddu, isteddu chi brillat, isteddu chi lampat, isteddu lughente, istella, lampante, lughente
🌠	falada, falende, irruende, irruta, istedda, isteddu, isteddu coudu, istella, ruende, ruta
🌌	caminu de pàgia, galàssia, ispàtziu
☁️	clima, mèteu, nue, tempus
⛅️	nue, sole, sole in palas de una nue
⛈️	abba, lampos, lampu, nue, nue cun lampos e abba, proende, temporada, tronos, tronu
🌤️	nue, sole, sole in palas de una nue minoredda
🌥️	nue, sole, sole in palas de una nue manna
🌦️	abba, nue, proghende, sole, sole in palas de una nue cun abba
🌧️	abba, nue, nue cun abba
🌨️	fritu, nie, nue, nue cun nie
🌩️	lampos, lampu, nue, nue cun lampos, nue cun lampu, rajos, raju
🌪️	momonissa, preidoríssa, remolinu, tornadu, torvellinu, trumujone
🌫️	bùora, nèbida, nèula
🌬️	alenu, bentu, cara, cara de bentu, fatze, nue, sulada
🌀	momonissa, preidoríssa, remolinu, tifone, tornadu, torvellinu, trumujone, tziclone, uraganu
🌈	arcu de chelu, chirchiola
🌂	abba, paracu, paracu serradu, paràcua, paràcua serradu
☂️	abba, paracu, paràcua
☔️	gùtios, gùtios de abba, paracu, paracu cun gùtios de abba, paràcua, paràcua cun gùtios de abba
⛱️	arena, ombrellone, paracuone, parasole, praja, sole, umbrellone
⚡️	eletritzidade, elètrica, elètricu, lampu, perìgulu, tensione, tensione arta, voltàgiu, voltàgiu artu
❄️	fritu, froca, nie, solla, taddàine
☃️	fritu, nie, santeddu de nie, tzieddu de nie, òmine de nie
⛄️	fritu, nie, santeddu de nie, tzieddu de nie, òmine de nie, òmine de nie chene nie
☄️	cometa, ispàtziu
🔥	aina, fogu, frama
💧	fritu, fumetos, fumetu, gùtiu, sudore
🌊	abba, mare, otzèanu, unda, unda de abba, unda de su mare
🎃	Halloween, conca de mortu, festa, is animeddas, is pannigheddas, lanterna, sas ànimas, su bìddiu longu, su mortu mortu, su pedi cocone, tzuca
🎄	Pasca de Nadale, Paschighedda, mata de Nadale, àrbore de Nadale
🎆	festa, fogos de artifìtziu
🎇	bengala, festa, fogos de artifìtziu, ischintiddas
🧨	dinamite, fogos de artifìtziu, petardu
✨	*, chichinita, chichinitas, fraria, frarias, ischinchidda, ischinchiddas, ischintidda, ischintiddas, istedda, isteddu, istella, pispidda, pispiddas
🎈	festa, palloneddu, pallontzinu
🎉	coriàndolos, festa, ispara coriàndolos
🎊	botza, botza de coriàndolos, coriàndolos, festa
🎋	festa de is isteddas, festa de sos isteddos, giaponesu, mata, mata de Tanabata, àrbore, àrbore de Tanabata, àrbore de sos disìgios
🎍	bambù, bambù decoradu, decoratzione de pinu, festa, giaponesu, kadomatsu, pinu
🎎	buatas, festa manna, giaponesas, pupias, pupias giaponesas
🎏	bandereddas, bandereddas de carpas, carpas, festa, koinobori
🎐	bentu, campana, campana a su bentu, festa
🎑	cuntemplatzione de sa luna, festa, luna, tzerimònia, tzerimònia de osservatzione de sa luna
🧧	bonasorte, busta ruja, dinare, fortuna, hóngbāo, lai see
🎀	chirrione, festa, frocu, pubusa
🎁	donu, donu incartadu, festa, incartadu, iscàtula, regalu
🎗️	ammentadore, festa, nastru, nastru ammentadore
🎟️	ammissione, atzessu, billete, billete de intrada, intrada
🎫	ammissione, atzessu, billete, intrada
🎖️	glorificatzione, medàllia, medàllia militare, militare
🏆️	prèmiu, trofeu
🏅	medàllia, medàllia de isport
🥇	medàllia, medàllia de oro, medàllia de su de unu postu, medàllia de su primu postu, oro, primu
🥈	medàllia, medàllia de prata, medàllia de su de duos postos, medàllia de su de duos postu, medàllia de su primu postu, prata, segundu
🥉	brunzu, medàllia, medàllia de brunzu, medàllia de su de tres postos, medàllia de su de tres postu, medàllia de su tertzu postu, tertzu
⚽️	botza, botza de fùbalu, fùbalu
⚾️	baseball, botza, botza de baseball
🥎	botza, botza de softball, guante, softball
🏀	basket, botza, botza de basket, canistru, pallacanestro
🏐	botza, giogu, pallavolo, volley
🏈	botza, fùbalu americanu
🏉	botza, botza de rugby, rugby
🎾	botza, racheta, tennis
🥏	discu chi bolat, frisbee, ultimate frisbee
🎳	botza, bowling, giogu
🏏	botza, cricket, giogu, matza
🏑	botza, bàculu, giogu, hockey de pradu, matza, pradu
🏒	astra, bàculu, discu, giogu, hockey in s’astra, hockey in s’àstragu, matza, àstragu
🥍	botza, gol, lacrosse, racheta de lacrosse
🏓	botza, ping pong, racheta, rete, retza, retze, tennis de mesa
🏸	badminton, giogu, isport, racheta, volanu
🥊	boxe, guante, guante de boxe, guante de pugiladu, pugiladu
🥋	artes martziales, judo, karate, kimono, taekwondo, uniforme, uniforme de artes martziales, uniforme pro artes martziales
🥅	gol, isport, porta, rete, retza, retze
⛳️	banderedda in sa buca, buca, golf
⛸️	astra, patinàgiu, patinàgiu artìsticu, patinàgiu in s’astra, patinàgiu in s’àstragu, àstragu
🎣	canna, canna de pisca, lentza, pisca, pische
🤿	acabussada, bisera, caratza, imberghidura, imberghimentu, impojada, màscara pro sas imbèrghidas, màschera, snorkeling
🎽	atlètica, cursa, fàscia, isport, màllia, màllia de cursa
🎿	iscì, iscìs, nie
🛷	islita, tragu, tràngulu
🥌	curling, giogu, pedra, pedra de curling, perda, perda de curling, preda, preda de curling
🎯	bersàlliu, corpu diretu, fritza, fritzedda, giogu
🪀	gioghitu, giogu, maretare, maretosu, yo-yo
🪁	abbilone, bolare, cometa, pranare
🔫	abba, arma, pistola, pistola a abba, traste, trastu
🎱	8, billiardu, botza, botza de billiardu, botza de billiardu de 8, giogu, oto
🔮	addeinòngiu, aina, benidore, cristallu, destinu, fantasia, fortuna, isfera, isfera de cristallu, paristòria
🪄	bachita màgica, brùscia, brùsciu, coga, cogu, maia, majàrgia, majàrgiu
🎮️	controlladore, giogu, videogiogu
🕹️	giogu, joystick, leva de giogu, videogiogu
🎰	giogu, machineta màndiga-dinare, machineta màndiga-dinari
🎲	dadu, dadu de giogu, giogu, giogu de dados
🧩	giogu a incastros, incastros, incastru, puzzle, tèssera de giogu a incastros, tèssera de puzzle
🧸	gioghitu, piluche, ursigheddu
🪅	festa, ogliàcia, padeddatza, pignada, pinzadatza, sciaciapignada
🪩	ballu, botza de discoteca, brillante, brillare, dantza, discoteca, festa, ispricos
🪆	matrioska, pipia, pupia, pupias russas, rùssia
♠️	bastos, cartas, giogu, piche
♥️	cartas, coros, cupas, giogu
♦️	cartas, cuadros, dinares, dinaris, giogu, oros
♣️	cartas, frores, giogu
♟️	iscacos, pedone, pedone de is iscacos, pedone de sos iscacos, sacrificàbile
🃏	carta, giogu, jolly
🀄️	dragu ruju, dragu ruju de su mahjong, giogu, mahjong, tèssera
🎴	carta de giogu de frores, cartas de frores, frores, giaponesu, giogu, hanafuda
🎭️	arte, artes performativas, bisera, caratza, caratzas, màscara, màschera, teàtru
🖼️	arte, cornitze, cuadru, cuadru incornitzadu, guarnissa, immàgine, museu, pintura
🎨	arte, museu, pintura, tauledda, tauledda de is colores, tauledda de pintore, tauledda de sos colores
🧵	agu, cosìngiu, filu, rodineddu
🪡	agu, agu pro cosire, cosìngiu, puntos, ricamu, sartoria, suturas
🧶	botza, busare, glòmuru, gròmuru, isferrutzare, lòmuru, rumbulone, unchineddu
🪢	acapiadu, acapiare, annodadu, annodare, corda, ispagu, ligadu, ligare, nodu
👓️	bistimentas, ogru, ulleras, ulleras de vista
🕶️	iscuru, ogru, ulleras, ulleras de sole
🥽	amparu de sos ogros, bisera, caratza, màscara, màschera, nadare, nadòngiu, saldadura
🥼	càmitze, càmitze de laboratòriu, dutora, dutore, esprimentu, iscientziadu, mèiga, mèigu
🦺	antinfortunìstica, corpete, corpete de seguresa, emergèntzia, gileco, seguresa
👔	bestimenta, corbata
👕	bestimenta, malliedda
👖	bestimenta, cartzones, jeans, pantalones, ragas
🧣	coddu, isserpa, tzugru
🧤	guantes, manu
🧥	caparone, capoto, capotu, gabbanu, giaca, giacheta, redingote, redingotu, serenicu
🧦	cartzas, cartzitas, mesascartzas, migigheddas, mìgias
👗	bestimenta, bestire
👘	bestimenta, bestire, kimono
🥻	bestimenta, bestire, sari
🩱	costuminu, costuminu intreu
🩲	costuminu, costuminu de òmine, islip, mudandas, mudandas de òmine, slip, ìntimu
🩳	bermuda, cartzoneddos, costuminu, pantaloneddos, ìntimu
👙	bestimenta, bikini, costuminu, costuminu de fèmina
👚	bestimenta, bestire de fèmina, fèmina
👛	bestimenta, bussighedda, bussiotu, dinare, dinari, moneda, monedas, taschinu
👜	bestimenta, bursa, bussa, bussedda, bussighedda
👝	bestimenta, butzachedda, taschinu
🛍️	bursas, bursas de ispesa, bussas, bussas de ispesa, còmporas
🎒	iscola, zàinu, zàinu de iscola
🩴	cartzola, cartzola cun filu, cartzola de praja
👞	bestimenta, bota, iscarpa, iscarpa de òmine, iscrapita, iscrapita de òmine
👟	bestimenta, iscarpa, iscarpa de cursa, iscarpa de tennis, iscarpa isportiva, iscrapita
🥾	bota, bota de escursionismu, campègiu, escursionismu
🥿	ballerina, iscarpa bassa, iscarpa chene latzos, iscarpa sena latzos, iscrapita
👠	bestimenta, fèmina, iscarpa, iscarpa cun su tacu, iscrapita, tacone, tacu
👡	bestimenta, fèmina, iscarpa, iscrapita, sàndalu, sàndalu de fèmina
🩰	balligheddu, ballitu, iscarpitas de ballerinas, iscarpitas de balligheddu, iscarpitas de ballitu, iscarpitas pro ballerinas, iscrapitas
👢	bestimenta, bota, bota de fèmina, fèmina, iscarpa
👑	bestimenta, corona, re, rei, reina
👒	bestimenta, bonete, bonete de fèmina, capeddu, capeddu de fèmina, fèmina
🎩	bestimenta, bonete, bonete a tzilindru, capeddu, capeddu a tzilindru, tzilindru
🎓️	bestimenta, bonete, bonete de laureadu, capeddu, capeddu de laureadu, festa, laùrea, tzelebratzione
🧢	bonete cun visiera, bonete de baseball, capeddu cun visiera, capeddu de baseball
🪖	elmetu, elmetu militare, elmu, esèrtzitu, gherreri, mirrione, sordadu
⛑️	agiudu, arba, bianca, cascu, cascu cun rughe arba, cascu cun rughe bianca, elmetu, elmetu cun rughe arba, elmetu cun rughe bianca, rughe, sucursu
📿	bestimenta, collana, pregadoria, preghiera, religione, rosàriu
💄	arrubieddu, arrubietu, cosmèticos, russetu, trucos, trucu
💍	aneddu, diamante
💎	diamante, gemma, prenda
🔇	a sa muda, altoparlante istudadu, altoparlante mortu, istudadu, mortu, silentziosu
🔈️	altoparlante a volume bassu, volume bassu
🔉	altoparlante a volume mesanu, altoparlante a volume mèdiu, volume mesanu, voulme mèdiu
🔊	altoparlante a volume artu, volume artu
📢	altoparlante, discursu pùblicu, megàfonu
📣	altoparlante, megàfonu, tifu
📯	cornu postale, posta, postas
🔔	campana, campanedda
🔕	a sa muda, campana, campana istangada, campanedda, campanedda istangada, mudìmene, proibidu, silèntziu
🎼	mùsica, partidura, partidura musicale, pentagramma
🎵	mùsica, nota, nota musicale
🎶	mùsica, nota, notas, notas musicales
🎙️	istùdiu, micròfonu, micròfonu de istùdiu, mùsica
🎚️	controllu, controllu de su volume, cursore, cursore de su volume, mùsica, volume
🎛️	controllu, manòpulas, manòpulas de controllu, mùsica
🎤	karaoke, micròfonu
🎧️	auricolares, cùfias
📻️	ràdiu
🎷	istrumentu, istrumentu musicale, mùsica, sassòfonu
🪗	fisarmònica, organeddu, organete, organitu, soneddu, sonetu, sonu
🎸	chitarra, chiterra, istrumentu, istrumentu musicale, mùsica
🎹	istrumentu, istrumentu musicale, mùsica, pianoforte, pianu, tastieras, tecladu, tecladu musicale
🎺	istrumentu, istrumentu musicale, mùsica, trumba
🎻	istrumentu, istrumentu musicale, mùsica, violinu
🪕	banjo, istrumentu, istrumentu a cordas, istrumentu musicale, mùsica
🥁	bachitas, istrumentu, istrumentu musicale, mùsica, tamburu
🪘	bonghitu, bongu, conga, istrumentu, istrumentu musicale, mùsica, ritmu, tamburu, tamburu longu
📱	telefoneddu, telèfono, telèfono mòbile, telèfonu, telèfonu mòbile, tzellulare
📲	fritza, mutida, mutida in intrada, retzende, telefoneddu, telefoneddu cun fritza, telèfono, telèfonu, telèfonu mòbile
☎️	telèfono, telèfonu
📞	corneta, corneta de su telèfono, corneta de su telèfonu, telèfono, telèfonu
📟️	chircapersones
📠	fax
🔋	bateria
🪫	bateria bassa, bateria iscarrigada, bateria iscàrriga, eletrònica, energia bassa
🔌	eletritzidade, elètricu, ispina elètrica
💻️	carculadore, cumputadore, elaboradore, elaboradore portàtile, mòbile, ordinadore, portàtile
🖥️	carculadore, cumputadore, elaboradore de iscrivania, elaboradore fissu, ordinadore
🖨️	carculadore, cumputadore, elaboradore, imprentadora, ordinadore
⌨️	carculadore, cumputadore, elaboradore, ordinadore, tastiera, tecladu
🖱️	carculadore, cumputadore, elaboradore, ordinadore, ratu, ratu de s’ordinadore, sòrighe, topi
🖲️	botza de controllu, carculadore, cumputadore, elaboradore, ordinadore, trackball
💽	carculadore, cumputadore, discu, elaboradore, minidiscu, ordinadore, òticu
💾	carculadore, cumputadore, discheddu, discu, elaboradore, floppy, floppy disc, ordinadore
💿️	carculadore, cd, cumputadore, discu, discu òticu, elaboradore, ordinadore, òticu
📀	blu-ray, carculadore, cumputadore, discu, dvd, elaboradore, ordinadore, òticu
🧮	càrculu, àbacu
🎥	film, tzinepresa, tzìnema, videocàmera
🎞️	film, fotogrammas, pellìcula, pellìcula tzinematogràfica, tzìnema
📽️	film, projetore, projetore tzinematogràficu, tzìnema, vìdeu
🎬️	ciàc, ciàk, film, tzìnema
📺️	televisione, tv, vìdeu
📷️	fotocàmera, fotografia, màchina fotogràfica
📸	flash, fotocàmera, fotocàmera cun su flash, màchina fotogràfica, màchina fotogràfica cun su flash
📹️	telecàmera, videocàmera, vìdeu
📼	casseta, cassita, vhs, videocasseta, videocassita, vìdeu
🔍	aina, chirca, lente, lente de ismanniamentu, lente de ismanniamentu orientada cara a manca, traste, trastu
🔎	aina, chirca, lente, lente de ismanniamentu, lente de ismanniamentu orientada cara a destra, traste, trastu
🕯️	candela, lughe
💡	eletritzidade, elètrica, fumetu, idea, lampadina, lughe
🔦	elètrica, lughe, pila, tortza, traste
🏮	izakaya, lanterna, lanterna de paperi ruju, lanterna ruja, locale, lughe, tzilleri
🪔	diya, làmpada, làmpada a ògiu, làmpada diya, ògiu
📔	cobertedda decorada, cuadernu, cuadernu cun cobertedda decorada, tacuinu, tacuinu cun cobertedda decorada
📕	libru, libru serradu, libru tancadu
📖	libru, libru abertu
📗	libru, libru birde
📘	libru, libru biaitu
📙	libru, libru arantzu, libru in colore de arantzu
📚️	libros, libru
📓	cuadernu
