🏻	odos atspalvis, šviesios odos
🙅‍♀	draudžiama, draudžianti moteris, gestas, moteris, neleistina
🙆	gerai, gestai, ranka, teigiamas gestas
🙆‍♂	gerai, gestas, leidžiantis vyras, ranka, vyras
🙆‍♀	gerai, gestas, leidžianti moteris, moteris, ranka
💁	informacija, informacijos skyriaus darbuotojas, pagalba, ranka, įžūlus
💁‍♂	gyvas, lengvai pakelta ranka, lengvai ranką pakėlęs vyras, vyras
💁‍♀	gyvas, lengvai pakelta ranka, moteris, ranką pakėlusi moteris
🙋	gestas, iškelta, laimingas, ranka, žmogus, iškėlęs ranką
🙋‍♂	gestas, pakelta ranka, ranką pakėlęs vyras, vyras
🙋‍♀	gestas, moteris, pakelta ranka, ranką iškėlusi moteris
🙇	atsiprašymas, gestas, nusilenkimas, nusilenkęs žmogus
🙇‍♂	apgailestavimas, atsiprašymas, gestas, nusilenkiantis vyras, nusilenkimas, paslauga, vyras
🙇‍♀	apgailestavimas, atsiprašymas, gestas, moteris, nusilenkianti moteris, nusilenkimas, paslauga
🤦	beviltiškumas, neįtikėtinumas, o varge, susierzinimas, veidas
🤦‍♂	netikėjimas, susierzinimas, susierzinęs vyras, vyras
🤦‍♀	moteris, netikėjimas, susierzinimas, susierzinusi moteris
🤷	abejonė, gūžtelėjimas, gūžtelėjimas pečiais, nežinojimas
🤷‍♂	abejingumas, abejojantis vyras, abejonė, nežinojimas, trūkčioti pečiais, vyras
🤷‍♀	abejingumas, abejojanti moteris, abejonė, moteris, nežinojimas, trūkčioti pečiais
💆	masažas, salonas, veidas, veido masažas
💆‍♂	masažas, masažuojama vyro galva, veidas, vyras
💆‍♀	masažas, masažuojama moters galva, moteris, veidas
💇	apkerpamas žmogus, grožis, kirpėjas, salonas, šukuosena
💇‍♂	apkerpamas vyras, kirpimas, vyras
💇‍♀	apkerpama moteris, kirpimas, moteris
🚶	pėstysis, vaikščiojimas, vaikščioti, ėjimas
🚶‍♂	einantis vyras, eiti, vyras, žygiuoti
🚶‍♀	einanti moteris, eiti, moteris, žygiuoti
🏃	bėgikas, bėgiojimas, maratonas
🏃‍♂	bėgantis vyras, bėgimas, lenktynės, maratonas, vyras
🏃‍♀	bėganti moteris, bėgimas, lenktynės, maratonas, moteris
💃	moteris, šokanti moteris, šokis
🕺	vyras, šokantis vyras, šokis
👯	ausys, besilinksminančios moterys, merginos, moterys, zuikutis, šokėjos
👯‍♂	iškio ausytės, vakarėlis, vakarėlyje dalyvaujantys vyrai, vyrai, šokėjas
👯‍♀	kiškio ausytės, moteris, moterys, vakarėlis, vakarėlyje dalyvaujančios moterys, šokėja
🧖	asmuo garų kambaryje, garų kambarys, sauna
🧖‍♀	garų kambarys, moteris garų kambaryje, sauna
🧖‍♂	garų kambarys, sauna, vyras garų kambaryje
🧗	alpinistas, kopiantis žmogus
🧗‍♀	kopianti moteris
🧗‍♂	alpinistas, kopiantis vyras
🧘	joga, meditacija, žmogus lotoso pozoje
🧘‍♀	joga, meditacija, moteris lotoso pozoje
🧘‍♂	joga, meditacija, vyras lotoso pozoje
🛀	vonia, žmogus prausiasi vonioje
🛌	miegoti, viešbutis, žmogus lovoje
👤	biustas, biusto siluetas, siluetas
👥	biustas, biustų siluetai, siluetas
🤺	fechtavimas, fechtuotojas, kardas
🏇	arklių lenktynės, arklys, jojikas, lenktynės
🏌‍♂	golfas, golfo žaidėjas vyras, vyras
🏌‍♀	golfas, golfo žaidėja, moteris
🏄‍♂	banglenčių sportas, vyras, vyras banglentininkas
🏄‍♀	banglentininkė, banglenčių sportas, moteris
🚣	irkluojantis žmogus, transporto priemonė, valtis
🚣‍♂	irkluotojas, valtis, vyras
🚣‍♀	irkluotoja, moteris, valtis
🏊‍♂	plaukimas, vyras, vyras plaukikas
🏊‍♀	moteris, plaukikė, plaukimas
⛹‍♂	kamuolys, vyras, vyras su kamuoliu
⛹‍♀	kamuolys, moteris, moteris su kamuoliu
🏋‍♂	keliantis svorį, svorius keliantis vyras, vyras
