🏻	odos atspalvis, šviesios odos
⏲️	laikmatis, laikrodis
⏳️	laikmatis, smėlio laikrodis, smėlio laikrodis su krentančiu smėliu, smėlis
⏸️	dviguba, juosta, pauzė, pristabdyti, vertikali
⏹️	kvadratas, stabdyti, sustabdymo mygtukas
⏺️	ratas, įrašas, įrašymo mygtukas
Ⓜ️	apskritimas, m, raidė „M“
▪️	geometrija, juodas mažas kvadratas, kvadratas
▫️	baltas mažas kvadratas, geometrija, kvadratas
◻️	baltas vidutinis kvadratas, geometrija, kvadratas
◼️	geometrija, juodas vidutinis kvadratas, kvadratas
◽️	baltas vidutiniškai mažas kvadratas, geometrija, kvadratas
◾️	geometrija, juodas vidutiniškai mažas kvadratas, kvadratas
☀️	saulė, saulėta, spinduliai, šviesu
☁️	debesis, oras
☂️	drabužiai, lietus, skėtis
☃️	sniegas, sniego senis, šaltis
☄️	kometa, kosmosas
☎️	telefonas
☑️	balsavimas, balsavimo laukelis su varnele, laukelis, varnelė
☔️	drabužiai, lašas, lietus, skėtis, skėtis su lietaus lašais
☕️	arbata, garuoja, gerti, gėrimas, karšta, karštas gėrimas, kava
☘️	augalas, trilapis dobilas
☝️	delnu atsukta aukštyn pirštu rodanti ranka, indeksas, pirštas, ranka, rodyti, į viršų
☠️	kaukolė, kaukolė ir sukryžiuoti kaulai, mirtis, monstras, sukryžiuoti kaulai, veidas
☢️	radioaktyvu, ženklas
☣️	biorizika, ženklas
☦️	krikščionis, kryžius, ortodoksų kryžius, religija
☪️	islamas, musulmonas, religija, žvaigždė ir pusmėnulis
☮️	taika, taikos simbolis
☯️	In ir Jang, in, jang, religija, tao, taoizmas
☸️	Dharmos ratas, budistas, dharma, ratas, religija
☹️	paniuręs, paniuręs veidas, veidas
☺️	atsipalaidavęs, besišypsantis veidas, veidas, šypsena
♀️	moteris, moteriškos lyties ženklas
♂️	vyras, vyriškos lyties ženklas
♈️	avinas, zodiakas
♉️	bulius, tauras, zodiakas
♊️	dvyniai, zodiakas
♋️	krabas, vėžys, zodiakas
♌️	liūtas, zodiakas
♍️	mergelė, zodiakas
♎️	pusiausvyra, svarstyklės, teisingumas, zodiakas
♏️	skorpionas, zodiakas
♐️	zodiakas, šaulys
♑️	ožiaragis, ožys, zodiakas
♒️	vandenio ženklas, vanduo, zodiakas
♓️	zodiakas, žuvis, žuvys
♟️	naivuolis, paaukotinas, šachmatai, šachmatų pėstininkas
♠️	kortos, pikai, žaidimas
♣️	kortos, kryžiai, žaidimas
♥️	kortos, širdys, žaidimas
♦️	būgnai, būgnas, kortos, žaidimas
♨️	garai, karšta, karštosios versmės, versmės
♻️	perdirbimo simbolis, perdirbti
♾️	amžinai, begalybė, neribotas, universalus
♿️	neįgaliojo vežimėlio simbolis, pasiekiamumas
⚒️	kirstuvas, plaktukas, plaktuvas ir kirstuvas, įrankis
⚓️	inkaras, laivas, įrankis
⚔️	ginklai, kardai, sukryžiuoti, sukryžiuoti kardai
⚕️	asklepijus, medicina, medicinos simbolis, personalas
⚖️	pusiausvyra, svarstyklės, svarstyklės su lėkštėmis, svoris, teisingumas, zodiakas, įrankis
⚗️	chemija, distiliavimo indas, įrankis
⚙️	krumpliaratis, įrankis
⚛️	ateistas, atomas, atomo simbolis
⚠️	įspėjimas
⚡️	aukštoji įtampa, elektra, pavojus, įtampa, žaibas
⚪️	baltas rutulys, geometrija, rutulys
⚫️	geometrija, juodas rutulys, rutulys
⚰️	karstas, mirtis
⚱️	laidojimo urna, laidotuvės, mirtis, urna
⚽️	futbolas, futbolo kamuolys, kamuolys
⚾️	beisbolo kamuoliukas, kamuolys
⛄️	sniegas, sniego senis, sniego senis be sniego, šaltis
⛅️	debesis, saulė, saulė už debesų
⛈️	debesis, debesis su žaibu ir lietumi, lietus, žaibas
⛏️	kasimas, kirstuvas, įrankis
⛑️	kepurė, kryžius, pagalba, veidas, šalmas, šalmas su baltu kryžiumi
⛓️	grandinė, grandinės
⛔️	draudžiama, eismas, ne, uždrausta, įėjimas, įėjimo nėra
⛩️	religija, Šintoizmo šventykla, šintoizmas, šventykla
⛪️	bažnyčia, krikščionis, kryžius, pastatas, religija
⛰️	kalnas
⛱️	lietus, saulė, skėtis, skėtis ant žemės
⛲️	fontanas
⛳️	golfas, skylutė, vėliava skylutėje
⛴️	keleivis, keltas, valtis
⛵️	burlaivis, jachta, jūra, kurortas, valtis
⛷️	slidininkas, slidinėti, sniegas
⛸️	ledas, pačiūžos, čiuožinėti
⛹️	kamuolys, žmogus su kamuoliu
⛺️	palapinė, stovyklavimas
⛽️	degalai, degalinė, degalų siurblys, dujos, siurblys
✂️	įrankis, žirklės
✈️	lėktuvas
✉️	el. laiškas, el. paštas, vokas
✌️	pergalė, pergalės ženklą rodanti ranka, ranka, v
✍️	ranka, rašanti ranka, rašyti
✏️	pieštukas
✒️	juoda plunksna, rašiklis, smaigalys
✔️	paryškinta varnelė, varnelė, žymė
✖️	atšaukti, dauginti, daugyba, paryškintas daugybos ženklas, x
✝️	Romos katalikų kryžius, krikščionis, kryžius, religija
✡️	Dovydas, Dovydo žvaigždė, religija, žvaigždė, žydas, žydų
✳️	aštuoniakampė žvaigždutė, žvaigždutė
✴️	aštuoniakampė žvaigždė, žvaigždė
❄️	snaigė, sniegas, šaltis
❇️	kibirkštis, kibirkštėlė
❓️	klausimas, klaustukas, skyryba, žymė
❗️	skyryba, šauktukas, žymė
❣️	skyryba, storas širdelės formos šauktukas, šauktukas, širdis, ženklas
❤️	raudona širdelė, širdis
➡️	koordinatė, kryptis, rodyklė, rodyklė į dešinę, rytai
⤴️	rodyklė, rodyklė į dešinę, užlenkta į viršų
⤵️	rodyklė, rodyklė į dešinę, užlenkta į apačią, į apačią
⬅️	koordinatė, kryptis, rodyklė, rodyklė į kairę, vakarai
⬆️	koordinatė, kryptis, rodyklė, rodyklė į viršų, šiaurė
⬇️	koordinatė, kryptis, pietūs, rodyklė, rodyklė į apačią, į apačią
⬛️	geometrija, juodas didelis kvadratas, kvadratas
⬜️	baltas didelis kvadratas, geometrija, kvadratas
⭐️	balta vidutinė žvaigždė, žvaigždė
⭕️	o, ratas, ryškus didelis ratas
〰️	brūkšnys, skyryba, vingiuotas, vingiuotas brūkšnys
〽️	dalis, dalių apkeitimo ženklas, žymė
㊗️	hieroglifas, japonų, pasveikinimą reiškiantis hieroglifas, sveikinimas
㊙️	hieroglifas, japonų, paslaptis, paslaptį reiškiantis hieroglifas
🀄️	madžongas, madžongo raudonas drakonas, raudonas, žaidimas
🅰️	a, mygtukas „A“ (raudona), raudona
🅱️	b, mygtukas „B“ (raudona), raudona
🅾️	o, raudona, simbolis „O“ (raudona)
🅿️	automobilių stovėjimas, simbolis „P“
🈂️	hieroglifas, japonų, paslaugos mokestis, paslaugos mokestį reiškiantis hieroglifas
🌎️	Amerika, gaublys, pasaulis, žemė, žemės rutulys su Šiaurės ir Pietų Amerikos žemynais
🌕️	mėnulis, pilnas, pilnatis
🌜️	delčios mėnulis su veidu, ketvirtis, mėnulis, veidas
🌡️	oras, termometras
🌤️	debesis, saulė, saulė už nedidelio debesies
🌥️	debesis, saulė, saulė už didelio debesies
🌦️	debesis, lietus, saulė, saulė už debesies, iš kurio lyja
🌧️	debesis, debesis, iš kurio lyja, lietus
🌨️	debesis, debesis, iš kurio sninga, sniegas, šaltis
🌩️	debesis, debesis su žaibu, žaibas
🌪️	debesis, sūkurys, tornadas
🌫️	debesis, ūkana
🌬️	debesis, pūsti, veidas, vėjas, vėjo veidas
🌶️	aštrus, aštrusis pipiras, pipiras
🍸️	baras, gėrimas, kokteilio taurė, kokteilis, taurė
🍽️	lėkštė, maisto gaminimas, peilis, šakutė, šakutė ir peilis su lėkšte
🎓️	baigimas, drabužiai, kepurė, kepurėlė, mokyklos baigimo kepurėlė, šventė
🎖️	kariuomenė, kariuomenės medalis, medalis, šventė
🎗️	atminimo kaspinas, kaspinas, priminimas, šventė
🎙️	mikrofonas, muzika, studija, studijos mikrofonas
🎚️	lygio slankiklis, lygis, muzika, slankiklis
🎛️	muzika, rankenos, valdymas, valdymo rankenos
🎞️	filmas, filmo kadrai, juosta, kadrai, kinas
🎟️	bilietas, įėjimas, įėjimo bilietai
🎧️	ausinės
🎬️	filmas, pliauškė, pranešimo lenta
🎭️	kaukė, menas, pasirodymas, scenos menas, teatras
🎮️	vaizdo žaidimas, valdiklis, žaidimas
🏂️	slidinėti, sniegas, snieglentė, snieglenčių sporto mėgėjas
🏄️	banglentininkas, banglenčių sportas
🏆️	prizas, trofėjus
🏊️	plaukikas, plaukti
🏋️	kilnotojas, svoris, svorių kilnotojas
🏌️	golfas, golfo žaidėjas, kamuoliukas
🏍️	lenktynės, motociklas
🏎️	automobilis, lenktyninis automobilis, lenktynės
🏔️	kalnas, kalnas su snieguota viršūne, sniegas, šaltis
🏕️	stovyklavimas
🏖️	paplūdimys, paplūdimys ir skėtis, skėtis
🏗️	klasikinis, pastato konstrukcija
🏘️	namai
🏙️	miestas, miesto vaizdas
🏚️	apleistas, apleistas pastatas, namas
🏛️	klasikinis, klasikinis pastatas
🏜️	dykuma
🏝️	atoki sala, dykuma, sala
🏞️	nacionalinis parkas, parkas
🏟️	stadionas
🏠️	namai, namas, pastatas
🏭️	gamykla, pastatas
🏳️	balta vėliava, mojavimas
🏵️	augalas, rozetė
🏷️	etiketė
🐈️	katė, naminis gyvūnas
🐕️	naminis gyvūnas, šuo
🐟️	zodiakas, žuvis, žuvys
🐦️	paukštis
🐿️	voverė
👁️	akis, kūnas
👂️	ausis, kūnas
👆️	delnu nusukta aukštyn pirštu rodanti ranka, indeksas, kūnas, pirštas, ranka, rodyti, į viršų
👇️	delnu nusukta žemyn pirštu rodanti ranka, indeksas, pirštas, ranka, rodyti, į apačią
👈️	indeksas, pirštas, ranka, rodyti, į kairę pirštu rodanti ranka
👉️	indeksas, pirštas, ranka, rodyti, į dešinę pirštu rodanti ranka
👍️	liuks, nykštys, nykštys į viršų, ranka, į viršų
👎️	blogai, nykštys, nykštys į apačią, ranka
👓️	akiniai, akys, apranga
👪️	mama, tėvas, vaikas, šeima
👽️	ateivis, fantazija, kūrinys, nežemiška būtybė, veidas
💣️	bomba, komiksas
💰️	doleris, maišas, pinigai, pinigų maišas
💳️	bankas, kortelė, kreditas, kredito kortelė, pinigai
💻️	asmeninis, kompiuteris, skreitinis kompiuteris
💿️	CD, diskas, kompaktinis diskas, kompiuteris, optinis, optinis diskas
📋️	segtuvas
📚️	knyga, knygos
📟️	gaviklis
📤️	dėklas, išsiųsti, laiškas, paštas, siunčiami, siunčiamų laiškų dėklas
📥️	dėklas, gaunamų laiškų dėklas, gauti, laiškas, paštas
📦️	dėžė, paketas, siuntinys
📪️	nuleista, paštas, pašto dėžutė, uždaryta, uždaryta pašto dėžutė su nuleista vėliava
📫️	paštas, pašto dėžutė, uždaryta, uždaryta pašto dėžutė su pakelta vėliava
📬️	atidaryta, atidaryta pašto dėžutė su pakelta vėliava, paštas, pašto dėžutė
📭️	atidaryta, atidaryta pašto dėžutė su nuleista vėliava, nuleista, paštas, pašto dėžutė
📷️	fotoaparatas, vaizdo įrašas
📹️	fotoaparatas, vaizdo kamera, vaizdo įrašas
📺️	TV, televizorius, vaizdo įrašas
📻️	radijas, vaizdo įrašas
📽️	filmas, filmų projektorius, kinas, projektorius, vaizdo įrašas
🔈️	tylus, tylus garsiakalbis
🔒️	spyna, uždaryta
🔓️	atidaryta, atrakinta, atrakinta spyna, spyna
🕉️	Om, hindu, religija
🕊️	balandis, paukštis, skristi, taika
🕐️	00, 1, 1:00, pirma valanda, valandos, viena
🕑️	00, 2, 2:00, dvi, dvi valandos, valandos
🕒️	00, 3, 3:00, trys, trys valandos, valandos
🕓️	00, 4, 4:00, keturios, keturios valandos, valandos
🕔️	00, 5, 5:00, penkios, penkios valandos, valandos
🕕️	00, 6, 6:00, valandos, šešios, šešios valandos
🕖️	00, 7, 7:00, septynios, septynios valandos, valandos
🕗️	00, 8, 8:00, aštuonios, aštuonios valandos, valandos
🕘️	00, 9, 9:00, devinta valanda, devynios, valandos
🕙️	00, 10, 10:00, dešimt, dešimt valandų, valandos
🕚️	00, 11, 11:00, valandos, vienuolika, vienuolika valandų
🕛️	00, 12, 12:00, dvylika, dvylika valandų, valandos
🕯️	šviesa, žvakė
🕰️	laikrodis, virš židinio laikomas laikrodis
🕳️	duobė
🕴️	kostiumas, verslas, vyras, į orą kylantis vyras su kostiumu
🕵️	detektyvas, šnipas
🕶️	akiniai, akiniai nuo saulės, akys, tamsūs
🕷️	vabzdys, voras
🕸️	tinklas, voras, voratinklis
🕹️	vaizdo žaidimas, valdymo svirtis, žaidimas
🖇️	sujungimas, sukabintos sąvaržėlės, sąvaržėlė
🖊️	rašiklis, tušinukas
🖋️	automatinis plunksnakotis, plunksnakotis, rašiklis
🖌️	tapymas, teptukas
🖍️	kreidelė
🖐️	iškelta ranka su išskėstais pirštais, išskėsta, pirštas, ranka
🖥️	kompiuteris, stalinis, stalinis kompiuteris
🖨️	kompiuteris, spausdintuvas
🖱️	kompiuterio pelė, kompiuteris
🖲️	kompiuteris, rutulinis manipuliatorius
🖼️	menas, muziejus, paveikslas, piešinys, rėmas, rėmas su paveikslu
🗂️	indeksas, kortelių laikiklio skirtukai, kortelė, skirtukai
🗃️	dėžė, failas, kortelių saugojimo dėžė, kortelė
🗄️	bylų spintelė su stalčiais, failas, failų spintelė su stalčiais, spintelė
🗑️	šiukšliadėžė
🗒️	spiralė, užrašas, užrašinė, užrašinė su spirale
🗓️	kalendorius, kalendorius su spirale, spiralė, užrašinė
🗜️	spaustuvai, suspaudimas, įrankis
🗝️	raktas, sena, senas raktas, spyna
🗡️	durklas, ginklas, peilis
🗣️	galva, kalbanti galva, kalbėjimas, kalbėti, siluetas, veidas
🗨️	dialogas, kairysis kalbos debesėlis, kalba
🗯️	balionas, debesėlis, dešinysis pykčio debesėlis, piktas, įsiutęs
🗳️	balsavimas, balsavimo dėžutė su balsavimo biuleteniu, dėžutė
🗺️	pasaulio žemėlapis, pasaulis, žemėlapis
😐️	neišraiškingas, neutralus, neutralus veidas, veidas
🚇️	metro, transporto priemonė
🚍️	artėjantis, artėjantis autobusas, autobusas
🚑️	greitosios pagalbos automobilis, transporto priemonė
🚔️	artėjantis, artėjantis policijos automobilis, automobilis, policija
🚘️	artėjanti, artėjantis automobilis, automobilis, mašina
🚭️	draudžiama, ne, rūkymas, rūkyti draudžiama, uždrausta
🚲️	dviratis, transporto priemonė
🚹️	tualetas, vyras, vyrų tualetas, wc
🚺️	moteris, moterų tualetas, tualetas, wc
🚼️	kūdikio simbolis, kūdikis, vystyklų keitimas
🛋️	lempa, sofa, sofa ir lempa, viešbutis
🛍️	apsipirkimas, krepšys, pirkinių krepšeliai, viešbutis
🛎️	skambinti, skambutis, viešbutis
🛏️	lova, miegoti, viešbutis
🛠️	plaktukas, plaktukas ir veržliaraktis, veržliaraktis, įrankis
🛡️	ginklas, skydas
🛢️	degalai, degalų statinė, statinė
🛣️	greitkelis, kelias
🛤️	geležinkelio bėgiai, geležinkelis, traukinys
🛥️	motorinė valtis, valtis
🛩️	lėktuvas, mažas lėktuvas
🛰️	kosmosas, palydovas
🛳️	keleivinis laivas, keleivis, laivas
