‾	kan layi
🫥	baƙin ciki, ganuwa, kewaye da ɗige fuska, mai gabatarwa, ɓace, ɓoye
😏	fuska, fuska mai murmushin wauta, murmushin wauta
😒	baƙin ciki, fuska, fuska mara sha’awa, mara sha’awa
🙄	fuska, fuska tare da idanu masu mirgina, idanu, mai mirgina
😬	fuska, fuska na ɗauren fuska, ɗauren fuska
🤥	fuska, fuska mai yin ƙarya, pinocchio, ƙarya
😌	fuska, fuska mai kwancin hankali, kwancin hankali
😔	fuska, fuska mai yin tunani, mai sanyin jiki, mai yin tunani
😪	barci, fuska, fuska mai jin barci
🤤	fuska, fuska mai nuna ɓacin rai, nuna ɓacin rai
😴	barci, fuska, fuska mai yin barci, zzz
😷	abin rufen fuska, fuska, fuska mai abin rufen fuska na aikin kula da lafiya, fuska mai abin rufen fuska na kula da lafiya, likita, magani, maras lafiya, sanyi
🤒	fuska, fuska mai tsinken awon zafin jiki, maras lafiya, rashin lafiya, tsinken awon zafin jiki
🤕	bandeji, ciwo, fuska, fuska mai bandejin-kai, rauni
🤢	amai, fuska, fuska mai tashin zuciya, mai tashin zuciya
🤮	amai, fuska yin amai, maras lafiya
🤧	atishawa, fuska, fuska mai yin atishawa, geshundheit
🥵	fuska mai zafi, jar fuska, zafi, zafin bugu, zazzaɓi, zufa
🥶	daskarewa, fuska mai sanyi, fuska mai shuɗi, icicles, sanyi
🥴	buguwa, fuska mai kasala, idanu mara kyau, jiri, matashin tukwici, tsuke baki
😵	fuska, fuska mai jin jiri, jiri
🤯	firgitacce, kai mai bashewa
🤠	fuska, fuska mai hular kaboyi, hula, kaboyi, kaboyi na mace
🥳	biki, fuska mai liyafa, hula, liyafa, usur
🥸	fuska, hanci, sake kama, sauya fuska, tabarau, ɓuya
😎	fuska, fuska mai murmushi tare da tabarau, mai haske, mai ni’ima, rana, tabarau
🤓	fuska, fuska mai daƙiƙi, mai azanci, mai daƙiƙi
🧐	fuska tare da tabarau mai ido ɗaya, mai cunkusa
😕	fuska, rikitacce, rikitacciyar fuska
🫤	fuska mai karkataccen baki, mai shakka, meh, rashin jin daɗi, rashin tabbas
😟	fuska, fuska mai damuwa, mai damuwa
🙁	fuska, fuska mai gama gira kaɗan, gama gira
☹️	fuska, fuska mai gama gira, gama gira
😮	a buɗe, baki, fuska, fuska tare da baki a buɗe, tausayi
😯	fuska, fuska mai nitsuwa, mai mamaki, nitsuwa, rikitacce
😲	fuska, fuska mai burgewa, gaba ɗaya, mai burgewa, mai mamaki
😳	fuska, fuska mai murna, mai murna, mamaki
🥺	bara, fuska mai roƙo, idanun kwikuyo, neman fuska, rahama
🥹	baƙin ciki, fushi, fuska ido ya ciko, kuka, mai alfahari, tsayayya
😦	a buɗe, baki, fuska, fuska mai gama gira tare da baki a buɗe, gama gira
😧	fuska, fuska mai tagayyara, mai tagayyara
😨	firgita, fuska, fuska mai jin tsoro, jin tsoro, tsoro
😰	fuska, fuska tare da baki a buɗe & gumi mai sanyi, fuska tare da baki a buɗe da gumi mai sanyi, gaggauta, gumi, sanyi, shuɗi
😥	fuska, fuska mai ɓata rai mai kwanciyar hankali, fuska ɓata wa rai amma mai kwancin hankali, kwancin hankali, whew, ɓata wa rai
😢	baƙin ciki, fuska, fuska mai kuka, hawaye, kuka
😭	baƙin ciki, fuska, fuska mai kuka da ƙarfi, hawaye, kuka, kuka da shassheƙa
😱	ci abinci da sauri, fuska, fuska mai yin ƙara a cikin tsoro, jin tsoro, mai tsoro, tsoro, yi ƙara
😖	fuska, fuska mai rikitarwa, rikitarwa
😣	fuska, fuska mai nacewa, nacewa
😞	fuska, fuska mai ɓacin rai, ɓacin rai
😓	fuska, fuska tare da gumi mai sanyi, gumi, sanyi
