👩🏾‍🏫	húðtegund 5, kennari, kona, kvenkyns kennari, kvenkyns kennari: húðtegund 5, leiðbeinandi, skóli
👩🏿‍🏫	húðtegund 6, kennari, kona, kvenkyns kennari, kvenkyns kennari: húðtegund 6, leiðbeinandi, skóli
👨🏻‍⚖	dómari, dómur, húðtegund 1–2, karl, karlkyns dómari, karlkyns dómari: húðtegund 1–2, réttur
👨🏼‍⚖	dómari, dómur, húðtegund 3, karl, karlkyns dómari, karlkyns dómari: húðtegund 3, réttur
👨🏽‍⚖	dómari, dómur, húðtegund 4, karl, karlkyns dómari, karlkyns dómari: húðtegund 4, réttur
👨🏾‍⚖	dómari, dómur, húðtegund 5, karl, karlkyns dómari, karlkyns dómari: húðtegund 5, réttur
👨🏿‍⚖	dómari, dómur, húðtegund 6, karl, karlkyns dómari, karlkyns dómari: húðtegund 6, réttur
👩🏻‍⚖	dómari, dómur, húðtegund 1–2, kona, kvenkyns dómari, kvenkyns dómari: húðtegund 1–2, réttur
👩🏼‍⚖	dómari, dómur, húðtegund 3, kona, kvenkyns dómari, kvenkyns dómari: húðtegund 3, réttur
👩🏽‍⚖	dómari, dómur, húðtegund 4, kona, kvenkyns dómari, kvenkyns dómari: húðtegund 4, réttur
👩🏾‍⚖	dómari, dómur, húðtegund 5, kona, kvenkyns dómari, kvenkyns dómari: húðtegund 5, réttur
👩🏿‍⚖	dómari, dómur, húðtegund 6, kona, kvenkyns dómari, kvenkyns dómari: húðtegund 6, réttur
👨🏻‍🌾	bóndi, garðyrkjumaður, húðtegund 1–2, karl, karlkyns bóndi, karlkyns bóndi: húðtegund 1–2
👨🏼‍🌾	bóndi, garðyrkjumaður, húðtegund 3, karl, karlkyns bóndi, karlkyns bóndi: húðtegund 3
👨🏽‍🌾	bóndi, garðyrkjumaður, húðtegund 4, karl, karlkyns bóndi, karlkyns bóndi: húðtegund 4
👨🏾‍🌾	bóndi, garðyrkjumaður, húðtegund 5, karl, karlkyns bóndi, karlkyns bóndi: húðtegund 5
👨🏿‍🌾	bóndi, garðyrkjumaður, húðtegund 6, karl, karlkyns bóndi, karlkyns bóndi: húðtegund 6
👩🏻‍🌾	bóndi, garðyrkjumaður, húðtegund 1–2, kona, kvenkyns bóndi, kvenkyns bóndi: húðtegund 1–2
👩🏼‍🌾	bóndi, garðyrkjumaður, húðtegund 3, kona, kvenkyns bóndi, kvenkyns bóndi: húðtegund 3
👩🏽‍🌾	bóndi, garðyrkjumaður, húðtegund 4, kona, kvenkyns bóndi, kvenkyns bóndi: húðtegund 4
👩🏾‍🌾	bóndi, garðyrkjumaður, húðtegund 5, kona, kvenkyns bóndi, kvenkyns bóndi: húðtegund 5
👩🏿‍🌾	bóndi, garðyrkjumaður, húðtegund 6, kona, kvenkyns bóndi, kvenkyns bóndi: húðtegund 6
👨🏻‍🍳	elda, húðtegund 1–2, karl, karlkyns kokkur, karlkyns kokkur: húðtegund 1–2, kokkur, matreiðsla
👨🏼‍🍳	elda, húðtegund 3, karl, karlkyns kokkur, karlkyns kokkur: húðtegund 3, kokkur, matreiðsla
👨🏽‍🍳	elda, húðtegund 4, karl, karlkyns kokkur, karlkyns kokkur: húðtegund 4, kokkur, matreiðsla
👨🏾‍🍳	elda, húðtegund 5, karl, karlkyns kokkur, karlkyns kokkur: húðtegund 5, kokkur, matreiðsla
👨🏿‍🍳	elda, húðtegund 6, karl, karlkyns kokkur, karlkyns kokkur: húðtegund 6, kokkur, matreiðsla
👩🏻‍🍳	elda, húðtegund 1–2, kokkur, kona, kvenkyns kokkur, kvenkyns kokkur: húðtegund 1–2, matreiðsla
👩🏼‍🍳	elda, húðtegund 3, kokkur, kona, kvenkyns kokkur, kvenkyns kokkur: húðtegund 3, matreiðsla
👩🏽‍🍳	elda, húðtegund 4, kokkur, kona, kvenkyns kokkur, kvenkyns kokkur: húðtegund 4, matreiðsla
👩🏾‍🍳	elda, húðtegund 5, kokkur, kona, kvenkyns kokkur, kvenkyns kokkur: húðtegund 5, matreiðsla
👩🏿‍🍳	elda, húðtegund 6, kokkur, kona, kvenkyns kokkur, kvenkyns kokkur: húðtegund 6, matreiðsla
👨🏻‍🔧	húðtegund 1–2, karl, karl með skiptilykil, karl með skiptilykil: húðtegund 1–2, verkfæri, viðgerð, viðhald
👨🏼‍🔧	húðtegund 3, karl, karl með skiptilykil, karl með skiptilykil: húðtegund 3, verkfæri, viðgerð, viðhald
👨🏽‍🔧	húðtegund 4, karl, karl með skiptilykil, karl með skiptilykil: húðtegund 4, verkfæri, viðgerð, viðhald
👨🏾‍🔧	húðtegund 5, karl, karl með skiptilykil, karl með skiptilykil: húðtegund 5, verkfæri, viðgerð, viðhald
