🦵🏻	ben, ben: lys teint, halte, humpe, lys teint, sparke
👩🏼‍⚕	kittel, kvinde, kvindelig sundhedsperson, kvindelig sundhedsperson: medium til lys teint, læge, medium til lys teint, sygeplejerske
👩🏽‍⚕	kittel, kvinde, kvindelig sundhedsperson, kvindelig sundhedsperson: medium teint, læge, medium teint, sygeplejerske
👩🏾‍⚕	kittel, kvinde, kvindelig sundhedsperson, kvindelig sundhedsperson: medium til mørk teint, læge, medium til mørk teint, sygeplejerske
👩🏿‍⚕	kittel, kvinde, kvindelig sundhedsperson, kvindelig sundhedsperson: mørk teint, læge, mørk teint, sygeplejerske
👨🏻‍🎓	dimittend, eksamenshat, lys teint, mand, mandlig studerende, mandlig studerende: lys teint, studerende
👨🏼‍🎓	dimittend, eksamenshat, mand, mandlig studerende, mandlig studerende: medium til lys teint, medium til lys teint, studerende
👨🏽‍🎓	dimittend, eksamenshat, mand, mandlig studerende, mandlig studerende: medium teint, medium teint, studerende
👨🏾‍🎓	dimittend, eksamenshat, mand, mandlig studerende, mandlig studerende: medium til mørk teint, medium til mørk teint, studerende
👨🏿‍🎓	dimittend, eksamenshat, mand, mandlig studerende, mandlig studerende: mørk teint, mørk teint, studerende
👩🏻‍🎓	dimittend, eksamenshat, kvinde, kvindelig studerende, kvindelig studerende: lys teint, lys teint, studerende
👩🏼‍🎓	dimittend, eksamenshat, kvinde, kvindelig studerende, kvindelig studerende: medium til lys teint, medium til lys teint, studerende
👩🏽‍🎓	dimittend, eksamenshat, kvinde, kvindelig studerende, kvindelig studerende: medium teint, medium teint, studerende
👩🏾‍🎓	dimittend, eksamenshat, kvinde, kvindelig studerende, kvindelig studerende: medium til mørk teint, medium til mørk teint, studerende
👩🏿‍🎓	dimittend, eksamenshat, kvinde, kvindelig studerende, kvindelig studerende: mørk teint, mørk teint, studerende
👨🏻‍🏫	lys teint, lærer, mand, mandlig lærer, mandlig lærer: lys teint, professor, underviser
👨🏼‍🏫	lærer, mand, mandlig lærer, mandlig lærer: medium til lys teint, medium til lys teint, professor, underviser
👨🏽‍🏫	lærer, mand, mandlig lærer, mandlig lærer: medium teint, medium teint, professor, underviser
👨🏾‍🏫	lærer, mand, mandlig lærer, mandlig lærer: medium til mørk teint, medium til mørk teint, professor, underviser
👨🏿‍🏫	lærer, mand, mandlig lærer, mandlig lærer: mørk teint, mørk teint, professor, underviser
👩🏻‍🏫	kvinde, kvindelig lærer, kvindelig lærer: lys teint, lys teint, lærerinde, professor, underviser
👩🏼‍🏫	kvinde, kvindelig lærer, kvindelig lærer: medium til lys teint, lærerinde, medium til lys teint, professor, underviser
👩🏽‍🏫	kvinde, kvindelig lærer, kvindelig lærer: medium teint, lærerinde, medium teint, professor, underviser
👩🏾‍🏫	kvinde, kvindelig lærer, kvindelig lærer: medium til mørk teint, lærerinde, medium til mørk teint, professor, underviser
👩🏿‍🏫	kvinde, kvindelig lærer, kvindelig lærer: mørk teint, lærerinde, mørk teint, professor, underviser
👨🏻‍⚖	jura, lov, lys teint, mand, mandlig dommer, mandlig dommer: lys teint, retfærdighed
👨🏼‍⚖	jura, lov, mand, mandlig dommer, mandlig dommer: medium til lys teint, medium til lys teint, retfærdighed
👨🏽‍⚖	jura, lov, mand, mandlig dommer, mandlig dommer: medium teint, medium teint, retfærdighed
👨🏾‍⚖	jura, lov, mand, mandlig dommer, mandlig dommer: medium til mørk teint, medium til mørk teint, retfærdighed
👨🏿‍⚖	jura, lov, mand, mandlig dommer, mandlig dommer: mørk teint, mørk teint, retfærdighed
👩🏻‍⚖	jura, kvinde, kvindelig dommer, kvindelig dommer: lys teint, lov, lys teint, retfærdighed
👩🏼‍⚖	jura, kvinde, kvindelig dommer, kvindelig dommer: medium til lys teint, lov, medium til lys teint, retfærdighed
👩🏽‍⚖	jura, kvinde, kvindelig dommer, kvindelig dommer: medium teint, lov, medium teint, retfærdighed
👩🏾‍⚖	jura, kvinde, kvindelig dommer, kvindelig dommer: medium til mørk teint, lov, medium til mørk teint, retfærdighed
👩🏿‍⚖	jura, kvinde, kvindelig dommer, kvindelig dommer: mørk teint, lov, mørk teint, retfærdighed
👨🏻‍🌾	bonde, bondemand, gartner, landmand, landmand: lys teint, lys teint, mand
👨🏼‍🌾	bonde, bondemand, gartner, landmand, landmand: medium til lys teint, mand, medium til lys teint
👨🏽‍🌾	bonde, bondemand, gartner, landmand, landmand: medium teint, mand, medium teint
👨🏾‍🌾	bonde, bondemand, gartner, landmand, landmand: medium til mørk teint, mand, medium til mørk teint
👨🏿‍🌾	bonde, bondemand, gartner, landmand, landmand: mørk teint, mand, mørk teint
👩🏻‍🌾	bonde, gartner, kvinde, kvindelig landmand, kvindelig landmand: lys teint, landmand, lys teint
👩🏼‍🌾	bonde, gartner, kvinde, kvindelig landmand, kvindelig landmand: medium til lys teint, landmand, medium til lys teint
👩🏽‍🌾	bonde, gartner, kvinde, kvindelig landmand, kvindelig landmand: medium teint, landmand, medium teint
👩🏾‍🌾	bonde, gartner, kvinde, kvindelig landmand, kvindelig landmand: medium til mørk teint, landmand, medium til mørk teint
👩🏿‍🌾	bonde, gartner, kvinde, kvindelig landmand, kvindelig landmand: mørk teint, landmand, mørk teint
👨🏻‍🍳	kok, lys teint, madlavning, mand, mandlig kok, mandlig kok: lys teint, stegepande
👨🏼‍🍳	kok, madlavning, mand, mandlig kok, mandlig kok: medium til lys teint, medium til lys teint, stegepande
👨🏽‍🍳	kok, madlavning, mand, mandlig kok, mandlig kok: medium teint, medium teint, stegepande
👨🏾‍🍳	kok, madlavning, mand, mandlig kok, mandlig kok: medium til mørk teint, medium til mørk teint, stegepande
👨🏿‍🍳	kok, madlavning, mand, mandlig kok, mandlig kok: mørk teint, mørk teint, stegepande
👩🏻‍🍳	kok, kvinde, kvindelig kok, kvindelig kok: lys teint, lys teint, madlavning, stegepande
👩🏼‍🍳	kok, kvinde, kvindelig kok, kvindelig kok: medium til lys teint, madlavning, medium til lys teint, stegepande
👩🏽‍🍳	kok, kvinde, kvindelig kok, kvindelig kok: medium teint, madlavning, medium teint, stegepande
