🦵🏻	ben, ben: lys teint, halte, humpe, lys teint, sparke
🙍🏿‍♀	kvinde, kvinde med rynkede bryn, kvinde med rynkede bryn: mørk teint, mørk teint, rynke panden, rynkede bryn, rynket pande, utilfreds
🙎🏻	gestus, lys teint, surmule, surmulende person, surmulende person: lys teint
🙎🏼	gestus, medium til lys teint, surmule, surmulende person, surmulende person: medium til lys teint
🙎🏽	gestus, medium teint, surmule, surmulende person, surmulende person: medium teint
🙎🏾	gestus, medium til mørk teint, surmule, surmulende person, surmulende person: medium til mørk teint
🙎🏿	gestus, mørk teint, surmule, surmulende person, surmulende person: mørk teint
🙎🏻‍♂	lys teint, mand, sur, surmule, surmulende mand, surmulende mand: lys teint, utilfreds
🙎🏼‍♂	mand, medium til lys teint, sur, surmule, surmulende mand, surmulende mand: medium til lys teint, utilfreds
🙎🏽‍♂	mand, medium teint, sur, surmule, surmulende mand, surmulende mand: medium teint, utilfreds
🙎🏾‍♂	mand, medium til mørk teint, sur, surmule, surmulende mand, surmulende mand: medium til mørk teint, utilfreds
🙎🏿‍♂	mand, mørk teint, sur, surmule, surmulende mand, surmulende mand: mørk teint, utilfreds
🙎🏻‍♀	kvinde, lys teint, sur, surmule, surmulende kvinde, surmulende kvinde: lys teint, utilfreds
🙎🏼‍♀	kvinde, medium til lys teint, sur, surmule, surmulende kvinde, surmulende kvinde: medium til lys teint, utilfreds
🙎🏽‍♀	kvinde, medium teint, sur, surmule, surmulende kvinde, surmulende kvinde: medium teint, utilfreds
🙎🏾‍♀	kvinde, medium til mørk teint, sur, surmule, surmulende kvinde, surmulende kvinde: medium til mørk teint, utilfreds
🙎🏿‍♀	kvinde, mørk teint, sur, surmule, surmulende kvinde, surmulende kvinde: mørk teint, utilfreds
🙅🏻	forbudt, lys teint, nej, signalerer nej, signalerer nej: lys teint
🙅🏼	forbudt, medium til lys teint, nej, signalerer nej, signalerer nej: medium til lys teint
🙅🏽	forbudt, medium teint, nej, signalerer nej, signalerer nej: medium teint
🙅🏾	forbudt, medium til mørk teint, nej, signalerer nej, signalerer nej: medium til mørk teint
🙅🏿	forbudt, mørk teint, nej, signalerer nej, signalerer nej: mørk teint
🙅🏻‍♂	forbudt, gestus, ikke i orden, lys teint, mand, mand signalerer nej, mand signalerer nej: lys teint, nej
🙅🏼‍♂	forbudt, gestus, ikke i orden, mand, mand signalerer nej, mand signalerer nej: medium til lys teint, medium til lys teint, nej
🙅🏽‍♂	forbudt, gestus, ikke i orden, mand, mand signalerer nej, mand signalerer nej: medium teint, medium teint, nej
🙅🏾‍♂	forbudt, gestus, ikke i orden, mand, mand signalerer nej, mand signalerer nej: medium til mørk teint, medium til mørk teint, nej
🙅🏿‍♂	forbudt, gestus, ikke i orden, mand, mand signalerer nej, mand signalerer nej: mørk teint, mørk teint, nej
🙅🏻‍♀	forbudt, gestus, ikke i orden, kvinde, kvinde signalerer nej, kvinde signalerer nej: lys teint, lys teint, nej
🙅🏼‍♀	forbudt, gestus, ikke i orden, kvinde, kvinde signalerer nej, kvinde signalerer nej: medium til lys teint, medium til lys teint, nej
🙅🏽‍♀	forbudt, gestus, ikke i orden, kvinde, kvinde signalerer nej, kvinde signalerer nej: medium teint, medium teint, nej
🙅🏾‍♀	forbudt, gestus, ikke i orden, kvinde, kvinde signalerer nej, kvinde signalerer nej: medium til mørk teint, medium til mørk teint, nej
🙅🏿‍♀	forbudt, gestus, ikke i orden, kvinde, kvinde signalerer nej, kvinde signalerer nej: mørk teint, mørk teint, nej
🙆🏻	allright, ansigt, lys teint, signalerer ok, signalerer ok: lys teint
🙆🏼	allright, ansigt, medium til lys teint, signalerer ok, signalerer ok: medium til lys teint
🙆🏽	allright, ansigt, medium teint, signalerer ok, signalerer ok: medium teint
🙆🏾	allright, ansigt, medium til mørk teint, signalerer ok, signalerer ok: medium til mørk teint
🙆🏿	allright, ansigt, mørk teint, signalerer ok, signalerer ok: mørk teint
🙆🏻‍♂	gestus, i orden, lys teint, mand, mand signalerer ok, mand signalerer ok: lys teint, ok, tilladt
🙆🏼‍♂	gestus, i orden, mand, mand signalerer ok, mand signalerer ok: medium til lys teint, medium til lys teint, ok, tilladt
🙆🏽‍♂	gestus, i orden, mand, mand signalerer ok, mand signalerer ok: medium teint, medium teint, ok, tilladt
🙆🏾‍♂	gestus, i orden, mand, mand signalerer ok, mand signalerer ok: medium til mørk teint, medium til mørk teint, ok, tilladt
🙆🏿‍♂	gestus, i orden, mand, mand signalerer ok, mand signalerer ok: mørk teint, mørk teint, ok, tilladt
🙆🏻‍♀	gestus, i orden, kvinde, kvinde signalerer ok, kvinde signalerer ok: lys teint, lys teint, ok, tilladt
🙆🏼‍♀	gestus, i orden, kvinde, kvinde signalerer ok, kvinde signalerer ok: medium til lys teint, medium til lys teint, ok, tilladt
🙆🏽‍♀	gestus, i orden, kvinde, kvinde signalerer ok, kvinde signalerer ok: medium teint, medium teint, ok, tilladt
🙆🏾‍♀	gestus, i orden, kvinde, kvinde signalerer ok, kvinde signalerer ok: medium til mørk teint, medium til mørk teint, ok, tilladt
🙆🏿‍♀	gestus, i orden, kvinde, kvinde signalerer ok, kvinde signalerer ok: mørk teint, mørk teint, ok, tilladt
💁🏻	hjælp, lys teint, person vender håndfladen op, person vender håndfladen op: lys teint
💁🏼	hjælp, medium til lys teint, person vender håndfladen op, person vender håndfladen op: medium til lys teint
💁🏽	hjælp, medium teint, person vender håndfladen op, person vender håndfladen op: medium teint
💁🏾	hjælp, medium til mørk teint, person vender håndfladen op, person vender håndfladen op: medium til mørk teint
💁🏿	hjælp, mørk teint, person vender håndfladen op, person vender håndfladen op: mørk teint
💁🏻‍♂	flabet, hjælp, information, lys teint, mand, mand vender håndfladen op, mand vender håndfladen op: lys teint
💁🏼‍♂	flabet, hjælp, information, mand, mand vender håndfladen op, mand vender håndfladen op: medium til lys teint, medium til lys teint
💁🏽‍♂	flabet, hjælp, information, mand, mand vender håndfladen op, mand vender håndfladen op: medium teint, medium teint
💁🏾‍♂	flabet, hjælp, information, mand, mand vender håndfladen op, mand vender håndfladen op: medium til mørk teint, medium til mørk teint
💁🏿‍♂	flabet, hjælp, information, mand, mand vender håndfladen op, mand vender håndfladen op: mørk teint, mørk teint
💁🏻‍♀	flabet, hjælp, håndflade, information, kvinde, kvinde vender håndfladen op, kvinde vender håndfladen op: lys teint, lys teint
💁🏼‍♀	flabet, hjælp, håndflade, information, kvinde, kvinde vender håndfladen op, kvinde vender håndfladen op: medium til lys teint, medium til lys teint
💁🏽‍♀	flabet, hjælp, håndflade, information, kvinde, kvinde vender håndfladen op, kvinde vender håndfladen op: medium teint, medium teint
💁🏾‍♀	flabet, hjælp, håndflade, information, kvinde, kvinde vender håndfladen op, kvinde vender håndfladen op: medium til mørk teint, medium til mørk teint
💁🏿‍♀	flabet, hjælp, håndflade, information, kvinde, kvinde vender håndfladen op, kvinde vender håndfladen op: mørk teint, mørk teint
🙋🏻	hej, lys teint, løftet hånd, person med løftet hånd, person med løftet hånd: lys teint
🙋🏼	hej, løftet hånd, medium til lys teint, person med løftet hånd, person med løftet hånd: medium til lys teint
🙋🏽	hej, løftet hånd, medium teint, person med løftet hånd, person med løftet hånd: medium teint
🙋🏾	hej, løftet hånd, medium til mørk teint, person med løftet hånd, person med løftet hånd: medium til mørk teint
🙋🏿	hej, løftet hånd, mørk teint, person med løftet hånd, person med løftet hånd: mørk teint
🙋🏻‍♂	gestus, hej, hilsen, lys teint, løftet hånd, mand, mand med løftet hånd, mand med løftet hånd: lys teint
🙋🏼‍♂	gestus, hej, hilsen, løftet hånd, mand, mand med løftet hånd, mand med løftet hånd: medium til lys teint, medium til lys teint
🙋🏽‍♂	gestus, hej, hilsen, løftet hånd, mand, mand med løftet hånd, mand med løftet hånd: medium teint, medium teint
🙋🏾‍♂	gestus, hej, hilsen, løftet hånd, mand, mand med løftet hånd, mand med løftet hånd: medium til mørk teint, medium til mørk teint
🙋🏿‍♂	gestus, hej, hilsen, løftet hånd, mand, mand med løftet hånd, mand med løftet hånd: mørk teint, mørk teint
🙋🏻‍♀	gestus, hej, hilsen, kvinde, kvinde med løftet hånd, kvinde med løftet hånd: lys teint, lys teint, løftet hånd
🙋🏼‍♀	gestus, hej, hilsen, kvinde, kvinde med løftet hånd, kvinde med løftet hånd: medium til lys teint, løftet hånd, medium til lys teint
🙋🏽‍♀	gestus, hej, hilsen, kvinde, kvinde med løftet hånd, kvinde med løftet hånd: medium teint, løftet hånd, medium teint
🙋🏾‍♀	gestus, hej, hilsen, kvinde, kvinde med løftet hånd, kvinde med løftet hånd: medium til mørk teint, løftet hånd, medium til mørk teint
🙋🏿‍♀	gestus, hej, hilsen, kvinde, kvinde med løftet hånd, kvinde med løftet hånd: mørk teint, løftet hånd, mørk teint
🙇🏻	bukker, bukker: lys teint, lys teint, undskyld
🙇🏼	bukker, bukker: medium til lys teint, medium til lys teint, undskyld
🙇🏽	bukker, bukker: medium teint, medium teint, undskyld
🙇🏾	bukker, bukker: medium til mørk teint, medium til mørk teint, undskyld
🙇🏿	bukker, bukker: mørk teint, mørk teint, undskyld
🙇🏻‍♂	buk, lys teint, mand, mand bukker dybt, mand bukker dybt: lys teint, undskyld, undskyldning
🙇🏼‍♂	buk, mand, mand bukker dybt, mand bukker dybt: medium til lys teint, medium til lys teint, undskyld, undskyldning
🙇🏽‍♂	buk, mand, mand bukker dybt, mand bukker dybt: medium teint, medium teint, undskyld, undskyldning
🙇🏾‍♂	buk, mand, mand bukker dybt, mand bukker dybt: medium til mørk teint, medium til mørk teint, undskyld, undskyldning
🙇🏿‍♂	buk, mand, mand bukker dybt, mand bukker dybt: mørk teint, mørk teint, undskyld, undskyldning
🙇🏻‍♀	buk, kvinde, kvinde bukker dybt, kvinde bukker dybt: lys teint, lys teint, undskyld, undskyldning
🙇🏼‍♀	buk, kvinde, kvinde bukker dybt, kvinde bukker dybt: medium til lys teint, medium til lys teint, undskyld, undskyldning
🙇🏽‍♀	buk, kvinde, kvinde bukker dybt, kvinde bukker dybt: medium teint, medium teint, undskyld, undskyldning
🙇🏾‍♀	buk, kvinde, kvinde bukker dybt, kvinde bukker dybt: medium til mørk teint, medium til mørk teint, undskyld, undskyldning
🙇🏿‍♀	buk, kvinde, kvinde bukker dybt, kvinde bukker dybt: mørk teint, mørk teint, undskyld, undskyldning
🤦🏻	ansigt, dumt, hånd, håndflade, irritation, irriteret, lys teint, skepsis, slå sig for panden, slå sig for panden: lys teint
🤦🏼	ansigt, dumt, hånd, håndflade, irritation, irriteret, medium til lys teint, skepsis, slå sig for panden, slå sig for panden: medium til lys teint
🤦🏽	ansigt, dumt, hånd, håndflade, irritation, irriteret, medium teint, skepsis, slå sig for panden, slå sig for panden: medium teint
🤦🏾	ansigt, dumt, hånd, håndflade, irritation, irriteret, medium til mørk teint, skepsis, slå sig for panden, slå sig for panden: medium til mørk teint
🤦🏿	ansigt, dumt, hånd, håndflade, irritation, irriteret, mørk teint, skepsis, slå sig for panden, slå sig for panden: mørk teint
🤦🏻‍♂	facepalm, græmmes, håndflade, irritation, irriteret, lys teint, mand, mand slår sig for panden, mand slår sig for panden: lys teint, skepsis
🤦🏼‍♂	facepalm, græmmes, håndflade, irritation, irriteret, mand, mand slår sig for panden, mand slår sig for panden: medium til lys teint, medium til lys teint, skepsis
🤦🏽‍♂	facepalm, græmmes, håndflade, irritation, irriteret, mand, mand slår sig for panden, mand slår sig for panden: medium teint, medium teint, skepsis
🤦🏾‍♂	facepalm, græmmes, håndflade, irritation, irriteret, mand, mand slår sig for panden, mand slår sig for panden: medium til mørk teint, medium til mørk teint, skepsis
🤦🏿‍♂	facepalm, græmmes, håndflade, irritation, irriteret, mand, mand slår sig for panden, mand slår sig for panden: mørk teint, mørk teint, skepsis
🤦🏻‍♀	facepalm, græmmes, håndflade, irritation, irriteret, kvinde, kvinde slår sig for panden, kvinde slår sig for panden: lys teint, lys teint, skepsis
🤦🏼‍♀	facepalm, græmmes, håndflade, irritation, irriteret, kvinde, kvinde slår sig for panden, kvinde slår sig for panden: medium til lys teint, medium til lys teint, skepsis
🤦🏽‍♀	facepalm, græmmes, håndflade, irritation, irriteret, kvinde, kvinde slår sig for panden, kvinde slår sig for panden: medium teint, medium teint, skepsis
🤦🏾‍♀	facepalm, græmmes, håndflade, irritation, irriteret, kvinde, kvinde slår sig for panden, kvinde slår sig for panden: medium til mørk teint, medium til mørk teint, skepsis
🤦🏿‍♀	facepalm, græmmes, håndflade, irritation, irriteret, kvinde, kvinde slår sig for panden, kvinde slår sig for panden: mørk teint, mørk teint, skepsis
🤷🏻	aner det ikke, ligeglad, ligegyldighed, ligegyldigt, lys teint, pas, skulder, skuldre, træk, trækker på skuldrene, trækker på skuldrene: lys teint, tvivl, uvidenhed, ved det ikke, ved ikke
🤷🏼	aner det ikke, ligeglad, ligegyldighed, ligegyldigt, medium til lys teint, pas, skulder, skuldre, træk, trækker på skuldrene, trækker på skuldrene: medium til lys teint, tvivl, uvidenhed, ved det ikke, ved ikke
🤷🏽	aner det ikke, ligeglad, ligegyldighed, ligegyldigt, medium teint, pas, skulder, skuldre, træk, trækker på skuldrene, trækker på skuldrene: medium teint, tvivl, uvidenhed, ved det ikke, ved ikke
🤷🏾	aner det ikke, ligeglad, ligegyldighed, ligegyldigt, medium til mørk teint, pas, skulder, skuldre, træk, trækker på skuldrene, trækker på skuldrene: medium til mørk teint, tvivl, uvidenhed, ved det ikke, ved ikke
🤷🏿	aner det ikke, ligeglad, ligegyldighed, ligegyldigt, mørk teint, pas, skulder, skuldre, træk, trækker på skuldrene, trækker på skuldrene: mørk teint, tvivl, uvidenhed, ved det ikke, ved ikke
🤷🏻‍♂	ingen anelse, ligeglad, ligegyldighed, lys teint, mand, mand trækker på skuldrene, mand trækker på skuldrene: lys teint, pas, skuldre, tvivl, uvidenhed
🤷🏼‍♂	ingen anelse, ligeglad, ligegyldighed, mand, mand trækker på skuldrene, mand trækker på skuldrene: medium til lys teint, medium til lys teint, pas, skuldre, tvivl, uvidenhed
🤷🏽‍♂	ingen anelse, ligeglad, ligegyldighed, mand, mand trækker på skuldrene, mand trækker på skuldrene: medium teint, medium teint, pas, skuldre, tvivl, uvidenhed
🤷🏾‍♂	ingen anelse, ligeglad, ligegyldighed, mand, mand trækker på skuldrene, mand trækker på skuldrene: medium til mørk teint, medium til mørk teint, pas, skuldre, tvivl, uvidenhed
🤷🏿‍♂	ingen anelse, ligeglad, ligegyldighed, mand, mand trækker på skuldrene, mand trækker på skuldrene: mørk teint, mørk teint, pas, skuldre, tvivl, uvidenhed
🤷🏻‍♀	ingen anelse, kvinde, kvinde trækker på skuldrene, kvinde trækker på skuldrene: lys teint, ligeglad, ligegyldighed, lys teint, pas, skuldre, tvivl, uvidenhed
🤷🏼‍♀	ingen anelse, kvinde, kvinde trækker på skuldrene, kvinde trækker på skuldrene: medium til lys teint, ligeglad, ligegyldighed, medium til lys teint, pas, skuldre, tvivl, uvidenhed
🤷🏽‍♀	ingen anelse, kvinde, kvinde trækker på skuldrene, kvinde trækker på skuldrene: medium teint, ligeglad, ligegyldighed, medium teint, pas, skuldre, tvivl, uvidenhed
🤷🏾‍♀	ingen anelse, kvinde, kvinde trækker på skuldrene, kvinde trækker på skuldrene: medium til mørk teint, ligeglad, ligegyldighed, medium til mørk teint, pas, skuldre, tvivl, uvidenhed
🤷🏿‍♀	ingen anelse, kvinde, kvinde trækker på skuldrene, kvinde trækker på skuldrene: mørk teint, ligeglad, ligegyldighed, mørk teint, pas, skuldre, tvivl, uvidenhed
💆🏻	ansigtsmassage, ansigtsmassage: lys teint, lys teint, massage, salon
💆🏼	ansigtsmassage, ansigtsmassage: medium til lys teint, massage, medium til lys teint, salon
💆🏽	ansigtsmassage, ansigtsmassage: medium teint, massage, medium teint, salon
💆🏾	ansigtsmassage, ansigtsmassage: medium til mørk teint, massage, medium til mørk teint, salon
💆🏿	ansigtsmassage, ansigtsmassage: mørk teint, massage, mørk teint, salon
💆🏻‍♂	ansigt, lys teint, mand, mand får ansigtsmassage, mand får ansigtsmassage: lys teint, massage
💆🏼‍♂	ansigt, mand, mand får ansigtsmassage, mand får ansigtsmassage: medium til lys teint, massage, medium til lys teint
💆🏽‍♂	ansigt, mand, mand får ansigtsmassage, mand får ansigtsmassage: medium teint, massage, medium teint
💆🏾‍♂	ansigt, mand, mand får ansigtsmassage, mand får ansigtsmassage: medium til mørk teint, massage, medium til mørk teint
💆🏿‍♂	ansigt, mand, mand får ansigtsmassage, mand får ansigtsmassage: mørk teint, massage, mørk teint
💆🏻‍♀	ansigt, kvinde, kvinde får ansigtsmassage, kvinde får ansigtsmassage: lys teint, lys teint, massage
💆🏼‍♀	ansigt, kvinde, kvinde får ansigtsmassage, kvinde får ansigtsmassage: medium til lys teint, massage, medium til lys teint
💆🏽‍♀	ansigt, kvinde, kvinde får ansigtsmassage, kvinde får ansigtsmassage: medium teint, massage, medium teint
💆🏾‍♀	ansigt, kvinde, kvinde får ansigtsmassage, kvinde får ansigtsmassage: medium til mørk teint, massage, medium til mørk teint
💆🏿‍♀	ansigt, kvinde, kvinde får ansigtsmassage, kvinde får ansigtsmassage: mørk teint, massage, mørk teint
💇🏻	bliver klippet, bliver klippet: lys teint, hår, klipning, lys teint
💇🏼	bliver klippet, bliver klippet: medium til lys teint, hår, klipning, medium til lys teint
💇🏽	bliver klippet, bliver klippet: medium teint, hår, klipning, medium teint
💇🏾	bliver klippet, bliver klippet: medium til mørk teint, hår, klipning, medium til mørk teint
💇🏿	bliver klippet, bliver klippet: mørk teint, hår, klipning, mørk teint
💇🏻‍♂	frisør, hår, klipning, klippe, lys teint, mand, mand bliver klippet, mand bliver klippet: lys teint
💇🏼‍♂	frisør, hår, klipning, klippe, mand, mand bliver klippet, mand bliver klippet: medium til lys teint, medium til lys teint
💇🏽‍♂	frisør, hår, klipning, klippe, mand, mand bliver klippet, mand bliver klippet: medium teint, medium teint
💇🏾‍♂	frisør, hår, klipning, klippe, mand, mand bliver klippet, mand bliver klippet: medium til mørk teint, medium til mørk teint
💇🏿‍♂	frisør, hår, klipning, klippe, mand, mand bliver klippet, mand bliver klippet: mørk teint, mørk teint
💇🏻‍♀	frisør, hår, klipning, klippe, kvinde, kvinde bliver klippet, kvinde bliver klippet: lys teint, lys teint
💇🏼‍♀	frisør, hår, klipning, klippe, kvinde, kvinde bliver klippet, kvinde bliver klippet: medium til lys teint, medium til lys teint
💇🏽‍♀	frisør, hår, klipning, klippe, kvinde, kvinde bliver klippet, kvinde bliver klippet: medium teint, medium teint
💇🏾‍♀	frisør, hår, klipning, klippe, kvinde, kvinde bliver klippet, kvinde bliver klippet: medium til mørk teint, medium til mørk teint
💇🏿‍♀	frisør, hår, klipning, klippe, kvinde, kvinde bliver klippet, kvinde bliver klippet: mørk teint, mørk teint
🚶🏻	fodgænger, fodgænger: lys teint, gang, gå, hike, lys teint, vandre, vandring
🚶🏼	fodgænger, fodgænger: medium til lys teint, gang, gå, hike, medium til lys teint, vandre, vandring
🚶🏽	fodgænger, fodgænger: medium teint, gang, gå, hike, medium teint, vandre, vandring
🚶🏾	fodgænger, fodgænger: medium til mørk teint, gang, gå, hike, medium til mørk teint, vandre, vandring
🚶🏿	fodgænger, fodgænger: mørk teint, gang, gå, hike, mørk teint, vandre, vandring
🚶🏻‍♂	fodgænger, gang, gå, gåtur, hike, lys teint, mand, mand går, mand går: lys teint, vandre, vandretur, vandring
🚶🏼‍♂	fodgænger, gang, gå, gåtur, hike, mand, mand går, mand går: medium til lys teint, medium til lys teint, vandre, vandretur, vandring
🚶🏽‍♂	fodgænger, gang, gå, gåtur, hike, mand, mand går, mand går: medium teint, medium teint, vandre, vandretur, vandring
🚶🏾‍♂	fodgænger, gang, gå, gåtur, hike, mand, mand går, mand går: medium til mørk teint, medium til mørk teint, vandre, vandretur, vandring
🚶🏿‍♂	fodgænger, gang, gå, gåtur, hike, mand, mand går, mand går: mørk teint, mørk teint, vandre, vandretur, vandring
🚶🏻‍♀	fodgænger, gang, gå, gåtur, hike, kvinde, kvinde går, kvinde går: lys teint, lys teint, vandre, vandretur, vandring
🚶🏼‍♀	fodgænger, gang, gå, gåtur, hike, kvinde, kvinde går, kvinde går: medium til lys teint, medium til lys teint, vandre, vandretur, vandring
🚶🏽‍♀	fodgænger, gang, gå, gåtur, hike, kvinde, kvinde går, kvinde går: medium teint, medium teint, vandre, vandretur, vandring
🚶🏾‍♀	fodgænger, gang, gå, gåtur, hike, kvinde, kvinde går, kvinde går: medium til mørk teint, medium til mørk teint, vandre, vandretur, vandring
🚶🏿‍♀	fodgænger, gang, gå, gåtur, hike, kvinde, kvinde går, kvinde går: mørk teint, mørk teint, vandre, vandretur, vandring
🏃🏻	lys teint, løber, løber: lys teint, løbetræning, maraton, sport
🏃🏼	løber, løber: medium til lys teint, løbetræning, maraton, medium til lys teint, sport
🏃🏽	løber, løber: medium teint, løbetræning, maraton, medium teint, sport
🏃🏾	løber, løber: medium til mørk teint, løbetræning, maraton, medium til mørk teint, sport
🏃🏿	løber, løber: mørk teint, løbetræning, maraton, mørk teint, sport
🏃🏻‍♂	lys teint, løb, løbetræning, løbetur, mand, mand løber, mand løber: lys teint, maraton
🏃🏼‍♂	løb, løbetræning, løbetur, mand, mand løber, mand løber: medium til lys teint, maraton, medium til lys teint
🏃🏽‍♂	løb, løbetræning, løbetur, mand, mand løber, mand løber: medium teint, maraton, medium teint
🏃🏾‍♂	løb, løbetræning, løbetur, mand, mand løber, mand løber: medium til mørk teint, maraton, medium til mørk teint
🏃🏿‍♂	løb, løbetræning, løbetur, mand, mand løber, mand løber: mørk teint, maraton, mørk teint
🏃🏻‍♀	kvinde, kvinde løber, kvinde løber: lys teint, lys teint, løb, løbetræning, løbetur, maraton
🏃🏼‍♀	kvinde, kvinde løber, kvinde løber: medium til lys teint, løb, løbetræning, løbetur, maraton, medium til lys teint
🏃🏽‍♀	kvinde, kvinde løber, kvinde løber: medium teint, løb, løbetræning, løbetur, maraton, medium teint
🏃🏾‍♀	kvinde, kvinde løber, kvinde løber: medium til mørk teint, løb, løbetræning, løbetur, maraton, medium til mørk teint
🏃🏿‍♀	kvinde, kvinde løber, kvinde løber: mørk teint, løb, løbetræning, løbetur, maraton, mørk teint
💃🏻	dans, danser, danser: lys teint, lys teint
💃🏼	dans, danser, danser: medium til lys teint, medium til lys teint
💃🏽	dans, danser, danser: medium teint, medium teint
💃🏾	dans, danser, danser: medium til mørk teint, medium til mørk teint
💃🏿	dans, danser, danser: mørk teint, mørk teint
🕺🏻	dans, dansende mand, dansende mand: lys teint, danser, lys teint, mand
🕺🏼	dans, dansende mand, dansende mand: medium til lys teint, danser, mand, medium til lys teint
🕺🏽	dans, dansende mand, dansende mand: medium teint, danser, mand, medium teint
🕺🏾	dans, dansende mand, dansende mand: medium til mørk teint, danser, mand, medium til mørk teint
🕺🏿	dans, dansende mand, dansende mand: mørk teint, danser, mand, mørk teint
🧖🏻	dampbad, lys teint, person i damptåge, person i damptåge: lys teint, sauna
🧖🏼	dampbad, medium til lys teint, person i damptåge, person i damptåge: medium til lys teint, sauna
🧖🏽	dampbad, medium teint, person i damptåge, person i damptåge: medium teint, sauna
🧖🏾	dampbad, medium til mørk teint, person i damptåge, person i damptåge: medium til mørk teint, sauna
🧖🏿	dampbad, mørk teint, person i damptåge, person i damptåge: mørk teint, sauna
🧖🏻‍♀	dampbad, kvinde, kvinde i damptåge, kvinde i damptåge: lys teint, lys teint, sauna
🧖🏼‍♀	dampbad, kvinde, kvinde i damptåge, kvinde i damptåge: medium til lys teint, medium til lys teint, sauna
🧖🏽‍♀	dampbad, kvinde, kvinde i damptåge, kvinde i damptåge: medium teint, medium teint, sauna
🧖🏾‍♀	dampbad, kvinde, kvinde i damptåge, kvinde i damptåge: medium til mørk teint, medium til mørk teint, sauna
🧖🏿‍♀	dampbad, kvinde, kvinde i damptåge, kvinde i damptåge: mørk teint, mørk teint, sauna
🧖🏻‍♂	dampbad, lys teint, mand, mand i damptåge, mand i damptåge: lys teint, sauna
🧖🏼‍♂	dampbad, mand, mand i damptåge, mand i damptåge: medium til lys teint, medium til lys teint, sauna
🧖🏽‍♂	dampbad, mand, mand i damptåge, mand i damptåge: medium teint, medium teint, sauna
🧖🏾‍♂	dampbad, mand, mand i damptåge, mand i damptåge: medium til mørk teint, medium til mørk teint, sauna
🧖🏿‍♂	dampbad, mand, mand i damptåge, mand i damptåge: mørk teint, mørk teint, sauna
🧗🏻	bjerg, bjergbestiger, bjergbestiger: lys teint, klatring, lys teint
🧗🏼	bjerg, bjergbestiger, bjergbestiger: medium til lys teint, klatring, medium til lys teint
🧗🏽	bjerg, bjergbestiger, bjergbestiger: medium teint, klatring, medium teint
🧗🏾	bjerg, bjergbestiger, bjergbestiger: medium til mørk teint, klatring, medium til mørk teint
🧗🏿	bjerg, bjergbestiger, bjergbestiger: mørk teint, klatring, mørk teint
🧗🏻‍♀	bjerg, klatring, kvinde, kvindelig bjergbestiger, kvindelig bjergbestiger: lys teint, lys teint
🧗🏼‍♀	bjerg, klatring, kvinde, kvindelig bjergbestiger, kvindelig bjergbestiger: medium til lys teint, medium til lys teint
🧗🏽‍♀	bjerg, klatring, kvinde, kvindelig bjergbestiger, kvindelig bjergbestiger: medium teint, medium teint
🧗🏾‍♀	bjerg, klatring, kvinde, kvindelig bjergbestiger, kvindelig bjergbestiger: medium til mørk teint, medium til mørk teint
🧗🏿‍♀	bjerg, klatring, kvinde, kvindelig bjergbestiger, kvindelig bjergbestiger: mørk teint, mørk teint
🧗🏻‍♂	bjerg, klatring, lys teint, mand, mandlig bjergbestiger, mandlig bjergbestiger: lys teint
🧗🏼‍♂	bjerg, klatring, mand, mandlig bjergbestiger, mandlig bjergbestiger: medium til lys teint, medium til lys teint
🧗🏽‍♂	bjerg, klatring, mand, mandlig bjergbestiger, mandlig bjergbestiger: medium teint, medium teint
🧗🏾‍♂	bjerg, klatring, mand, mandlig bjergbestiger, mandlig bjergbestiger: medium til mørk teint, medium til mørk teint
🧗🏿‍♂	bjerg, klatring, mand, mandlig bjergbestiger, mandlig bjergbestiger: mørk teint, mørk teint
🧘🏻	lotusstilling, lotusstilling: lys teint, lys teint, meditation, yoga
🧘🏼	lotusstilling, lotusstilling: medium til lys teint, meditation, medium til lys teint, yoga
🧘🏽	lotusstilling, lotusstilling: medium teint, meditation, medium teint, yoga
🧘🏾	lotusstilling, lotusstilling: medium til mørk teint, meditation, medium til mørk teint, yoga
🧘🏿	lotusstilling, lotusstilling: mørk teint, meditation, mørk teint, yoga
🧘🏻‍♀	kvinde, kvinde i lotusstilling, kvinde i lotusstilling: lys teint, lys teint, meditation, yoga
🧘🏼‍♀	kvinde, kvinde i lotusstilling, kvinde i lotusstilling: medium til lys teint, meditation, medium til lys teint, yoga
🧘🏽‍♀	kvinde, kvinde i lotusstilling, kvinde i lotusstilling: medium teint, meditation, medium teint, yoga
🧘🏾‍♀	kvinde, kvinde i lotusstilling, kvinde i lotusstilling: medium til mørk teint, meditation, medium til mørk teint, yoga
🧘🏿‍♀	kvinde, kvinde i lotusstilling, kvinde i lotusstilling: mørk teint, meditation, mørk teint, yoga
🧘🏻‍♂	lys teint, mand, mand i lotusstilling, mand i lotusstilling: lys teint, meditation, yoga
🧘🏼‍♂	mand, mand i lotusstilling, mand i lotusstilling: medium til lys teint, meditation, medium til lys teint, yoga
🧘🏽‍♂	mand, mand i lotusstilling, mand i lotusstilling: medium teint, meditation, medium teint, yoga
🧘🏾‍♂	mand, mand i lotusstilling, mand i lotusstilling: medium til mørk teint, meditation, medium til mørk teint, yoga
🧘🏿‍♂	mand, mand i lotusstilling, mand i lotusstilling: mørk teint, meditation, mørk teint, yoga
