‾	барзиёд
🤚	бардошташуда, пушти даст, пушти дасти бардошташуда
🤚🏻	бардошташуда, пушти даст, пушти дасти бардошташуда, пушти дасти бардошташуда: ранги равшани пӯст, ранги равшани пӯст
🤚🏼	бардошташуда, пушти даст, пушти дасти бардошташуда, пушти дасти бардошташуда: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст
🤚🏽	бардошташуда, пушти даст, пушти дасти бардошташуда, пушти дасти бардошташуда: ранги миёнаи пӯст, ранги миёнаи пӯст
🤚🏾	бардошташуда, пушти даст, пушти дасти бардошташуда, пушти дасти бардошташуда: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст
🤚🏿	бардошташуда, пушти даст, пушти дасти бардошташуда, пушти дасти бардошташуда: ранги торики пӯст, ранги торики пӯст
🖐️	ангушт, даст, дасти бардошта бо ангуштони паҳнкарда, паҳнкарда
🖐🏻	ангушт, даст, дасти бардошта бо ангуштони паҳнкарда, дасти бардошта бо ангуштони паҳнкарда: ранги равшани пӯст, паҳнкарда, ранги равшани пӯст
🖐🏼	ангушт, даст, дасти бардошта бо ангуштони паҳнкарда, дасти бардошта бо ангуштони паҳнкарда: ранги равшании миёнаи пӯст, паҳнкарда, ранги равшании миёнаи пӯст
🖐🏽	ангушт, даст, дасти бардошта бо ангуштони паҳнкарда, дасти бардошта бо ангуштони паҳнкарда: ранги миёнаи пӯст, паҳнкарда, ранги миёнаи пӯст
🖐🏾	ангушт, даст, дасти бардошта бо ангуштони паҳнкарда, дасти бардошта бо ангуштони паҳнкарда: ранги торики миёнаи пӯст, паҳнкарда, ранги торики миёнаи пӯст
🖐🏿	ангушт, даст, дасти бардошта бо ангуштони паҳнкарда, дасти бардошта бо ангуштони паҳнкарда: ранги торики пӯст, паҳнкарда, ранги торики пӯст
✋	даст, дасти бардошта
✋🏻	даст, дасти бардошта, дасти бардошта: ранги равшани пӯст, ранги равшани пӯст
✋🏼	даст, дасти бардошта, дасти бардошта: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст
✋🏽	даст, дасти бардошта, дасти бардошта: ранги миёнаи пӯст, ранги миёнаи пӯст
✋🏾	даст, дасти бардошта, дасти бардошта: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст
✋🏿	даст, дасти бардошта, дасти бардошта: ранги торики пӯст, ранги торики пӯст
🖖	аланга, ангушт, даст, ишораи спок, саломдиҳии вулқонӣ
🖖🏻	аланга, ангушт, даст, ишораи спок, ранги равшани пӯст, саломдиҳии вулқонӣ, саломдиҳии вулқонӣ: ранги равшани пӯст
🖖🏼	аланга, ангушт, даст, ишораи спок, ранги равшании миёнаи пӯст, саломдиҳии вулқонӣ, саломдиҳии вулқонӣ: ранги равшании миёнаи пӯст
🖖🏽	аланга, ангушт, даст, ишораи спок, ранги миёнаи пӯст, саломдиҳии вулқонӣ, саломдиҳии вулқонӣ: ранги миёнаи пӯст
🖖🏾	аланга, ангушт, даст, ишораи спок, ранги торики миёнаи пӯст, саломдиҳии вулқонӣ, саломдиҳии вулқонӣ: ранги торики миёнаи пӯст
🖖🏿	аланга, ангушт, даст, ишораи спок, ранги торики пӯст, саломдиҳии вулқонӣ, саломдиҳии вулқонӣ: ранги торики пӯст
🫱🏻‍🫲🏼	вохӯрӣ, даст, дастфишурӣ, дастфишӯрӣ, дастфишӯрӣ: ранги равшани пӯст, ранги равшании миёнаи пӯст, ранги равшани пӯст, ранги равшании миёнаи пӯст, созишнома, фишурдан
🫱🏻‍🫲🏽	вохӯрӣ, даст, дастфишурӣ, дастфишӯрӣ, дастфишӯрӣ: ранги равшани пӯст, ранги миёнаи пӯст, ранги миёнаи пӯст, ранги равшани пӯст, созишнома, фишурдан
🫱🏻‍🫲🏾	вохӯрӣ, даст, дастфишурӣ, дастфишӯрӣ, дастфишӯрӣ: ранги равшани пӯст, ранги торики миёнаи пӯст, ранги равшани пӯст, ранги торики миёнаи пӯст, созишнома, фишурдан
🫱🏻‍🫲🏿	вохӯрӣ, даст, дастфишурӣ, дастфишӯрӣ, дастфишӯрӣ: ранги равшани пӯст, ранги торики пӯст, ранги равшани пӯст, ранги торики пӯст, созишнома, фишурдан
