‾	барзиёд
👨🏽‍🎨	лавҳачаи рассомӣ, мард, марди рассом, марди рассом: ранги миёнаи пӯст, ранги миёнаи пӯст, рассом
👨🏾‍🎨	лавҳачаи рассомӣ, мард, марди рассом, марди рассом: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, рассом
👨🏿‍🎨	лавҳачаи рассомӣ, мард, марди рассом, марди рассом: ранги торики пӯст, ранги торики пӯст, рассом
👩‍🎨	зан, зани рассом, лавҳачаи рассомӣ, рассом
👩🏻‍🎨	зан, зани рассом, зани рассом: ранги равшани пӯст, лавҳачаи рассомӣ, ранги равшани пӯст, рассом
👩🏼‍🎨	зан, зани рассом, зани рассом: ранги равшании миёнаи пӯст, лавҳачаи рассомӣ, ранги равшании миёнаи пӯст, рассом
👩🏽‍🎨	зан, зани рассом, зани рассом: ранги миёнаи пӯст, лавҳачаи рассомӣ, ранги миёнаи пӯст, рассом
👩🏾‍🎨	зан, зани рассом, зани рассом: ранги торики миёнаи пӯст, лавҳачаи рассомӣ, ранги торики миёнаи пӯст, рассом
👩🏿‍🎨	зан, зани рассом, зани рассом: ранги торики пӯст, лавҳачаи рассомӣ, ранги торики пӯст, рассом
👨‍✈	мард, марди халабон, халабон, ҳавопаймо
👨🏻‍✈	мард, марди халабон, марди халабон: ранги равшани пӯст, ранги равшани пӯст, халабон, ҳавопаймо
👨🏼‍✈	мард, марди халабон, марди халабон: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, халабон, ҳавопаймо
👨🏽‍✈	мард, марди халабон, марди халабон: ранги миёнаи пӯст, ранги миёнаи пӯст, халабон, ҳавопаймо
👨🏾‍✈	мард, марди халабон, марди халабон: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, халабон, ҳавопаймо
👨🏿‍✈	мард, марди халабон, марди халабон: ранги торики пӯст, ранги торики пӯст, халабон, ҳавопаймо
👩‍✈	зан, зани халабон, халабон, ҳавопаймо
👩🏻‍✈	зан, зани халабон, зани халабон: ранги равшани пӯст, ранги равшани пӯст, халабон, ҳавопаймо
👩🏼‍✈	зан, зани халабон, зани халабон: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, халабон, ҳавопаймо
👩🏽‍✈	зан, зани халабон, зани халабон: ранги миёнаи пӯст, ранги миёнаи пӯст, халабон, ҳавопаймо
👩🏾‍✈	зан, зани халабон, зани халабон: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, халабон, ҳавопаймо
👩🏿‍✈	зан, зани халабон, зани халабон: ранги торики пӯст, ранги торики пӯст, халабон, ҳавопаймо
👨‍🚀	кайҳоннавард, мард, марди кайҳоннавард, ракета
👨🏻‍🚀	кайҳоннавард, мард, марди кайҳоннавард, марди кайҳоннавард: ранги равшани пӯст, ракета, ранги равшани пӯст
👨🏼‍🚀	кайҳоннавард, мард, марди кайҳоннавард, марди кайҳоннавард: ранги равшании миёнаи пӯст, ракета, ранги равшании миёнаи пӯст
👨🏽‍🚀	кайҳоннавард, мард, марди кайҳоннавард, марди кайҳоннавард: ранги миёнаи пӯст, ракета, ранги миёнаи пӯст
👨🏾‍🚀	кайҳоннавард, мард, марди кайҳоннавард, марди кайҳоннавард: ранги торики миёнаи пӯст, ракета, ранги торики миёнаи пӯст
👨🏿‍🚀	кайҳоннавард, мард, марди кайҳоннавард, марди кайҳоннавард: ранги торики пӯст, ракета, ранги торики пӯст
👩‍🚀	зан, зани кайҳоннавард, кайҳоннавард, ракета
👩🏻‍🚀	зан, зани кайҳоннавард, зани кайҳоннавард: ранги равшани пӯст, кайҳоннавард, ракета, ранги равшани пӯст
👩🏼‍🚀	зан, зани кайҳоннавард, зани кайҳоннавард: ранги равшании миёнаи пӯст, кайҳоннавард, ракета, ранги равшании миёнаи пӯст
👩🏽‍🚀	зан, зани кайҳоннавард, зани кайҳоннавард: ранги миёнаи пӯст, кайҳоннавард, ракета, ранги миёнаи пӯст
👩🏾‍🚀	зан, зани кайҳоннавард, зани кайҳоннавард: ранги торики миёнаи пӯст, кайҳоннавард, ракета, ранги торики миёнаи пӯст
👩🏿‍🚀	зан, зани кайҳоннавард, зани кайҳоннавард: ранги торики пӯст, кайҳоннавард, ракета, ранги торики пӯст
👨‍🚒	мард, марди сӯхторхомӯшкун, мошини сӯхторхомӯшкунӣ, сӯхторхомӯшкун
👨🏻‍🚒	мард, марди сӯхторхомӯшкун, марди сӯхторхомӯшкун: ранги равшани пӯст, мошини сӯхторхомӯшкунӣ, ранги равшани пӯст, сӯхторхомӯшкун
👨🏼‍🚒	мард, марди сӯхторхомӯшкун, марди сӯхторхомӯшкун: ранги равшании миёнаи пӯст, мошини сӯхторхомӯшкунӣ, ранги равшании миёнаи пӯст, сӯхторхомӯшкун
👨🏽‍🚒	мард, марди сӯхторхомӯшкун, марди сӯхторхомӯшкун: ранги миёнаи пӯст, мошини сӯхторхомӯшкунӣ, ранги миёнаи пӯст, сӯхторхомӯшкун
👨🏾‍🚒	мард, марди сӯхторхомӯшкун, марди сӯхторхомӯшкун: ранги торики миёнаи пӯст, мошини сӯхторхомӯшкунӣ, ранги торики миёнаи пӯст, сӯхторхомӯшкун
👨🏿‍🚒	мард, марди сӯхторхомӯшкун, марди сӯхторхомӯшкун: ранги торики пӯст, мошини сӯхторхомӯшкунӣ, ранги торики пӯст, сӯхторхомӯшкун
👩‍🚒	зан, зани сӯхторхомӯшкун, мошини сухторхомӯшкунӣ, сӯхторхомӯшкун
👩🏻‍🚒	зан, зани сӯхторхомӯшкун, зани сӯхторхомӯшкун: ранги равшани пӯст, мошини сухторхомӯшкунӣ, ранги равшани пӯст, сӯхторхомӯшкун
👩🏼‍🚒	зан, зани сӯхторхомӯшкун, зани сӯхторхомӯшкун: ранги равшании миёнаи пӯст, мошини сухторхомӯшкунӣ, ранги равшании миёнаи пӯст, сӯхторхомӯшкун
👩🏽‍🚒	зан, зани сӯхторхомӯшкун, зани сӯхторхомӯшкун: ранги миёнаи пӯст, мошини сухторхомӯшкунӣ, ранги миёнаи пӯст, сӯхторхомӯшкун
👩🏾‍🚒	зан, зани сӯхторхомӯшкун, зани сӯхторхомӯшкун: ранги торики миёнаи пӯст, мошини сухторхомӯшкунӣ, ранги торики миёнаи пӯст, сӯхторхомӯшкун
👩🏿‍🚒	зан, зани сӯхторхомӯшкун, зани сӯхторхомӯшкун: ранги торики пӯст, мошини сухторхомӯшкунӣ, ранги торики пӯст, сӯхторхомӯшкун
👮	афсар, афсари пулис, милиса, пулис
👮🏻	афсар, афсари пулис, афсари пулис: ранги равшани пӯст, милиса, пулис, ранги равшани пӯст
👮🏼	афсар, афсари пулис, афсари пулис: ранги равшании миёнаи пӯст, милиса, пулис, ранги равшании миёнаи пӯст
👮🏽	афсар, афсари пулис, афсари пулис: ранги миёнаи пӯст, милиса, пулис, ранги миёнаи пӯст
👮🏾	афсар, афсари пулис, афсари пулис: ранги торики миёнаи пӯст, милиса, пулис, ранги торики миёнаи пӯст
👮🏿	афсар, афсари пулис, афсари пулис: ранги торики пӯст, милиса, пулис, ранги торики пӯст
👮‍♂	афсар, мард, марди афсари пулис, милиса, пулис
👮🏻‍♂	афсар, мард, марди афсари пулис, марди афсари пулис: ранги равшани пӯст, милиса, пулис, ранги равшани пӯст
👮🏼‍♂	афсар, мард, марди афсари пулис, марди афсари пулис: ранги равшании миёнаи пӯст, милиса, пулис, ранги равшании миёнаи пӯст
👮🏽‍♂	афсар, мард, марди афсари пулис, марди афсари пулис: ранги миёнаи пӯст, милиса, пулис, ранги миёнаи пӯст
👮🏾‍♂	афсар, мард, марди афсари пулис, марди афсари пулис: ранги торики миёнаи пӯст, милиса, пулис, ранги торики миёнаи пӯст
👮🏿‍♂	афсар, мард, марди афсари пулис, марди афсари пулис: ранги торики пӯст, милиса, пулис, ранги торики пӯст
👮‍♀	афсар, зан, зани афсари пулис, милиса, пулис
👮🏻‍♀	афсар, зан, зани афсари пулис, зани афсари пулис: ранги равшани пӯст, милиса, пулис, ранги равшани пӯст
👮🏼‍♀	афсар, зан, зани афсари пулис, зани афсари пулис: ранги равшании миёнаи пӯст, милиса, пулис, ранги равшании миёнаи пӯст
👮🏽‍♀	афсар, зан, зани афсари пулис, зани афсари пулис: ранги миёнаи пӯст, милиса, пулис, ранги миёнаи пӯст
👮🏾‍♀	афсар, зан, зани афсари пулис, зани афсари пулис: ранги торики миёнаи пӯст, милиса, пулис, ранги торики миёнаи пӯст
👮🏿‍♀	афсар, зан, зани афсари пулис, зани афсари пулис: ранги торики пӯст, милиса, пулис, ранги торики пӯст
🕵️	детектив, ҷосус, ҷӯянда
🕵🏻	детектив, детектив: ранги равшани пӯст, ранги равшани пӯст, ҷосус, ҷӯянда
🕵🏼	детектив, детектив: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, ҷосус, ҷӯянда
🕵🏽	детектив, детектив: ранги миёнаи пӯст, ранги миёнаи пӯст, ҷосус, ҷӯянда
🕵🏾	детектив, детектив: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, ҷосус, ҷӯянда
🕵🏿	детектив, детектив: ранги торики пӯст, ранги торики пӯст, ҷосус, ҷӯянда
🕵‍♂	детектив, мард, марди детектив, ҷосус, ҷӯянда
🕵🏻‍♂	детектив, мард, марди детектив, марди детектив: ранги равшани пӯст, ранги равшани пӯст, ҷосус, ҷӯянда
🕵🏼‍♂	детектив, мард, марди детектив, марди детектив: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, ҷосус, ҷӯянда
🕵🏽‍♂	детектив, мард, марди детектив, марди детектив: ранги миёнаи пӯст, ранги миёнаи пӯст, ҷосус, ҷӯянда
🕵🏾‍♂	детектив, мард, марди детектив, марди детектив: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, ҷосус, ҷӯянда
🕵🏿‍♂	детектив, мард, марди детектив, марди детектив: ранги торики пӯст, ранги торики пӯст, ҷосус, ҷӯянда
🕵‍♀	детектив, зан, зани детектив, ҷосус, ҷӯянда
🕵🏻‍♀	детектив, зан, зани детектив, зани детектив: ранги равшани пӯст, ранги равшани пӯст, ҷосус, ҷӯянда
🕵🏼‍♀	детектив, зан, зани детектив, зани детектив: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, ҷосус, ҷӯянда
🕵🏽‍♀	детектив, зан, зани детектив, зани детектив: ранги миёнаи пӯст, ранги миёнаи пӯст, ҷосус, ҷӯянда
🕵🏾‍♀	детектив, зан, зани детектив, зани детектив: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, ҷосус, ҷӯянда
🕵🏿‍♀	детектив, зан, зани детектив, зани детектив: ранги торики пӯст, ранги торики пӯст, ҷосус, ҷӯянда
💂	посбон
💂🏻	посбон, посбон: ранги равшани пӯст, ранги равшани пӯст
💂🏼	посбон, посбон: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст
💂🏽	посбон, посбон: ранги миёнаи пӯст, ранги миёнаи пӯст
💂🏾	посбон, посбон: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст
💂🏿	посбон, посбон: ранги торики пӯст, ранги торики пӯст
💂‍♂	мард, марди посбон, посбон
💂🏻‍♂	мард, марди посбон, марди посбон: ранги равшани пӯст, посбон, ранги равшани пӯст
💂🏼‍♂	мард, марди посбон, марди посбон: ранги равшании миёнаи пӯст, посбон, ранги равшании миёнаи пӯст
💂🏽‍♂	мард, марди посбон, марди посбон: ранги миёнаи пӯст, посбон, ранги миёнаи пӯст
💂🏾‍♂	мард, марди посбон, марди посбон: ранги торики миёнаи пӯст, посбон, ранги торики миёнаи пӯст
💂🏿‍♂	мард, марди посбон, марди посбон: ранги торики пӯст, посбон, ранги торики пӯст
💂‍♀	зан, зани посбон, посбон
💂🏻‍♀	зан, зани посбон, зани посбон: ранги равшани пӯст, посбон, ранги равшани пӯст
💂🏼‍♀	зан, зани посбон, зани посбон: ранги равшании миёнаи пӯст, посбон, ранги равшании миёнаи пӯст
💂🏽‍♀	зан, зани посбон, зани посбон: ранги миёнаи пӯст, посбон, ранги миёнаи пӯст
💂🏾‍♀	зан, зани посбон, зани посбон: ранги торики миёнаи пӯст, посбон, ранги торики миёнаи пӯст
💂🏿‍♀	зан, зани посбон, зани посбон: ранги торики пӯст, посбон, ранги торики пӯст
👷	коргар, коргари сохтмон, сарпӯш, сохтмон
👷🏻	коргар, коргари сохтмон, коргари сохтмон: ранги равшани пӯст, ранги равшани пӯст, сарпӯш, сохтмон
👷🏼	коргар, коргари сохтмон, коргари сохтмон: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, сарпӯш, сохтмон
👷🏽	коргар, коргари сохтмон, коргари сохтмон: ранги миёнаи пӯст, ранги миёнаи пӯст, сарпӯш, сохтмон
👷🏾	коргар, коргари сохтмон, коргари сохтмон: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, сарпӯш, сохтмон
👷🏿	коргар, коргари сохтмон, коргари сохтмон: ранги торики пӯст, ранги торики пӯст, сарпӯш, сохтмон
👷‍♂	коргар, мард, марди коргари сохтмон, сохтмон
👷🏻‍♂	коргар, мард, марди коргари сохтмон, марди коргари сохтмон: ранги равшани пӯст, ранги равшани пӯст, сохтмон
👷🏼‍♂	коргар, мард, марди коргари сохтмон, марди коргари сохтмон: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, сохтмон
👷🏽‍♂	коргар, мард, марди коргари сохтмон, марди коргари сохтмон: ранги миёнаи пӯст, ранги миёнаи пӯст, сохтмон
👷🏾‍♂	коргар, мард, марди коргари сохтмон, марди коргари сохтмон: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, сохтмон
👷🏿‍♂	коргар, мард, марди коргари сохтмон, марди коргари сохтмон: ранги торики пӯст, ранги торики пӯст, сохтмон
👷‍♀	зан, зани коргари сохтмон, коргар, сохтмон
👷🏻‍♀	зан, зани коргари сохтмон, зани коргари сохтмон: ранги равшани пӯст, коргар, ранги равшани пӯст, сохтмон
👷🏼‍♀	зан, зани коргари сохтмон, зани коргари сохтмон: ранги равшании миёнаи пӯст, коргар, ранги равшании миёнаи пӯст, сохтмон
👷🏽‍♀	зан, зани коргари сохтмон, зани коргари сохтмон: ранги миёнаи пӯст, коргар, ранги миёнаи пӯст, сохтмон
👷🏾‍♀	зан, зани коргари сохтмон, зани коргари сохтмон: ранги торики миёнаи пӯст, коргар, ранги торики миёнаи пӯст, сохтмон
👷🏿‍♀	зан, зани коргари сохтмон, зани коргари сохтмон: ранги торики пӯст, коргар, ранги торики пӯст, сохтмон
🤴	шоҳзода
🤴🏻	ранги равшани пӯст, шоҳзода, шоҳзода: ранги равшани пӯст
🤴🏼	ранги равшании миёнаи пӯст, шоҳзода, шоҳзода: ранги равшании миёнаи пӯст
🤴🏽	ранги миёнаи пӯст, шоҳзода, шоҳзода: ранги миёнаи пӯст
🤴🏾	ранги торики миёнаи пӯст, шоҳзода, шоҳзода: ранги торики миёнаи пӯст
🤴🏿	ранги торики пӯст, шоҳзода, шоҳзода: ранги торики пӯст
👸	афсона, тахайюлот, шоҳдухтар
👸🏻	афсона, ранги равшани пӯст, тахайюлот, шоҳдухтар, шоҳдухтар: ранги равшани пӯст
👸🏼	афсона, ранги равшании миёнаи пӯст, тахайюлот, шоҳдухтар, шоҳдухтар: ранги равшании миёнаи пӯст
👸🏽	афсона, ранги миёнаи пӯст, тахайюлот, шоҳдухтар, шоҳдухтар: ранги миёнаи пӯст
👸🏾	афсона, ранги торики миёнаи пӯст, тахайюлот, шоҳдухтар, шоҳдухтар: ранги торики миёнаи пӯст
👸🏿	афсона, ранги торики пӯст, тахайюлот, шоҳдухтар, шоҳдухтар: ранги торики пӯст
👳	салла, шахсе, ки дар сар салла дорад
👳🏻	ранги равшани пӯст, салла, шахсе, ки дар сар салла дорад, шахсе, ки дар сар салла дорад: ранги равшани пӯст
👳🏼	ранги равшании миёнаи пӯст, салла, шахсе, ки дар сар салла дорад, шахсе, ки дар сар салла дорад: ранги равшании миёнаи пӯст
👳🏽	ранги миёнаи пӯст, салла, шахсе, ки дар сар салла дорад, шахсе, ки дар сар салла дорад: ранги миёнаи пӯст
👳🏾	ранги торики миёнаи пӯст, салла, шахсе, ки дар сар салла дорад, шахсе, ки дар сар салла дорад: ранги торики миёнаи пӯст
👳🏿	ранги торики пӯст, салла, шахсе, ки дар сар салла дорад, шахсе, ки дар сар салла дорад: ранги торики пӯст
👳‍♂	мард, марде, ки дар сар салла дорад, салла
👳🏻‍♂	мард, марде, ки дар сар салла дорад, марде, ки дар сар салла дорад: ранги равшани пӯст, ранги равшани пӯст, салла
👳🏼‍♂	мард, марде, ки дар сар салла дорад, марде, ки дар сар салла дорад: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, салла
👳🏽‍♂	мард, марде, ки дар сар салла дорад, марде, ки дар сар салла дорад: ранги миёнаи пӯст, ранги миёнаи пӯст, салла
👳🏾‍♂	мард, марде, ки дар сар салла дорад, марде, ки дар сар салла дорад: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, салла
👳🏿‍♂	мард, марде, ки дар сар салла дорад, марде, ки дар сар салла дорад: ранги торики пӯст, ранги торики пӯст, салла
👳‍♀	зан, зане, ки дар сар салла дорад, салла
👳🏻‍♀	зан, зане, ки дар сар салла дорад, зане, ки дар сар салла дорад: ранги равшани пӯст, ранги равшани пӯст, салла
👳🏼‍♀	зан, зане, ки дар сар салла дорад, зане, ки дар сар салла дорад: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, салла
👳🏽‍♀	зан, зане, ки дар сар салла дорад, зане, ки дар сар салла дорад: ранги миёнаи пӯст, ранги миёнаи пӯст, салла
👳🏾‍♀	зан, зане, ки дар сар салла дорад, зане, ки дар сар салла дорад: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, салла
👳🏿‍♀	зан, зане, ки дар сар салла дорад, зане, ки дар сар салла дорад: ранги торики пӯст, ранги торики пӯст, салла
👲	гуа пи мао, мард, мард бо сарпӯши хитоӣ, сарпӯш
👲🏻	гуа пи мао, мард, мард бо сарпӯши хитоӣ, мард бо сарпӯши хитоӣ: ранги равшани пӯст, ранги равшани пӯст, сарпӯш
👲🏼	гуа пи мао, мард, мард бо сарпӯши хитоӣ, мард бо сарпӯши хитоӣ: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, сарпӯш
👲🏽	гуа пи мао, мард, мард бо сарпӯши хитоӣ, мард бо сарпӯши хитоӣ: ранги миёнаи пӯст, ранги миёнаи пӯст, сарпӯш
👲🏾	гуа пи мао, мард, мард бо сарпӯши хитоӣ, мард бо сарпӯши хитоӣ: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, сарпӯш
👲🏿	гуа пи мао, мард, мард бо сарпӯши хитоӣ, мард бо сарпӯши хитоӣ: ранги торики пӯст, ранги торики пӯст, сарпӯш
🧕	зан бо рӯймол, мантиля, рӯймол, тикл, ҳиҷоб
🧕🏻	зан бо рӯймол, зан бо рӯймол: ранги равшани пӯст, мантиля, ранги равшани пӯст, рӯймол, тикл, ҳиҷоб
🧕🏼	зан бо рӯймол, зан бо рӯймол: ранги равшании миёнаи пӯст, мантиля, ранги равшании миёнаи пӯст, рӯймол, тикл, ҳиҷоб
🧕🏽	зан бо рӯймол, зан бо рӯймол: ранги миёнаи пӯст, мантиля, ранги миёнаи пӯст, рӯймол, тикл, ҳиҷоб
🧕🏾	зан бо рӯймол, зан бо рӯймол: ранги торики миёнаи пӯст, мантиля, ранги торики миёнаи пӯст, рӯймол, тикл, ҳиҷоб
🧕🏿	зан бо рӯймол, зан бо рӯймол: ранги торики пӯст, мантиля, ранги торики пӯст, рӯймол, тикл, ҳиҷоб
🤵	домод, мард, мард бо смокинг, смокинг
🤵🏻	домод, мард, мард бо смокинг, мард бо смокинг: ранги равшани пӯст, ранги равшани пӯст, смокинг
🤵🏼	домод, мард, мард бо смокинг, мард бо смокинг: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, смокинг
🤵🏽	домод, мард, мард бо смокинг, мард бо смокинг: ранги миёнаи пӯст, ранги миёнаи пӯст, смокинг
🤵🏾	домод, мард, мард бо смокинг, мард бо смокинг: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, смокинг
🤵🏿	домод, мард, мард бо смокинг, мард бо смокинг: ранги торики пӯст, ранги торики пӯст, смокинг
👰	арӯс, арӯс бо сарандоз, сарандоз, тӯй
👰🏻	арӯс, арӯс бо сарандоз, арӯс бо сарандоз: ранги равшани пӯст, ранги равшани пӯст, сарандоз, тӯй
👰🏼	арӯс, арӯс бо сарандоз, арӯс бо сарандоз: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, сарандоз, тӯй
👰🏽	арӯс, арӯс бо сарандоз, арӯс бо сарандоз: ранги миёнаи пӯст, ранги миёнаи пӯст, сарандоз, тӯй
👰🏾	арӯс, арӯс бо сарандоз, арӯс бо сарандоз: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, сарандоз, тӯй
👰🏿	арӯс, арӯс бо сарандоз, арӯс бо сарандоз: ранги торики пӯст, ранги торики пӯст, сарандоз, тӯй
🤰	зан, зани ҳомила, ҳомила
🤰🏻	зан, зани ҳомила, зани ҳомила: ранги равшани пӯст, ранги равшани пӯст, ҳомила
🤰🏼	зан, зани ҳомила, зани ҳомила: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, ҳомила
🤰🏽	зан, зани ҳомила, зани ҳомила: ранги миёнаи пӯст, ранги миёнаи пӯст, ҳомила
🤰🏾	зан, зани ҳомила, зани ҳомила: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, ҳомила
🤰🏿	зан, зани ҳомила, зани ҳомила: ранги торики пӯст, ранги торики пӯст, ҳомила
🤱	сина, синамакконӣ, тифл, ширмакконӣ
🤱🏻	ранги равшани пӯст, сина, синамакконӣ, синамакконӣ: ранги равшани пӯст, тифл, ширмакконӣ
🤱🏼	ранги равшании миёнаи пӯст, сина, синамакконӣ, синамакконӣ: ранги равшании миёнаи пӯст, тифл, ширмакконӣ
🤱🏽	ранги миёнаи пӯст, сина, синамакконӣ, синамакконӣ: ранги миёнаи пӯст, тифл, ширмакконӣ
🤱🏾	ранги торики миёнаи пӯст, сина, синамакконӣ, синамакконӣ: ранги торики миёнаи пӯст, тифл, ширмакконӣ
🤱🏿	ранги торики пӯст, сина, синамакконӣ, синамакконӣ: ранги торики пӯст, тифл, ширмакконӣ
👼	афсона, кӯдак, кӯдаки фаришта, малоика, рӯй, тахайюлот
👼🏻	афсона, кӯдак, кӯдаки фаришта, кӯдаки фаришта: ранги равшани пӯст, малоика, ранги равшани пӯст, рӯй, тахайюлот
👼🏼	афсона, кӯдак, кӯдаки фаришта, кӯдаки фаришта: ранги равшании миёнаи пӯст, малоика, ранги равшании миёнаи пӯст, рӯй, тахайюлот
👼🏽	афсона, кӯдак, кӯдаки фаришта, кӯдаки фаришта: ранги миёнаи пӯст, малоика, ранги миёнаи пӯст, рӯй, тахайюлот
👼🏾	афсона, кӯдак, кӯдаки фаришта, кӯдаки фаришта: ранги торики миёнаи пӯст, малоика, ранги торики миёнаи пӯст, рӯй, тахайюлот
👼🏿	афсона, кӯдак, кӯдаки фаришта, кӯдаки фаришта: ранги торики пӯст, малоика, ранги торики пӯст, рӯй, тахайюлот
🎅	бобои барфӣ, клаус, мавлуди Исо, падар, санта, ҷашн
🎅🏻	бобои барфӣ, бобои барфӣ: ранги равшани пӯст, клаус, мавлуди Исо, падар, ранги равшани пӯст, санта, ҷашн
🎅🏼	бобои барфӣ, бобои барфӣ: ранги равшании миёнаи пӯст, клаус, мавлуди Исо, падар, ранги равшании миёнаи пӯст, санта, ҷашн
🎅🏽	бобои барфӣ, бобои барфӣ: ранги миёнаи пӯст, клаус, мавлуди Исо, падар, ранги миёнаи пӯст, санта, ҷашн
🎅🏾	бобои барфӣ, бобои барфӣ: ранги торики миёнаи пӯст, клаус, мавлуди Исо, падар, ранги торики миёнаи пӯст, санта, ҷашн
🎅🏿	бобои барфӣ, бобои барфӣ: ранги торики пӯст, клаус, мавлуди Исо, падар, ранги торики пӯст, санта, ҷашн
🤶	Мавлуди Исо, Хонум Клаус, клаус, модар, хонум, ҷашн
🤶🏻	Мавлуди Исо, Хонум Клаус, Хонум Клаус: ранги равшани пӯст, клаус, модар, ранги равшани пӯст, хонум, ҷашн
🤶🏼	Мавлуди Исо, Хонум Клаус, Хонум Клаус: ранги равшании миёнаи пӯст, клаус, модар, ранги равшании миёнаи пӯст, хонум, ҷашн
🤶🏽	Мавлуди Исо, Хонум Клаус, Хонум Клаус: ранги миёнаи пӯст, клаус, модар, ранги миёнаи пӯст, хонум, ҷашн
🤶🏾	Мавлуди Исо, Хонум Клаус, Хонум Клаус: ранги торики миёнаи пӯст, клаус, модар, ранги торики миёнаи пӯст, хонум, ҷашн
🤶🏿	Мавлуди Исо, Хонум Клаус, Хонум Клаус: ранги торики пӯст, клаус, модар, ранги торики пӯст, хонум, ҷашн
🧙	зани афсунгар, коҳин, марди афсунгар, соҳир, ҷодугар
🧙🏻	зани афсунгар, коҳин, коҳин: ранги равшани пӯст, марди афсунгар, ранги равшани пӯст, соҳир, ҷодугар
🧙🏼	зани афсунгар, коҳин, коҳин: ранги равшании миёнаи пӯст, марди афсунгар, ранги равшании миёнаи пӯст, соҳир, ҷодугар
🧙🏽	зани афсунгар, коҳин, коҳин: ранги миёнаи пӯст, марди афсунгар, ранги миёнаи пӯст, соҳир, ҷодугар
🧙🏾	зани афсунгар, коҳин, коҳин: ранги торики миёнаи пӯст, марди афсунгар, ранги торики миёнаи пӯст, соҳир, ҷодугар
🧙🏿	зани афсунгар, коҳин, коҳин: ранги торики пӯст, марди афсунгар, ранги торики пӯст, соҳир, ҷодугар
🧙‍♂	марди афсунгар, марди коҳин, соҳир
🧙🏻‍♂	марди афсунгар, марди коҳин, марди коҳин: ранги равшани пӯст, ранги равшани пӯст, соҳир
🧙🏼‍♂	марди афсунгар, марди коҳин, марди коҳин: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, соҳир
🧙🏽‍♂	марди афсунгар, марди коҳин, марди коҳин: ранги миёнаи пӯст, ранги миёнаи пӯст, соҳир
🧙🏾‍♂	марди афсунгар, марди коҳин, марди коҳин: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, соҳир
🧙🏿‍♂	марди афсунгар, марди коҳин, марди коҳин: ранги торики пӯст, ранги торики пӯст, соҳир
🧙‍♀	зани афсунгар, зани коҳин, ҷодугар
🧙🏻‍♀	зани афсунгар, зани коҳин, зани коҳин: ранги равшани пӯст, ранги равшани пӯст, ҷодугар
🧙🏼‍♀	зани афсунгар, зани коҳин, зани коҳин: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст, ҷодугар
🧙🏽‍♀	зани афсунгар, зани коҳин, зани коҳин: ранги миёнаи пӯст, ранги миёнаи пӯст, ҷодугар
🧙🏾‍♀	зани афсунгар, зани коҳин, зани коҳин: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст, ҷодугар
🧙🏿‍♀	зани афсунгар, зани коҳин, зани коҳин: ранги торики пӯст, ранги торики пӯст, ҷодугар
🧚	Оберон, Парии бад, Титания, парӣ
🧚🏻	Оберон, Парии бад, Титания, парӣ, парӣ: ранги равшани пӯст, ранги равшани пӯст
🧚🏼	Оберон, Парии бад, Титания, парӣ, парӣ: ранги равшании миёнаи пӯст, ранги равшании миёнаи пӯст
🧚🏽	Оберон, Парии бад, Титания, парӣ, парӣ: ранги миёнаи пӯст, ранги миёнаи пӯст
🧚🏾	Оберон, Парии бад, Титания, парӣ, парӣ: ранги торики миёнаи пӯст, ранги торики миёнаи пӯст
🧚🏿	Оберон, Парии бад, Титания, парӣ, парӣ: ранги торики пӯст, ранги торики пӯст
