👨🏽‍⚕	4-teri turi, doktor, erkak shifokor, erkak shifokor: 4-teri turi, salomatlik, shifokor, terapevt
👨🏾‍⚕	5-teri turi, doktor, erkak shifokor, erkak shifokor: 5-teri turi, salomatlik, shifokor, terapevt
👨🏿‍⚕	6-teri turi, doktor, erkak shifokor, erkak shifokor: 6-teri turi, salomatlik, shifokor, terapevt
👩🏻‍⚕	1–2-teri turi, ayol, ayol shifokor, ayol shifokor: 1–2-teri turi, doktor, hamshira, sog‘liqni saqlash
👩🏼‍⚕	3-teri turi, ayol, ayol shifokor, ayol shifokor: 3-teri turi, doktor, hamshira, sog‘liqni saqlash
👩🏽‍⚕	4-teri turi, ayol, ayol shifokor, ayol shifokor: 4-teri turi, doktor, hamshira, sog‘liqni saqlash
👩🏾‍⚕	5-teri turi, ayol, ayol shifokor, ayol shifokor: 5-teri turi, doktor, hamshira, sog‘liqni saqlash
👩🏿‍⚕	6-teri turi, ayol, ayol shifokor, ayol shifokor: 6-teri turi, doktor, hamshira, sog‘liqni saqlash
👨🏻‍🎓	1–2-teri turi, bitiruvchi, erkak, erkak talaba: 1–2-teri turi, kishi, talaba
👨🏼‍🎓	3-teri turi, bitiruvchi, erkak, erkak talaba: 3-teri turi, kishi, talaba
👨🏽‍🎓	4-teri turi, bitiruvchi, erkak, erkak talaba: 4-teri turi, kishi, talaba
👨🏾‍🎓	5-teri turi, bitiruvchi, erkak, erkak talaba: 5-teri turi, kishi, talaba
👨🏿‍🎓	6-teri turi, bitiruvchi, erkak, erkak talaba: 6-teri turi, kishi, talaba
👩🏻‍🎓	1–2-teri turi, ayol, ayol talaba: 1–2-teri turi, bitiruvchi, talaba
👩🏼‍🎓	3-teri turi, ayol, ayol talaba: 3-teri turi, bitiruvchi, talaba
👩🏽‍🎓	4-teri turi, ayol, ayol talaba: 4-teri turi, bitiruvchi, talaba
👩🏾‍🎓	5-teri turi, ayol, ayol talaba: 5-teri turi, bitiruvchi, talaba
👩🏿‍🎓	6-teri turi, ayol, ayol talaba: 6-teri turi, bitiruvchi, talaba
👨🏻‍🏫	1–2-teri turi, erkak, erkak o‘qituvchi: 1–2-teri turi, o‘qituvchi, professor
👨🏼‍🏫	3-teri turi, erkak, erkak o‘qituvchi: 3-teri turi, o‘qituvchi, professor
👨🏽‍🏫	4-teri turi, erkak, erkak o‘qituvchi: 4-teri turi, o‘qituvchi, professor
👨🏾‍🏫	5-teri turi, erkak, erkak o‘qituvchi: 5-teri turi, o‘qituvchi, professor
👨🏿‍🏫	6-teri turi, erkak, erkak o‘qituvchi: 6-teri turi, o‘qituvchi, professor
👩🏻‍🏫	1–2-teri turi, ayol, ayol o‘qituvchi: 1–2-teri turi, o‘qituvchi, professor
👩🏼‍🏫	3-teri turi, ayol, ayol o‘qituvchi: 3-teri turi, o‘qituvchi, professor
👩🏽‍🏫	4-teri turi, ayol, ayol o‘qituvchi: 4-teri turi, o‘qituvchi, professor
👩🏾‍🏫	5-teri turi, ayol, ayol o‘qituvchi: 5-teri turi, o‘qituvchi, professor
👩🏿‍🏫	6-teri turi, ayol, ayol o‘qituvchi: 6-teri turi, o‘qituvchi, professor
👨🏻‍⚖	1–2-teri turi, adliya, erkak, erkak sudya, erkak sudya: 1–2-teri turi, kishi, tarozi
👨🏼‍⚖	3-teri turi, adliya, erkak, erkak sudya, erkak sudya: 3-teri turi, kishi, tarozi
👨🏽‍⚖	4-teri turi, adliya, erkak, erkak sudya, erkak sudya: 4-teri turi, kishi, tarozi
👨🏾‍⚖	5-teri turi, adliya, erkak, erkak sudya, erkak sudya: 5-teri turi, kishi, tarozi
👨🏿‍⚖	6-teri turi, adliya, erkak, erkak sudya, erkak sudya: 6-teri turi, kishi, tarozi
👩🏻‍⚖	1–2-teri turi, ayol, ayol sudya: 1–2-teri turi, sudya, tarozi, xotin
👩🏼‍⚖	3-teri turi, ayol, ayol sudya: 3-teri turi, sudya, tarozi, xotin
👩🏽‍⚖	4-teri turi, ayol, ayol sudya: 4-teri turi, sudya, tarozi, xotin
👩🏾‍⚖	5-teri turi, ayol, ayol sudya: 5-teri turi, sudya, tarozi, xotin
👩🏿‍⚖	6-teri turi, ayol, ayol sudya: 6-teri turi, sudya, tarozi, xotin
👨🏻‍🌾	1–2-teri turi, bog‘bon, erkak, erkak fermer: 1–2-teri turi, fermer, rancho egasi
👨🏼‍🌾	3-teri turi, bog‘bon, erkak, erkak fermer: 3-teri turi, fermer, rancho egasi
