🦵🏻	арьсны төрөл-1-2, мөч, хөл, хөл: арьсны төрөл-1-2, өшиглөх
👩🏾‍🦰	арьсны төрөл-5, улаан үс, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-5, улаан үс
👩🏿‍🦰	арьсны төрөл-6, улаан үс, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-6, улаан үс
👩‍🦱	буржгар үс, хүн, эмэгтэй, эмэгтэй хүн: буржгар үс
👩🏻‍🦱	арьсны төрөл-1-2, буржгар үс, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-1-2, буржгар үс
👩🏼‍🦱	арьсны төрөл-3, буржгар үс, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-3, буржгар үс
👩🏽‍🦱	арьсны төрөл-4, буржгар үс, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-4, буржгар үс
👩🏾‍🦱	арьсны төрөл-5, буржгар үс, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-5, буржгар үс
👩🏿‍🦱	арьсны төрөл-6, буржгар үс, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-6, буржгар үс
👩‍🦲	халзан, хүн, эмэгтэй, эмэгтэй хүн: халзан
👩🏻‍🦲	арьсны төрөл-1-2, халзан, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-1-2, халзан
👩🏼‍🦲	арьсны төрөл-3, халзан, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-3, халзан
👩🏽‍🦲	арьсны төрөл-4, халзан, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-4, халзан
👩🏾‍🦲	арьсны төрөл-5, халзан, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-5, халзан
👩🏿‍🦲	арьсны төрөл-6, халзан, хүн, эмэгтэй, эмэгтэй хүн: арьсны төрөл-6, халзан
👩‍🦳	хүн, цагаан үс, эмэгтэй, эмэгтэй хүн: цагаан үс
👩🏻‍🦳	арьсны төрөл-1-2, хүн, цагаан үс, эмэгтэй, эмэгтэй хүн: арьсны төрөл-1-2, цагаан үс
👩🏼‍🦳	арьсны төрөл-3, хүн, цагаан үс, эмэгтэй, эмэгтэй хүн: арьсны төрөл-3, цагаан үс
👩🏽‍🦳	арьсны төрөл-4, хүн, цагаан үс, эмэгтэй, эмэгтэй хүн: арьсны төрөл-4, цагаан үс
👩🏾‍🦳	арьсны төрөл-5, хүн, цагаан үс, эмэгтэй, эмэгтэй хүн: арьсны төрөл-5, цагаан үс
👩🏿‍🦳	арьсны төрөл-6, хүн, цагаан үс, эмэгтэй, эмэгтэй хүн: арьсны төрөл-6, цагаан үс
🧓🏻	арьсны төрөл-1-2, жендер-саармаг, настай хүн, настай хүн: арьсны төрөл-1-2, хөгшин
🧓🏼	арьсны төрөл-3, жендер-саармаг, настай хүн, настай хүн: арьсны төрөл-3, хөгшин
🧓🏽	арьсны төрөл-4, жендер-саармаг, настай хүн, настай хүн: арьсны төрөл-4, хөгшин
🧓🏾	арьсны төрөл-5, жендер-саармаг, настай хүн, настай хүн: арьсны төрөл-5, хөгшин
🧓🏿	арьсны төрөл-6, жендер-саармаг, настай хүн, настай хүн: арьсны төрөл-6, хөгшин
👴🏻	арьсны төрөл-1-2, ахимаг, ахимаг насны эрэгтэй хүн, ахимаг насны эрэгтэй хүн: арьсны төрөл-1-2, нас, хүн, эрэгтэй
👴🏼	арьсны төрөл-3, ахимаг, ахимаг насны эрэгтэй хүн, ахимаг насны эрэгтэй хүн: арьсны төрөл-3, нас, хүн, эрэгтэй
👴🏽	арьсны төрөл-4, ахимаг, ахимаг насны эрэгтэй хүн, ахимаг насны эрэгтэй хүн: арьсны төрөл-4, нас, хүн, эрэгтэй
👴🏾	арьсны төрөл-5, ахимаг, ахимаг насны эрэгтэй хүн, ахимаг насны эрэгтэй хүн: арьсны төрөл-5, нас, хүн, эрэгтэй
👴🏿	арьсны төрөл-6, ахимаг, ахимаг насны эрэгтэй хүн, ахимаг насны эрэгтэй хүн: арьсны төрөл-6, нас, хүн, эрэгтэй
👵🏻	арьсны төрөл-1-2, ахимаг, ахимаг насны эмэгтэй хүн, ахимаг насны эмэгтэй хүн: арьсны төрөл-1-2, нас, хүн, эмэгтай
👵🏼	арьсны төрөл-3, ахимаг, ахимаг насны эмэгтэй хүн, ахимаг насны эмэгтэй хүн: арьсны төрөл-3, нас, хүн, эмэгтай
👵🏽	арьсны төрөл-4, ахимаг, ахимаг насны эмэгтэй хүн, ахимаг насны эмэгтэй хүн: арьсны төрөл-4, нас, хүн, эмэгтай
👵🏾	арьсны төрөл-5, ахимаг, ахимаг насны эмэгтэй хүн, ахимаг насны эмэгтэй хүн: арьсны төрөл-5, нас, хүн, эмэгтай
👵🏿	арьсны төрөл-6, ахимаг, ахимаг насны эмэгтэй хүн, ахимаг насны эмэгтэй хүн: арьсны төрөл-6, нас, хүн, эмэгтай
👨🏻‍⚕	арьсны төрөл-1-2, сувилагч, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрэгтэй эрүүл мэндийн ажилтан: арьсны төрөл-1-2, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👨🏼‍⚕	арьсны төрөл-3, сувилагч, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрэгтэй эрүүл мэндийн ажилтан: арьсны төрөл-3, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👨🏽‍⚕	арьсны төрөл-4, сувилагч, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрэгтэй эрүүл мэндийн ажилтан: арьсны төрөл-4, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👨🏾‍⚕	арьсны төрөл-5, сувилагч, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрэгтэй эрүүл мэндийн ажилтан: арьсны төрөл-5, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👨🏿‍⚕	арьсны төрөл-6, сувилагч, эмч, эрэгтэй, эрэгтэй эрүүл мэндийн ажилтан, эрэгтэй эрүүл мэндийн ажилтан: арьсны төрөл-6, эрүүл мэнд, эрүүл мэндийн эрэгтэй ажилтан
👩🏻‍⚕	арьсны төрөл-1-2, сувилагч, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эмэгтэй эрүүл мэндийн ажилтан: арьсны төрөл-1-2, эрүүл мэнд
👩🏼‍⚕	арьсны төрөл-3, сувилагч, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эмэгтэй эрүүл мэндийн ажилтан: арьсны төрөл-3, эрүүл мэнд
👩🏽‍⚕	арьсны төрөл-4, сувилагч, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эмэгтэй эрүүл мэндийн ажилтан: арьсны төрөл-4, эрүүл мэнд
👩🏾‍⚕	арьсны төрөл-5, сувилагч, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эмэгтэй эрүүл мэндийн ажилтан: арьсны төрөл-5, эрүүл мэнд
👩🏿‍⚕	арьсны төрөл-6, сувилагч, эмч, эмчлэгч, эмэгтэй эрүүл мэндийн ажилтан, эмэгтэй эрүүл мэндийн ажилтан: арьсны төрөл-6, эрүүл мэнд
👨🏻‍🎓	арьсны төрөл-1-2, оюутан, төгсөгч, эр, эрэгтэй, эрэгтэй оюутан: арьсны төрөл-1-2
👨🏼‍🎓	арьсны төрөл-3, оюутан, төгсөгч, эр, эрэгтэй, эрэгтэй оюутан: арьсны төрөл-3
👨🏽‍🎓	арьсны төрөл-4, оюутан, төгсөгч, эр, эрэгтэй, эрэгтэй оюутан: арьсны төрөл-4
👨🏾‍🎓	арьсны төрөл-5, оюутан, төгсөгч, эр, эрэгтэй, эрэгтэй оюутан: арьсны төрөл-5
👨🏿‍🎓	арьсны төрөл-6, оюутан, төгсөгч, эр, эрэгтэй, эрэгтэй оюутан: арьсны төрөл-6
👩🏻‍🎓	арьсны төрөл-1-2, оюутан, төгсөгч, эм, эмэгтэй, эмэгтэй оюутан: арьсны төрөл-1-2
👩🏼‍🎓	арьсны төрөл-3, оюутан, төгсөгч, эм, эмэгтэй, эмэгтэй оюутан: арьсны төрөл-3
👩🏽‍🎓	арьсны төрөл-4, оюутан, төгсөгч, эм, эмэгтэй, эмэгтэй оюутан: арьсны төрөл-4
👩🏾‍🎓	арьсны төрөл-5, оюутан, төгсөгч, эм, эмэгтэй, эмэгтэй оюутан: арьсны төрөл-5
👩🏿‍🎓	арьсны төрөл-6, оюутан, төгсөгч, эм, эмэгтэй, эмэгтэй оюутан: арьсны төрөл-6
👨🏻‍🏫	арьсны төрөл-1-2, багш, профессор, сургагч, эр, эрэгтэй, эрэгтэй багш: арьсны төрөл-1-2
👨🏼‍🏫	арьсны төрөл-3, багш, профессор, сургагч, эр, эрэгтэй, эрэгтэй багш: арьсны төрөл-3
👨🏽‍🏫	арьсны төрөл-4, багш, профессор, сургагч, эр, эрэгтэй, эрэгтэй багш: арьсны төрөл-4
👨🏾‍🏫	арьсны төрөл-5, багш, профессор, сургагч, эр, эрэгтэй, эрэгтэй багш: арьсны төрөл-5
👨🏿‍🏫	арьсны төрөл-6, багш, профессор, сургагч, эр, эрэгтэй, эрэгтэй багш: арьсны төрөл-6
👩🏻‍🏫	арьсны төрөл-1-2, багш, профессор, сургагч, эм, эмэгтэй, эмэгтэй багш: арьсны төрөл-1-2
👩🏼‍🏫	арьсны төрөл-3, багш, профессор, сургагч, эм, эмэгтэй, эмэгтэй багш: арьсны төрөл-3
👩🏽‍🏫	арьсны төрөл-4, багш, профессор, сургагч, эм, эмэгтэй, эмэгтэй багш: арьсны төрөл-4
👩🏾‍🏫	арьсны төрөл-5, багш, профессор, сургагч, эм, эмэгтэй, эмэгтэй багш: арьсны төрөл-5
👩🏿‍🏫	арьсны төрөл-6, багш, профессор, сургагч, эм, эмэгтэй, эмэгтэй багш: арьсны төрөл-6
👨🏻‍⚖	арьсны төрөл-1-2, дэнс, шүүх, эр, эрэгтэй, эрэгтэй шүүгч, эрэгтэй шүүгч: арьсны төрөл-1-2
👨🏼‍⚖	арьсны төрөл-3, дэнс, шүүх, эр, эрэгтэй, эрэгтэй шүүгч, эрэгтэй шүүгч: арьсны төрөл-3
👨🏽‍⚖	арьсны төрөл-4, дэнс, шүүх, эр, эрэгтэй, эрэгтэй шүүгч, эрэгтэй шүүгч: арьсны төрөл-4
👨🏾‍⚖	арьсны төрөл-5, дэнс, шүүх, эр, эрэгтэй, эрэгтэй шүүгч, эрэгтэй шүүгч: арьсны төрөл-5
👨🏿‍⚖	арьсны төрөл-6, дэнс, шүүх, эр, эрэгтэй, эрэгтэй шүүгч, эрэгтэй шүүгч: арьсны төрөл-6
👩🏻‍⚖	арьсны төрөл-1-2, дэнс, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч: арьсны төрөл-1-2
👩🏼‍⚖	арьсны төрөл-3, дэнс, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч: арьсны төрөл-3
👩🏽‍⚖	арьсны төрөл-4, дэнс, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч: арьсны төрөл-4
👩🏾‍⚖	арьсны төрөл-5, дэнс, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч: арьсны төрөл-5
👩🏿‍⚖	арьсны төрөл-6, дэнс, шүүгч, эм, эмэгтэй, эмэгтэй шүүгч: арьсны төрөл-6
👨🏻‍🌾	арьсны төрөл-1-2, ногооч эр, тариачин, фермер, эрэгтэй, эрэгтэй тариачин: арьсны төрөл-1-2
👨🏼‍🌾	арьсны төрөл-3, ногооч эр, тариачин, фермер, эрэгтэй, эрэгтэй тариачин: арьсны төрөл-3
👨🏽‍🌾	арьсны төрөл-4, ногооч эр, тариачин, фермер, эрэгтэй, эрэгтэй тариачин: арьсны төрөл-4
👨🏾‍🌾	арьсны төрөл-5, ногооч эр, тариачин, фермер, эрэгтэй, эрэгтэй тариачин: арьсны төрөл-5
👨🏿‍🌾	арьсны төрөл-6, ногооч эр, тариачин, фермер, эрэгтэй, эрэгтэй тариачин: арьсны төрөл-6
👩🏻‍🌾	арьсны төрөл-1-2, ногооч, тариачин, фермер, эм, эмэгтэй, эмэгтэй тариачин: арьсны төрөл-1-2
👩🏼‍🌾	арьсны төрөл-3, ногооч, тариачин, фермер, эм, эмэгтэй, эмэгтэй тариачин: арьсны төрөл-3
👩🏽‍🌾	арьсны төрөл-4, ногооч, тариачин, фермер, эм, эмэгтэй, эмэгтэй тариачин: арьсны төрөл-4
👩🏾‍🌾	арьсны төрөл-5, ногооч, тариачин, фермер, эм, эмэгтэй, эмэгтэй тариачин: арьсны төрөл-5
👩🏿‍🌾	арьсны төрөл-6, ногооч, тариачин, фермер, эм, эмэгтэй, эмэгтэй тариачин: арьсны төрөл-6
👨🏻‍🍳	арьсны төрөл-1-2, тогооч, эр, эрэгтэй, эрэгтэй тогооч: арьсны төрөл-1-2
👨🏼‍🍳	арьсны төрөл-3, тогооч, эр, эрэгтэй, эрэгтэй тогооч: арьсны төрөл-3
👨🏽‍🍳	арьсны төрөл-4, тогооч, эр, эрэгтэй, эрэгтэй тогооч: арьсны төрөл-4
👨🏾‍🍳	арьсны төрөл-5, тогооч, эр, эрэгтэй, эрэгтэй тогооч: арьсны төрөл-5
👨🏿‍🍳	арьсны төрөл-6, тогооч, эр, эрэгтэй, эрэгтэй тогооч: арьсны төрөл-6
