🏻	1–2. mota, azalaren tonua
🈵	osotasuna irudikatzen duen ideograma karratu batean, txinera
🔴	geometriko, gorri, zirkulu, zirkulu gorria
🔵	geometriko, urdin, zirkulu, zirkulu urdina
🔶	diamante, diamante laranja handia, geometriko, laranja
🔷	diamante, diamante urdin handia, geometriko, urdin
🔸	diamante, diamante laranja txikia, geometriko, laranja
🔹	diamante, diamante urdin txikia, geometriko, urdin
🔺	geometriko, gorri, punta gora begira duen triangelu gorria
🔻	behera, geometriko, gorri, punta behera begira duen triangelu gorria
💠	barnealde, diamante, geometriko, komiki, puntu bat duen diamantea
🔘	botoi, geometriko, kontrol, kontrol-laukia
🔲	botoi, geometriko, karratu, karratu beltz itxurako botoia
🔳	botoi, geometriko, karratu, karratu zuri itxurako botoia, nabarmendu
🏁	bandera laukiduna, karratu, lasterketa, lauki, laukidun
🚩	posta, triangelu-itxurako bandera
🎌	bandera gurutzatuak, gurutzatuta, gurutze, japoniar, ospakizuna
🏴	dantzan, dantzatzen ari den bandera beltza
🏳‍🌈	bandera, ortzadar, ortzadarraren bandera
🏴‍☠	Jolly Roger, altxor, arpilatze, pirata, piraten bandera
©️	copyright
®️	erregistratu, marka, marka erregistratua
‼️	harridura, harridura-marka bikoitza, marka, puntuazioa
⁉️	galdera, harridura, harridura- eta galdera-ikurra, marka, puntuazioa
™️	komertzial, marka, marka komertziala, tm
ℹ️	i, informazio, informazio-iturburua
↔️	ezkerrera eta eskuinera gezia, gezi
↕️	gezi, gora eta behera gezia
↖️	gezi, gora eta ezkerrera gezia, ipar-mendebalde, kardinal arteko, norabide
↗️	gezi, gora eta eskuinera gezia, ipar-ekialde, kardinal arteko, norabide
↘️	behera eta eskuinera gezia, gezi, hego-ekialde, kardinal arteko, norabide
↙️	behera eta ezkerrera gezia, gezi, hego-mendebalde, kardinal arteko, norabide
↩️	ezkerrera okertzen den eskuinera gezia, gezi
↪️	eskuinera okertzen den ezkerrera gezia, gezi
⌚️	erlojua, ordularia
⌛️	harea, harea-erloju, tenporizadore
⌨️	ordenagailua, teklatua
⏏️	atera, ateratzeko botoia
⏱️	erloju, kronometroa
⏲️	erloju, tenporizadore, tenporizadorea
⏳️	erloju, harea, harea-erlojua harea dariola, tenporizadore
⏸️	barra, bertikal, bikoitz, pausatu, pausatzeko botoia
⏹️	gelditu, gelditzeko botoia, karratu, stop
⏺️	biribil, grabatu, grabatzeko botoia
Ⓜ️	m, zirkulu, “m” hizkia zirkulu batean
▪️	geometriko, karratu, karratu beltz txikia
▫️	geometriko, karratu, karratu zuri txikia
◻️	geometriko, karratu, karratu zuri ertaina
◼️	geometriko, karratu, karratu beltz ertaina
◽️	geometriko, karratu, karratu zuri ertaina/txikia
◾️	geometriko, karratu, karratu beltz ertaina/txikia
☀️	argi, eguraldi, eguzkia, eguzkitsu, espazio, izpi
☁️	eguraldi, hodei
☂️	aterki, babes, eguraldi, euri
☃️	eguraldi, elur, elurrezko gizona, hotz
☄️	espazioa, kometa
☎️	telefono, telefonoa
☑️	koadro, markatu, tilet, tileta duen koadroa
☔️	aterki, aterkia euri-tantekin, babes, eguraldi, euri, tanta
☕️	bero, edari, edari beroa, kafe, ke, te
☘️	hirusta, landare
☝️	erakusle, esku, gora seinalatzen ari den hatz erakuslea, hatz, seinalatu
☠️	aurpegi, buru-hezur, buru-hezurra eta hezur gurutzatuak, gorputz, heriotza, hezur gurutzatuak, hil, munstro
☢️	erradioaktibo, erradioaktiboa, ikur
☣️	arrisku, arrisku biologikoa, biologiko, ikur
☦️	erlijio, gurutze, gurutze ortodoxoa, kristau
☪️	erlijio, islam, izarra eta ilargierdia, musulman
☮️	bake, bakearen ikurra
☯️	erlijio, tao, taoista, yang, yin, yin yang
☸️	budista, dharma, dharmaren gurpila, erlijio, gurpil
☹️	aurpegi, kopeta ilunduta duen aurpegia, kopetilun
☺️	aurpegi, erlaxatuta, irribarre, irribarre egiten ari den aurpegia, nabarmen
♀️	emakume, emakumeen ikurra, emakumezko
♂️	gizon, gizonen ikurra, gizonezko
♈️	aries, zikiro, zodiako
♉️	idi, taurus, zezen, zodiako
♊️	biki, gemini, zodiako
♋️	cancer, karramarro, zodiako
♌️	leo, leoi, zodiako
♍️	birjina, ezkongabe, virgo, zodiako
♎️	balantza, justizia, libra, oreka, zodiako
♏️	eskorpioi, scorpio, zodiako
♐️	arkulari, sagittarius, zodiako
♑️	ahuntz, capricornus, zodiako
♒️	aquarius, berri-ekarle, ur, zodiako
♓️	arrain, pisces, zodiako
♟️	ez nahitaezko, peoi, trikimailu, xake
♠️	joko, karta, palo, pika
♣️	hirusta, hirustak, joko, karta, klub, palo
♥️	bihotz, bihotza, joko, karta, palo
♦️	diamante, diamanteak, joko, karta, palo
♨️	bero, iturri, iturri termalak, ke, termal
♻️	birziklatu, birziklatzeko ikurra
♾️	beti, infinitu, mugagabe, unibertsal
♿️	erabilerraztasun, gurpil-aulkia
⚒️	mailu, mailua eta pikotxa, pikotx, tresna
⚓️	aingura, ontzi, tresna
⚔️	arma, ezpata gurutzatuak, ezpatak, gurutzatu
⚕️	Asklepio, ikur medikoa, medizina, sendagile
⚖️	balantzak, justizia, libra, oreka, pisu, tresna, zodiako
⚗️	alanbikea, kimika, tresna
⚙️	engranajea, tresna
⚛️	ateista, atomo, atomoaren ikurra
⚠️	abisua
⚡️	argindar, arrisku, elektriko, tentsio, tentsio handia, tximista
⚪️	geometriko, zirkulu, zirkulu zuria
⚫️	geometriko, zirkulu, zirkulu beltza
⚰️	heriotza, hil, hilkutxa
⚱️	errautsak gordetzeko kutxa, heriotza, hileta, kutxa
⚽️	baloi, futbol, futboleko baloia
⚾️	baloi, beisbola
⛄️	eguraldi, elur, elurrezko gizon, elurrezko gizona elurrik gabe, hotz
⛅️	eguraldi, eguzki, eguzkia hodei baten atzean, hodei
⛈️	eguraldi, euri, hodei, hodeia tximista eta euriarekin, trumoi
⛏️	meatzaritza, pikotxa, tresna
⛑️	aurpegi, gurutze, kasko, kaskoa gurutze zuriarekin, laguntza
⛓️	kate, kateak
⛔️	debekatuta, ez, galarazita, sarrera, sarrera debekatuta, trafiko
⛩️	erlijio, santutegi, shinto, shinto santutegia
⛪️	eliza, eraikin, erlijio, gurutze, kristau
⛰️	mendi, mendia
⛱️	aterki, aterkia hondartzan, eguraldi, eguzki, euri
⛲️	iturri, iturria
⛳️	bandera zuloan, golf, zulo
⛴️	ferrya, itsasontzi
⛵️	belaontzia, ibilgailu, itsaso, itsasontzi, resort
⛷️	elur, eski, eskiatzailea
⛸️	izotz, izotz-patinajea, patinaje
⛹️	baloi, baloi bat duen pertsona
⛺️	denda, kanpin
⛽️	bonba, erregai, gasolina, gasolina-bonba, gasolindegi
✂️	guraizeak, tresna
✈️	hegazkina, ibilgailu
✉️	elektroniko, gutun-azal, mezu, posta
✌️	esku, garaipen, garaipena adierazten duen eskua, gorputz, v
✍️	esku, gorputz, idatzi, idazten ari den eskua
✏️	arkatz, arkatza
✒️	luma, luma beltza, punta
✔️	markatu, tilet, tileta lodia
✖️	bider, biderketa, biderketa-ikur lodia, utzi, utzi bertan behera, x
✝️	erlijio, gurutze, gurutze latindarra, kristau
✡️	david, daviden izarra, erlijio, izar, judaismo, judu
✳️	izartxo, zortzi puntako izartxoa
✴️	izar, zortzi puntako izarra
❄️	eguraldi, elur, elur-maluta, hotz
❇️	txinparta
❓️	galdera, galdera-marka, marka, puntuazio
❗️	harridura, harridura-marka, marka, puntuazioa
❣️	bihotz, bihotz-itxurako harridura-marka, harridura, marka, puntuazioa
❤️	bihotz, bihotz gorria
➡️	ekialde, eskuinera gezia, gezi, kardinal, norabide
⤴️	gezi, gora okertzen den eskuinera gezia
⤵️	behera, behera okertzen den eskuinera gezia, gezi
⬅️	ezkerrera gezia, gezi, kardinal, mendebalde, norabide
⬆️	gezi, gora gezia, ipar, kardinal, norabide
⬇️	behera, behera gezia, gezi, hego, kardinal, norabide
⬛️	geometriko, karratu, karratu beltz handia
⬜️	geometriko, karratu, karratu zuri handia
⭐️	izar, izar zuri ertaina
⭕️	o, zirkulu, zirkulu lodi handia
〰️	marratxo, marratxo ondulatua, ondulatu, puntuazio
〽️	markatu, txanda, txanda-markatzailea
㊗️	ideograma, txinera, zorion, zorionak, zoriontzeko ideograma zirkulu batean
㊙️	ideograma, sekretu, sekretua irudikatzen duen ideograma zirkulu batean, txinera
🀄️	gorri, joko, mahjong, mahjong dragoi gorria
🅰️	a, a botoia, odol
🅱️	b, b botoia, odol
🅾️	o, odol, “o” botoia
🅿️	aparkaleku, parking, “p” botoia
🈂️	japoniera, katakana sa karratu batean
🌎️	america ikusgai duen lur-globoa, amerika, globo, lur, mundu
🌕️	bete, eguraldi, espazio, ilargi, ilargi betea
🌜️	aurpegi, eguraldi, espazio, ilargi, ilargi-laurdena eskuinera begira
🌡️	eguraldi, termometro
🌤️	eguraldi, eguzki, eguzkia hodei txiki baten atzean, hodei
🌥️	eguraldi, eguzki, eguzkia hodei handi baten atzean, hodei
🌦️	eguraldi, eguzki, eguzkia hodei baten atzean euriarekin, euri, hodei
🌧️	eguraldi, euri, hodei, hodeia euriarekin
🌨️	eguraldi, elur, hodei, hodeia elurrarekin, hotz
🌩️	eguraldi, hodei, hodeia tximistarekin, tximista
🌪️	eguraldi, hodei, tornado, zurrunbilo
🌫️	eguraldi, hodei, lainoa
🌬️	aurpegi, eguraldi, haize, haize-aurpegia, hodei, putz
🌶️	bizi, landare, piper, txile, txilea
🍸️	edari, koktel, koktel-kopa, kopa, taberna
🍽️	janari, labana, plater, platera, sardeska eta labanarekin, sardeska
🎓️	arropa, graduatu-txanoa, graduazio, ospakizun, txano
🎖️	domina, domina militarra, militar, ospakizun
🎗️	gogorarazle, ospakizun, xingola
🎙️	estudio, estudioko mikrofonoa, mikrofono, musika
🎚️	graduatzailea, maila, musika
🎛️	kontrol, kontrolak, musika
🎞️	film, filmeko fotogramak, fotograma, zinema
🎟️	sarbide, sarrera, sarrera-txartelak, txartel
🎧️	entzungailu, entzungailuak
🎬️	film, klaketa
🎭️	antzoki, areto, arte, arte eszenikoak, eszeniko, maskara
🎮️	bideo-jokoa, joko, kontroladore
🏂️	elur, eski, snowboard, snowboardlaria
🏄️	surf, surflaria
🏆️	sari, trofeoa
🏊️	igeri, igerilaria
🏋️	jasotzaile, pisu, pisuak altxatzen ari den pertsona
🏌️	golf, golflaria, pilota
🏍️	lasterketa, motozikleta
🏎️	auto, lasterketa, lasterketa-autoa
🏔️	elur, hotz, mendi, tontorrean elurra duen mendia
🏕️	kanpin, kanpina
🏖️	eguzkitako, eguzkitakoa hondartzan, hondartza
🏗️	eraikin, eraikuntza, eraikuntza-lanak, lanak
🏘️	eraikin, etxe, etxebizitzak
🏙️	eraikin, hiri, hiri-paisaia
🏚️	abandonatu, eraikin, etxe, etxe abandonatua
🏛️	eraikin, eraikin historikoa, historiko
🏜️	basamortu, basamortua
🏝️	basamortu, uharte, uharte bakartia
🏞️	parke, parke nazionala
🏟️	estadio, estadioa
🏠️	eraikin, etxe, etxebizitza
🏭️	eraikin, fabrika
🏳️	dantzan, dantzatzen ari den bandera zuria
🏵️	landare, saria
🏷️	etiketa
🐈️	katua, maskota
🐕️	maskota, txakur
🐟️	arrain, pisces, zodiako
🐦️	txori, txoria
🐿️	lur, lurreko urtxintxa, urtxintxa
👁️	begi, gorputz
👂️	belarria, gorputz
👆️	erakusle, esku, gora seinalatzen ari den hatz erakuslearen atzealdea, gora seinalatzen ari den hatza, hatz, seinalatu
👇️	behera seinalatzen ari den hatz erakuslearen atzealdea, behera seinalatzen ari den hatza, erakusle, esku, hatz, seinalatu
👈️	erakusle, esku, ezkerrera seinalatzen ari den hatz erakuslea, hatz, seinalatu
👉️	erakusle, esku, eskuinera seinalatzen ari den hatz erakuslea, hatz, seinalatu
👍️	erpuru, erpurua gora, esku, gora, gorputz
👎️	behera, erpuru, erpurua behera, esku, gorputz
👓️	arropa, begi, betaurreko, betaurrekoak
👪️	aita, ama, familia, haur
👽️	aurpegi, espazio, estralurtar, estralurtarra, fantasia, ipuin, izaki, munstro, ohe
💣️	komiki, lehergailua
💰️	diru, diru-poltsa, dolar, poltsa, poltsa bete diru
💳️	banku, diru, kreditu, kreditu-txartela, txartel
💻️	ordenagailu, ordenagailu eramangarria, pc, pertsonal
💿️	blu-ray, cd, disko, disko optikoa, dvd, optiko, ordenagailu
📋️	ohar-blok, ohar-bloka
📚️	liburu, liburuak
📟️	bilagailu, bilagailua
📤️	bidalitako, erretilu, gutun, irteerako, irteerako erretilua, ontzi, posta
📥️	erretilu, gutun, jaso, ontzi, posta, sarrerako, sarrerako erretilua
📦️	fardel, ontzi, paketea
📪️	bandera jaitsita duen postontzi itxia, itxita, jaitsita, ontzi, posta, postontzi
📫️	bandera igota duen postontzi itxia, itxita, ontzi, posta, postontzi
📬️	bandera igota duen postontzi irekia, irekita, ontzi, posta, postontzi
📭️	bandera jaitsita duen postontzi irekia, irekita, jaitsita, ontzi, posta, postontzi
📷️	bideo, kamera
📹️	bideo, bideokamera, kamera
📺️	bideo, telebista
📻️	bideo, irratia
📽️	bideo, film, film-proiektorea, proiektore, zinema
🔈️	bolumen, bozgorailua bolumen txikian
🔒️	giltzarrapoa, itxita
🔓️	giltzarrapo, giltzarrapo irekia, ireki, irekita
🕉️	erlijio, hindu, om
🕊️	bake, hegan, txori, uxoa
🕐️	00, 1, 1:00, bat, erloju, ordu bata, puntuan
🕑️	00, 2, 2:00, bi, erloju, ordu biak, puntuan
🕒️	00, 3, 3:00, erloju, hiru, hirurak, puntuan
🕓️	00, 4, 4:00, erloju, lau, laurak, puntuan
🕔️	00, 5, 5:00, bost, bostak, erloju, puntuan
🕕️	00, 6, 6:00, erloju, puntuan, sei, seiak
🕖️	00, 7, 7:00, erloju, puntuan, zazpi, zazpiak
🕗️	00, 8, 8:00, erloju, puntuan, zortzi, zortziak
🕘️	00, 9, 9:00, bederatzi, bederatziak, erloju, puntuan
🕙️	00, 10, 10:00, erloju, hamar, hamarrak, puntuan
🕚️	00, 11, 11:00, erloju, hamaika, hamaikak, puntuan
🕛️	00, 12, 12:00, erloju, hamabi, hamabiak, puntuan
🕯️	argi, kandela
🕰️	erloju, mahai gaineko erlojua
🕳️	zulo, zuloa
🕴️	enpresa, gizon, traje, trajea daraman eta lebitatzen ari den gizona
🕵️	detektibe, detektibea, espia
🕶️	begi, betaurreko, eguzkitako betaurrekoak, ilun
🕷️	armiarma, intsektu
🕸️	armiarma, armiarma-sarea, sare
🕹️	bideo, joko, joko-palanka
🖇️	elkarri lotutako klipak, klip, lotu
🖊️	bolaluma, boligrafo
🖋️	estilografikoa, luma, luma estilografikoa
🖌️	brotxa, margotu
🖍️	margo, margoa
🖐️	esku, esku altxatua eta hatz hedatuak, gorputz, hatz, hedatu
🖥️	mahaigain, mahaigaineko ordenagailua, ordenagailu
🖨️	inprimagailua, ordenagailua
🖱️	3, botoi, hiru, ordenagailu, ordenagailuko sagua, sagu
🖲️	kontrolagailua, ordenagailu
🖼️	arte, koadro, koadroa markoarekin, margolan, marko, museo
🗂️	artxibo, artxibo-bereizleak, bereizle, txartel
🗃️	artxibatu, artxibatzeko kaxa, fitxategi, kaxa
🗄️	artxibategi, artxibategia, artxibo
🗑️	zakarrontzi, zakarrontzia
🗒️	blok, kiribil, koaderno kiribilduna, ohar
🗓️	egutegi, egutegi kiribilduna, kiribil, koaderno
🗜️	konprimatzea, tresna
🗝️	blokeo, giltza, giltza zaharra, itxi, pista, zahar
🗡️	aizto, arma, daga
🗣️	aurpegi, aurrera hitz egiten ari den burua, buru, hitz egin, hizketan ari den burua, silueta
🗨️	elkarrizketa, ezkerrera doan bunbuiloa, hizketa
🗯️	bunbuilo, eskuinera doan sumindura-bunbuiloa, haserre, sumindu
🗳️	kutxa, kutxa eta txartela, txartel
🗺️	mapa, mundu, munduko mapa
😐️	aurpegi, aurpegi neutrala, espresiorik gabe, neutrala
🚇️	ibilgailu, metro, metroa
🚍️	autobus, heldu, heldu den autobusa, ibilgailu
🚑️	anbulantzia, ibilgailu
🚔️	auto, heldu, heldu den poliziaren autoa, ibilgailu, polizia
🚘️	auto, heldu, heldu den autoa, ibilgailu
🚭️	debekatuta, erre, erretzea, ez, ezin da erre, galarazita
🚲️	ibilgailu, ziklomotor, ziklomotorra
🚹️	gizon, gizonen komuna, komun, wc
🚺️	emakume, emakumeen komuna, komun, wc
🚼️	aldatu, haurtxo, haurtxoen aldagela
🛋️	hotel, lanpara, sofa, sofa eta lanpara
🛍️	erosketa, erosketa-poltsak, hotel, poltsa
🛎️	hotel, kanpai, mahai gaineko txirrina, txirrin
🛏️	hotel, lo, ohea
🛠️	giltza ingeles, mailu, mailua eta giltza ingelesa, tresna
🛡️	arma, ezkutua
🛢️	olio, olio-upela, upel
🛣️	autobide, autobidea, errepide
🛤️	tren, trenbide, trenbidearen erraila
🛥️	ibilgailu, itsasontzi, motordun txalupa, motorra
🛩️	hegazkin, hegazkin txikia, ibilgailu
🛰️	espazio, ibilgailu, satelitea
🛳️	bidaiari, gurutzaontzia, ibilgailu, itsasontzi
