🏻	1–2. mota, azalaren tonua
⛹‍♂	baloi, baloi bat duen gizona, gizon, gizonezko
⛹‍♀	baloi, baloi bat duen emakumea, emakume, emakumezko
🏋‍♂	gizon, gizonezko, jasotzaile, pisu, pisuak altxatzen ari den gizona
🏋‍♀	emakume, emakumezko, jasotzaile, pisu, pisuak altxatzen ari den emakumea
🚴	bizikleta, txirrindulari, txirrindularia, txirringa
🚴‍♂	bizikleta, gizon, gizon txirrindularia, gizonezko, txirrindulari
🚴‍♀	bizikleta, emakume, emakume txirrindularia, txirrindulari
🚵	bizikleta, mendi, mendiko bizikletan dabilen pertsona, txirrindulari, txirringa
🚵‍♂	bizikleta, gizon, mendi, mendiko bizikletan dabilen gizona, txirrindulari
🚵‍♀	bizikleta, emakume, mendi, mendiko bizikletan dabilen emakumea, txirrindulari
🤸	alboko gurpil, alboko gurpila, gimnasia, kirol, pertsona
🤸‍♂	gimnasia, gizon, gurpil, gurpil-ariketa egiten ari den gizona, kirol
🤸‍♀	emakume, gimnasia, gurpil, gurpil-ariketa egiten ari den emakumea, kirol
🤼	borroka, borrokalari, borrokalariak, kirol, pertsona
🤼‍♂	borroka, gizon, gizonak borrokan, gizonezko, kirol
🤼‍♀	borroka, emakume, emakumeak borrokan, emakumezko, kirol
🤽	kirol, pertsona, waterpolo, waterpoloa
🤽‍♂	gizon, gizona waterpoloan jolasten, kirol, polo, ur
🤽‍♀	emakume, emakumea waterpoloan jolasten, kirol, polo, ur
🤾	baloi, eskubaloi, eskubaloia, kirol, pertsona
🤾‍♂	eskubaloi, gizon, gizona eskubaloian jolasten, gizonezko, kirol
🤾‍♀	emakume, emakumea eskubaloian jolasten, emakumezko, eskubaloi, kirol
🤹	malabarismo, malabarismoa, oreka, trebetasun, zeregin ugari
🤹‍♂	gizon, gizona malabarismotan, gizonezko, malabarismo, zeregin ugari
🤹‍♀	emakume, emakumea malabarismotan, emakumezko, malabarismo, zeregin ugari
