_	dolna smužka, pódsmužka, smužka
🤚🏻	pózwignjona ruka wót slědka, pózwignjona ruka wót slědka: swětła barwa kóže, pózwignjony, pózwignjony wjerch ruki, ruka, swětła barwa kóže
🤚🏼	pózwignjona ruka wót slědka, pózwignjona ruka wót slědka: srjejźnoswětła barwa kóže, pózwignjony, pózwignjony wjerch ruki, ruka, srjejźnoswětła barwa kóže
🤚🏽	pózwignjona ruka wót slědka, pózwignjona ruka wót slědka: wósrědna barwa kóže, pózwignjony, pózwignjony wjerch ruki, ruka, wósrědna barwa kóže
🤚🏾	pózwignjona ruka wót slědka, pózwignjona ruka wót slědka: srjejźnośamna barwa kóže, pózwignjony, pózwignjony wjerch ruki, ruka, srjejźnośamna barwa kóže
🤚🏿	pózwignjona ruka wót slědka, pózwignjona ruka wót slědka: śamna barwa kóže, pózwignjony, pózwignjony wjerch ruki, ruka, śamna barwa kóže
🖐️	5, palce, pěś palcow, rozpśestrěty, ruka, ruka z rozpśestrětymi palcami
🖐🏻	5, palce, pěś palcow, rozpśestrěty, ruka, ruka z rozpśestrětymi palcami, ruka z rozpśestrětymi palcami: swětła barwa kóže, swětła barwa kóže
🖐🏼	5, palce, pěś palcow, rozpśestrěty, ruka, ruka z rozpśestrětymi palcami, ruka z rozpśestrětymi palcami: srjejźnoswětła barwa kóže, srjejźnoswětła barwa kóže
🖐🏽	5, palce, pěś palcow, rozpśestrěty, ruka, ruka z rozpśestrětymi palcami, ruka z rozpśestrětymi palcami: wósrědna barwa kóže, wósrědna barwa kóže
🖐🏾	5, palce, pěś palcow, rozpśestrěty, ruka, ruka z rozpśestrětymi palcami, ruka z rozpśestrětymi palcami: srjejźnośamna barwa kóže, srjejźnośamna barwa kóže
🖐🏿	5, palce, pěś palcow, rozpśestrěty, ruka, ruka z rozpśestrětymi palcami, ruka z rozpśestrětymi palcami: śamna barwa kóže, śamna barwa kóže
✋	pózwignjona ruka, ruka
✋🏻	pózwignjona ruka, pózwignjona ruka: swětła barwa kóže, ruka, swětła barwa kóže
✋🏼	pózwignjona ruka, pózwignjona ruka: srjejźnoswětła barwa kóže, ruka, srjejźnoswětła barwa kóže
✋🏽	pózwignjona ruka, pózwignjona ruka: wósrědna barwa kóže, ruka, wósrědna barwa kóže
✋🏾	pózwignjona ruka, pózwignjona ruka: srjejźnośamna barwa kóže, ruka, srjejźnośamna barwa kóže
✋🏿	pózwignjona ruka, pózwignjona ruka: śamna barwa kóže, ruka, śamna barwa kóže
🖖	Spock, Star Trek, daś sy dłujko a w měrje žywy, rozpśestrěś, wulkaniske póstrowjenje, wulkaniski
🖖🏻	Spock, Star Trek, daś sy dłujko a w měrje žywy, rozpśestrěś, swětła barwa kóže, wulkaniske póstrowjenje, wulkaniske póstrowjenje: swětła barwa kóže, wulkaniski
🖖🏼	Spock, Star Trek, daś sy dłujko a w měrje žywy, rozpśestrěś, srjejźnoswětła barwa kóže, wulkaniske póstrowjenje, wulkaniske póstrowjenje: srjejźnoswětła barwa kóže, wulkaniski
🖖🏽	Spock, Star Trek, daś sy dłujko a w měrje žywy, rozpśestrěś, wulkaniske póstrowjenje, wulkaniske póstrowjenje: wósrědna barwa kóže, wulkaniski, wósrědna barwa kóže
🖖🏾	Spock, Star Trek, daś sy dłujko a w měrje žywy, rozpśestrěś, srjejźnośamna barwa kóže, wulkaniske póstrowjenje, wulkaniske póstrowjenje: srjejźnośamna barwa kóže, wulkaniski
🖖🏿	Spock, Star Trek, daś sy dłujko a w měrje žywy, rozpśestrěś, wulkaniske póstrowjenje, wulkaniske póstrowjenje: śamna barwa kóže, wulkaniski, śamna barwa kóže
🫱	napšawo, ruka, ruka napšawo
🫱🏻	napšawo, ruka, ruka napšawo: swětła barwa kóže, swětła barwa kóže
