🦵🏻	kick, limb, uhlobo-1-2, umlenze, umlenze: uhlobo-1-2
👨🏾‍🦳	indoda, indoda: uhlobo-5, izinwele ezimhlophe, izinwele ezimhlophe, owesilisa, ubaba, uhlobo-5
👨🏿‍🦳	indoda, indoda: uhlobo-6, izinwele ezimhlophe, izinwele ezimhlophe, owesilisa, ubaba, uhlobo-6
👩🏻	owesimame, uhlobo-1-2, umama, umama: uhlobo-1-2
👩🏼	owesimame, uhlobo-3, umama, umama: uhlobo-3
👩🏽	owesimame, uhlobo-4, umama, umama: uhlobo-4
👩🏾	owesimame, uhlobo-5, umama, umama: uhlobo-5
👩🏿	owesimame, uhlobo-6, umama, umama: uhlobo-6
👩‍🦰	izinwele ezibomvu, owesimame, umama, umama: izinwele ezibomvu
👩🏻‍🦰	izinwele ezibomvu, owesimame, uhlobo-1-2, umama, umama: uhlobo-1-2, izinwele ezibomvu
👩🏼‍🦰	izinwele ezibomvu, owesimame, uhlobo-3, umama, umama: uhlobo-3, izinwele ezibomvu
👩🏽‍🦰	izinwele ezibomvu, owesimame, uhlobo-4, umama, umama: uhlobo-4, izinwele ezibomvu
👩🏾‍🦰	izinwele ezibomvu, owesimame, uhlobo-5, umama, umama: uhlobo-5, izinwele ezibomvu
👩🏿‍🦰	izinwele ezibomvu, owesimame, uhlobo-6, umama, umama: uhlobo-6, izinwele ezibomvu
👩‍🦱	curly hair, owesimame, umama, umama: curly hair
👩🏻‍🦱	curly hair, owesimame, uhlobo-1-2, umama, umama: uhlobo-1-2, curly hair
👩🏼‍🦱	curly hair, owesimame, uhlobo-3, umama, umama: uhlobo-3, curly hair
👩🏽‍🦱	curly hair, owesimame, uhlobo-4, umama, umama: uhlobo-4, curly hair
👩🏾‍🦱	curly hair, owesimame, uhlobo-5, umama, umama: uhlobo-5, curly hair
👩🏿‍🦱	curly hair, owesimame, uhlobo-6, umama, umama: uhlobo-6, curly hair
👩‍🦲	imbungculu, owesimame, umama, umama: imbungculu
👩🏻‍🦲	imbungculu, owesimame, uhlobo-1-2, umama, umama: uhlobo-1-2, imbungculu
👩🏼‍🦲	imbungculu, owesimame, uhlobo-3, umama, umama: uhlobo-3, imbungculu
👩🏽‍🦲	imbungculu, owesimame, uhlobo-4, umama, umama: uhlobo-4, imbungculu
👩🏾‍🦲	imbungculu, owesimame, uhlobo-5, umama, umama: uhlobo-5, imbungculu
👩🏿‍🦲	imbungculu, owesimame, uhlobo-6, umama, umama: uhlobo-6, imbungculu
👩‍🦳	izinwele ezimhlophe, owesimame, umama, umama: izinwele ezimhlophe
👩🏻‍🦳	izinwele ezimhlophe, owesimame, uhlobo-1-2, umama, umama: uhlobo-1-2, izinwele ezimhlophe
👩🏼‍🦳	izinwele ezimhlophe, owesimame, uhlobo-3, umama, umama: uhlobo-3, izinwele ezimhlophe
👩🏽‍🦳	izinwele ezimhlophe, owesimame, uhlobo-4, umama, umama: uhlobo-4, izinwele ezimhlophe
👩🏾‍🦳	izinwele ezimhlophe, owesimame, uhlobo-5, umama, umama: uhlobo-5, izinwele ezimhlophe
👩🏿‍🦳	izinwele ezimhlophe, owesimame, uhlobo-6, umama, umama: uhlobo-6, izinwele ezimhlophe
🧓🏻	mdala, omdala omdala, omdala omdala: uhlobo-1-2, ubulili-phakathi, uhlobo-1-2
🧓🏼	mdala, omdala omdala, omdala omdala: uhlobo-3, ubulili-phakathi, uhlobo-3
🧓🏽	mdala, omdala omdala, omdala omdala: uhlobo-4, ubulili-phakathi, uhlobo-4
🧓🏾	mdala, omdala omdala, omdala omdala: uhlobo-5, ubulili-phakathi, uhlobo-5
🧓🏿	mdala, omdala omdala, omdala omdala: uhlobo-6, ubulili-phakathi, uhlobo-6
👴🏻	ikhehla, ikhehla: uhlobo-1-2, ogugile, owesilisa, uhlobo-1-2
👴🏼	ikhehla, ikhehla: uhlobo-3, ogugile, owesilisa, uhlobo-3
👴🏽	ikhehla, ikhehla: uhlobo-4, ogugile, owesilisa, uhlobo-4
👴🏾	ikhehla, ikhehla: uhlobo-5, ogugile, owesilisa, uhlobo-5
👴🏿	ikhehla, ikhehla: uhlobo-6, ogugile, owesilisa, uhlobo-6
👵🏻	ogugile, owesimame, ugogo, ugogo: uhlobo-1-2, uhlobo-1-2
👵🏼	ogugile, owesimame, ugogo, ugogo: uhlobo-3, uhlobo-3
👵🏽	ogugile, owesimame, ugogo, ugogo: uhlobo-4, uhlobo-4
👵🏾	ogugile, owesimame, ugogo, ugogo: uhlobo-5, uhlobo-5
👵🏿	ogugile, owesimame, ugogo, ugogo: uhlobo-6, uhlobo-6
👨🏻‍⚕	indoda, udokotela, uhlobo-1-2, unesi, unesi wendoda, unesi wendoda: uhlobo-1-2
👨🏼‍⚕	indoda, udokotela, uhlobo-3, unesi, unesi wendoda, unesi wendoda: uhlobo-3
👨🏽‍⚕	indoda, udokotela, uhlobo-4, unesi, unesi wendoda, unesi wendoda: uhlobo-4
👨🏾‍⚕	indoda, udokotela, uhlobo-5, unesi, unesi wendoda, unesi wendoda: uhlobo-5
👨🏿‍⚕	indoda, udokotela, uhlobo-6, unesi, unesi wendoda, unesi wendoda: uhlobo-6
👩🏻‍⚕	iowesimame, udokotela, uhlobo-1-2, unesi, unesi wesifazane, unesi wesifazane: uhlobo-1-2
👩🏼‍⚕	iowesimame, udokotela, uhlobo-3, unesi, unesi wesifazane, unesi wesifazane: uhlobo-3
👩🏽‍⚕	iowesimame, udokotela, uhlobo-4, unesi, unesi wesifazane, unesi wesifazane: uhlobo-4
👩🏾‍⚕	iowesimame, udokotela, uhlobo-5, unesi, unesi wesifazane, unesi wesifazane: uhlobo-5
👩🏿‍⚕	iowesimame, udokotela, uhlobo-6, unesi, unesi wesifazane, unesi wesifazane: uhlobo-6
👨🏻‍🎓	indoda, isifundiswa, uhlobo-1-2, umfundi, umfundi wesilisa, umfundi wesilisa: uhlobo-1-2
👨🏼‍🎓	indoda, isifundiswa, uhlobo-3, umfundi, umfundi wesilisa, umfundi wesilisa: uhlobo-3
👨🏽‍🎓	indoda, isifundiswa, uhlobo-4, umfundi, umfundi wesilisa, umfundi wesilisa: uhlobo-4
👨🏾‍🎓	indoda, isifundiswa, uhlobo-5, umfundi, umfundi wesilisa, umfundi wesilisa: uhlobo-5
👨🏿‍🎓	indoda, isifundiswa, uhlobo-6, umfundi, umfundi wesilisa, umfundi wesilisa: uhlobo-6
👩🏻‍🎓	isifundiswa, owesimame, uhlobo-1-2, umfundi, umfundi wesifazane, umfundi wesifazane: uhlobo-1-2
👩🏼‍🎓	isifundiswa, owesimame, uhlobo-3, umfundi, umfundi wesifazane, umfundi wesifazane: uhlobo-3
👩🏽‍🎓	isifundiswa, owesimame, uhlobo-4, umfundi, umfundi wesifazane, umfundi wesifazane: uhlobo-4
👩🏾‍🎓	isifundiswa, owesimame, uhlobo-5, umfundi, umfundi wesifazane, umfundi wesifazane: uhlobo-5
👩🏿‍🎓	isifundiswa, owesimame, uhlobo-6, umfundi, umfundi wesifazane, umfundi wesifazane: uhlobo-6
👨🏻‍🏫	indoda, uhlobo-1-2, umyaleli, usolwazi, uthisha, uthisha wesilisa, uthisha wesilisa: uhlobo-1-2
👨🏼‍🏫	indoda, uhlobo-3, umyaleli, usolwazi, uthisha, uthisha wesilisa, uthisha wesilisa: uhlobo-3
👨🏽‍🏫	indoda, uhlobo-4, umyaleli, usolwazi, uthisha, uthisha wesilisa, uthisha wesilisa: uhlobo-4
👨🏾‍🏫	indoda, uhlobo-5, umyaleli, usolwazi, uthisha, uthisha wesilisa, uthisha wesilisa: uhlobo-5
👨🏿‍🏫	indoda, uhlobo-6, umyaleli, usolwazi, uthisha, uthisha wesilisa, uthisha wesilisa: uhlobo-6
👩🏻‍🏫	owesimame, uhlobo-1-2, umyaleli, usolwazi, uthisha, uthisha wesifazane, uthisha wesifazane: uhlobo-1-2
👩🏼‍🏫	owesimame, uhlobo-3, umyaleli, usolwazi, uthisha, uthisha wesifazane, uthisha wesifazane: uhlobo-3
👩🏽‍🏫	owesimame, uhlobo-4, umyaleli, usolwazi, uthisha, uthisha wesifazane, uthisha wesifazane: uhlobo-4
👩🏾‍🏫	owesimame, uhlobo-5, umyaleli, usolwazi, uthisha, uthisha wesifazane, uthisha wesifazane: uhlobo-5
👩🏿‍🏫	owesimame, uhlobo-6, umyaleli, usolwazi, uthisha, uthisha wesifazane, uthisha wesifazane: uhlobo-6
👨🏻‍⚖	ijaji lesilisa, ijaji lesilisa: uhlobo-1-2, indoda, owesilisa, ubulungiswa, uhlobo-1-2
👨🏼‍⚖	ijaji lesilisa, ijaji lesilisa: uhlobo-3, indoda, owesilisa, ubulungiswa, uhlobo-3
👨🏽‍⚖	ijaji lesilisa, ijaji lesilisa: uhlobo-4, indoda, owesilisa, ubulungiswa, uhlobo-4
👨🏾‍⚖	ijaji lesilisa, ijaji lesilisa: uhlobo-5, indoda, owesilisa, ubulungiswa, uhlobo-5
👨🏿‍⚖	ijaji lesilisa, ijaji lesilisa: uhlobo-6, indoda, owesilisa, ubulungiswa, uhlobo-6
👩🏻‍⚖	ijaji, ijaji lesifazane, ijaji lesifazane: uhlobo-1-2, owesmame, uhlobo-1-2
👩🏼‍⚖	ijaji, ijaji lesifazane, ijaji lesifazane: uhlobo-3, owesmame, uhlobo-3
👩🏽‍⚖	ijaji, ijaji lesifazane, ijaji lesifazane: uhlobo-4, owesmame, uhlobo-4
👩🏾‍⚖	ijaji, ijaji lesifazane, ijaji lesifazane: uhlobo-5, owesmame, uhlobo-5
👩🏿‍⚖	ijaji, ijaji lesifazane, ijaji lesifazane: uhlobo-6, owesmame, uhlobo-6
👨🏻‍🌾	indoda, uhlobo-1-2, umlimi, umlimi wesilisa, umlimi wesilisa: uhlobo-1-2
👨🏼‍🌾	indoda, uhlobo-3, umlimi, umlimi wesilisa, umlimi wesilisa: uhlobo-3
👨🏽‍🌾	indoda, uhlobo-4, umlimi, umlimi wesilisa, umlimi wesilisa: uhlobo-4
👨🏾‍🌾	indoda, uhlobo-5, umlimi, umlimi wesilisa, umlimi wesilisa: uhlobo-5
👨🏿‍🌾	indoda, uhlobo-6, umlimi, umlimi wesilisa, umlimi wesilisa: uhlobo-6
👩🏻‍🌾	owesimame, uhlobo-1-2, umlimi, umlimi wesimame, umlimi wesimame: uhlobo-1-2
👩🏼‍🌾	owesimame, uhlobo-3, umlimi, umlimi wesimame, umlimi wesimame: uhlobo-3
👩🏽‍🌾	owesimame, uhlobo-4, umlimi, umlimi wesimame, umlimi wesimame: uhlobo-4
👩🏾‍🌾	owesimame, uhlobo-5, umlimi, umlimi wesimame, umlimi wesimame: uhlobo-5
👩🏿‍🌾	owesimame, uhlobo-6, umlimi, umlimi wesimame, umlimi wesimame: uhlobo-6
👨🏻‍🍳	indoda, uhlobo-1-2, umpheki, umpheki wesilisa, umpheki wesilisa: uhlobo-1-2
👨🏼‍🍳	indoda, uhlobo-3, umpheki, umpheki wesilisa, umpheki wesilisa: uhlobo-3
👨🏽‍🍳	indoda, uhlobo-4, umpheki, umpheki wesilisa, umpheki wesilisa: uhlobo-4
👨🏾‍🍳	indoda, uhlobo-5, umpheki, umpheki wesilisa, umpheki wesilisa: uhlobo-5
👨🏿‍🍳	indoda, uhlobo-6, umpheki, umpheki wesilisa, umpheki wesilisa: uhlobo-6
👩🏻‍🍳	owesimame, uhlobo-1-2, umpheki, umpheki wesimame, umpheki wesimame: uhlobo-1-2
👩🏼‍🍳	owesimame, uhlobo-3, umpheki, umpheki wesimame, umpheki wesimame: uhlobo-3
👩🏽‍🍳	owesimame, uhlobo-4, umpheki, umpheki wesimame, umpheki wesimame: uhlobo-4
👩🏾‍🍳	owesimame, uhlobo-5, umpheki, umpheki wesimame, umpheki wesimame: uhlobo-5
👩🏿‍🍳	owesimame, uhlobo-6, umpheki, umpheki wesimame, umpheki wesimame: uhlobo-6
👨🏻‍🔧	indoda, odayisayo, uhlobo-1-2, umakhenikha, umakhenikha wesilisa, umakhenikha wesilisa: uhlobo-1-2, umkhandi kagesi, uplamba
👨🏼‍🔧	indoda, odayisayo, uhlobo-3, umakhenikha, umakhenikha wesilisa, umakhenikha wesilisa: uhlobo-3, umkhandi kagesi, uplamba
👨🏽‍🔧	indoda, odayisayo, uhlobo-4, umakhenikha, umakhenikha wesilisa, umakhenikha wesilisa: uhlobo-4, umkhandi kagesi, uplamba
👨🏾‍🔧	indoda, odayisayo, uhlobo-5, umakhenikha, umakhenikha wesilisa, umakhenikha wesilisa: uhlobo-5, umkhandi kagesi, uplamba
👨🏿‍🔧	indoda, odayisayo, uhlobo-6, umakhenikha, umakhenikha wesilisa, umakhenikha wesilisa: uhlobo-6, umkhandi kagesi, uplamba
👩🏻‍🔧	odayisayo, owesifazane, uhlobo-1-2, umakhenikha, umakhenikha wesimame, umakhenikha wesimame: uhlobo-1-2, umkhandi kagesi, uplamba
