🦵🏻	բաց գույնի մաշկ, հարվածել, ոտք, ոտք՝ բաց գույնի մաշկ, վերջույթ
👩🏻‍🦱	բաց գույնի մաշկ, գանգուր մազեր, կին, կին՝ բաց գույնի մաշկ և գանգուր մազեր
👩🏼‍🦱	գանգուր մազեր, կին, կին՝ միջին բաց գույնի մաշկ և գանգուր մազեր, միջին բաց գույնի մաշկ
👩🏽‍🦱	գանգուր մազեր, կին, կին՝ միջին գույնի մաշկ և գանգուր մազեր, միջին գույնի մաշկ
👩🏾‍🦱	գանգուր մազեր, կին, կին՝ միջին մուգ գույնի մաշկ և գանգուր մազեր, միջին մուգ գույնի մաշկ
👩🏿‍🦱	գանգուր մազեր, կին, կին՝ մուգ գույնի մաշկ և գանգուր մազեր, մուգ գույնի մաշկ
👩‍🦲	կին, կին՝ ճաղատ, ճաղատ
👩🏻‍🦲	բաց գույնի մաշկ, կին, կին՝ բաց գույնի մաշկ և ճաղատ, ճաղատ
👩🏼‍🦲	կին, կին՝ միջին բաց գույնի մաշկ և ճաղատ, ճաղատ, միջին բաց գույնի մաշկ
👩🏽‍🦲	կին, կին՝ միջին գույնի մաշկ և ճաղատ, ճաղատ, միջին գույնի մաշկ
👩🏾‍🦲	կին, կին՝ միջին մուգ գույնի մաշկ և ճաղատ, ճաղատ, միջին մուգ գույնի մաշկ
👩🏿‍🦲	կին, կին՝ մուգ գույնի մաշկ և ճաղատ, ճաղատ, մուգ գույնի մաշկ
👩‍🦳	կին, կին՝ սպիտակ մազեր, սպիտակ մազեր
👩🏻‍🦳	բաց գույնի մաշկ, կին, կին՝ բաց գույնի մաշկ և սպիտակ մազեր, սպիտակ մազեր
👩🏼‍🦳	կին, կին՝ միջին բաց գույնի մաշկ և սպիտակ մազեր, միջին բաց գույնի մաշկ, սպիտակ մազեր
👩🏽‍🦳	կին, կին՝ միջին գույնի մաշկ և սպիտակ մազեր, միջին գույնի մաշկ, սպիտակ մազեր
👩🏾‍🦳	կին, կին՝ միջին մուգ գույնի մաշկ և սպիտակ մազեր, միջին մուգ գույնի մաշկ, սպիտակ մազեր
👩🏿‍🦳	կին, կին՝ մուգ գույնի մաշկ և սպիտակ մազեր, մուգ գույնի մաշկ, սպիտակ մազեր
🧓🏻	բաց գույնի մաշկ, ծեր, չեզոք սեռ, տարեց, տարեց մարդ, տարեց մարդ՝ բաց գույնի մաշկ
🧓🏼	ծեր, միջին բաց գույնի մաշկ, չեզոք սեռ, տարեց, տարեց մարդ, տարեց մարդ՝ միջին բաց գույնի մաշկ
🧓🏽	ծեր, միջին գույնի մաշկ, չեզոք սեռ, տարեց, տարեց մարդ, տարեց մարդ՝ միջին գույնի մաշկ
🧓🏾	ծեր, միջին մուգ գույնի մաշկ, չեզոք սեռ, տարեց, տարեց մարդ, տարեց մարդ՝ միջին մուգ գույնի մաշկ
🧓🏿	ծեր, մուգ գույնի մաշկ, չեզոք սեռ, տարեց, տարեց մարդ, տարեց մարդ՝ մուգ գույնի մաշկ
👴🏻	բաց գույնի մաշկ, ծեր, տարեց, տարեց տղամարդ՝ բաց գույնի մաշկ, տղամարդ
👴🏼	ծեր, միջին բաց գույնի մաշկ, տարեց, տարեց տղամարդ՝ միջին բաց գույնի մաշկ, տղամարդ
👴🏽	ծեր, միջին գույնի մաշկ, տարեց, տարեց տղամարդ՝ միջին գույնի մաշկ, տղամարդ
👴🏾	ծեր, միջին մուգ գույնի մաշկ, տարեց, տարեց տղամարդ՝ միջին մուգ գույնի մաշկ, տղամարդ
👴🏿	ծեր, մուգ գույնի մաշկ, տարեց, տարեց տղամարդ՝ մուգ գույնի մաշկ, տղամարդ
👵🏻	բաց գույնի մաշկ, ծեր, կին, տարեց, տարեց կին՝ բաց գույնի մաշկ
👵🏼	ծեր, կին, միջին բաց գույնի մաշկ, տարեց, տարեց կին՝ միջին բաց գույնի մաշկ
