👨🏿‍⚕	6 odos tipas, gydytojas, medikas, medikas: 6 odos tipas, slaugytojas, sveikata, terapeutas, vyras
👩🏻‍⚕	1 ir 2 odos tipai, gydytoja, medikė, medikė: 1 ir 2 odos tipai, moteris, seselė, sveikata, terapeutė
👩🏼‍⚕	3 odos tipas, gydytoja, medikė, medikė: 3 odos tipas, moteris, seselė, sveikata, terapeutė
👩🏽‍⚕	4 odos tipas, gydytoja, medikė, medikė: 4 odos tipas, moteris, seselė, sveikata, terapeutė
👩🏾‍⚕	5 odos tipas, gydytoja, medikė, medikė: 5 odos tipas, moteris, seselė, sveikata, terapeutė
👩🏿‍⚕	6 odos tipas, gydytoja, medikė, medikė: 6 odos tipas, moteris, seselė, sveikata, terapeutė
👨🏻‍🎓	1 ir 2 odos tipai, absolventas, studentas, studentas: 1 ir 2 odos tipai, vyras
👨🏼‍🎓	3 odos tipas, absolventas, studentas, studentas: 3 odos tipas, vyras
👨🏽‍🎓	4 odos tipas, absolventas, studentas, studentas: 4 odos tipas, vyras
👨🏾‍🎓	5 odos tipas, absolventas, studentas, studentas: 5 odos tipas, vyras
👨🏿‍🎓	6 odos tipas, absolventas, studentas, studentas: 6 odos tipas, vyras
👩🏻‍🎓	1 ir 2 odos tipai, absolventė, moteris, studentė, studentė: 1 ir 2 odos tipai
👩🏼‍🎓	3 odos tipas, absolventė, moteris, studentė, studentė: 3 odos tipas
👩🏽‍🎓	4 odos tipas, absolventė, moteris, studentė, studentė: 4 odos tipas
👩🏾‍🎓	5 odos tipas, absolventė, moteris, studentė, studentė: 5 odos tipas
👩🏿‍🎓	6 odos tipas, absolventė, moteris, studentė, studentė: 6 odos tipas
👨🏻‍🏫	1 ir 2 odos tipai, dėstytojas, mokytojas, mokytojas: 1 ir 2 odos tipai, profesorius, vyras
👨🏼‍🏫	3 odos tipas, dėstytojas, mokytojas, mokytojas: 3 odos tipas, profesorius, vyras
👨🏽‍🏫	4 odos tipas, dėstytojas, mokytojas, mokytojas: 4 odos tipas, profesorius, vyras
👨🏾‍🏫	5 odos tipas, dėstytojas, mokytojas, mokytojas: 5 odos tipas, profesorius, vyras
👨🏿‍🏫	6 odos tipas, dėstytojas, mokytojas, mokytojas: 6 odos tipas, profesorius, vyras
👩🏻‍🏫	1 ir 2 odos tipai, dėstytoja, mokytoja, mokytoja: 1 ir 2 odos tipai, moteris, profesorė
👩🏼‍🏫	3 odos tipas, dėstytoja, mokytoja, mokytoja: 3 odos tipas, moteris, profesorė
👩🏽‍🏫	4 odos tipas, dėstytoja, mokytoja, mokytoja: 4 odos tipas, moteris, profesorė
👩🏾‍🏫	5 odos tipas, dėstytoja, mokytoja, mokytoja: 5 odos tipas, moteris, profesorė
👩🏿‍🏫	6 odos tipas, dėstytoja, mokytoja, mokytoja: 6 odos tipas, moteris, profesorė
👨🏻‍⚖	1 ir 2 odos tipai, svarstyklės, teisingumas, teisėjas, teisėjas: 1 ir 2 odos tipai, vyras
👨🏼‍⚖	3 odos tipas, svarstyklės, teisingumas, teisėjas, teisėjas: 3 odos tipas, vyras
👨🏽‍⚖	4 odos tipas, svarstyklės, teisingumas, teisėjas, teisėjas: 4 odos tipas, vyras
👨🏾‍⚖	5 odos tipas, svarstyklės, teisingumas, teisėjas, teisėjas: 5 odos tipas, vyras
👨🏿‍⚖	6 odos tipas, svarstyklės, teisingumas, teisėjas, teisėjas: 6 odos tipas, vyras
👩🏻‍⚖	1 ir 2 odos tipai, moteris, svarstyklės, teisingumas, teisėja, teisėja: 1 ir 2 odos tipai
👩🏼‍⚖	3 odos tipas, moteris, svarstyklės, teisingumas, teisėja, teisėja: 3 odos tipas
👩🏽‍⚖	4 odos tipas, moteris, svarstyklės, teisingumas, teisėja, teisėja: 4 odos tipas
👩🏾‍⚖	5 odos tipas, moteris, svarstyklės, teisingumas, teisėja, teisėja: 5 odos tipas
👩🏿‍⚖	6 odos tipas, moteris, svarstyklės, teisingumas, teisėja, teisėja: 6 odos tipas
👨🏻‍🌾	1 ir 2 odos tipai, darbininkas, sodininkas, vyras, ūkininkas, ūkininkas: 1 ir 2 odos tipai
👨🏼‍🌾	3 odos tipas, darbininkas, sodininkas, vyras, ūkininkas, ūkininkas: 3 odos tipas
👨🏽‍🌾	4 odos tipas, darbininkas, sodininkas, vyras, ūkininkas, ūkininkas: 4 odos tipas
👨🏾‍🌾	5 odos tipas, darbininkas, sodininkas, vyras, ūkininkas, ūkininkas: 5 odos tipas
👨🏿‍🌾	6 odos tipas, darbininkas, sodininkas, vyras, ūkininkas, ūkininkas: 6 odos tipas
👩🏻‍🌾	1 ir 2 odos tipai, darbininkė, moteris, sodininkė, ūkininkė, ūkininkė: 1 ir 2 odos tipai
👩🏼‍🌾	3 odos tipas, darbininkė, moteris, sodininkė, ūkininkė, ūkininkė: 3 odos tipas
👩🏽‍🌾	4 odos tipas, darbininkė, moteris, sodininkė, ūkininkė, ūkininkė: 4 odos tipas
👩🏾‍🌾	5 odos tipas, darbininkė, moteris, sodininkė, ūkininkė, ūkininkė: 5 odos tipas
👩🏿‍🌾	6 odos tipas, darbininkė, moteris, sodininkė, ūkininkė, ūkininkė: 6 odos tipas
👨🏻‍🍳	1 ir 2 odos tipai, virėjas, virėjas: 1 ir 2 odos tipai, vyras, šefas
👨🏼‍🍳	3 odos tipas, virėjas, virėjas: 3 odos tipas, vyras, šefas
👨🏽‍🍳	4 odos tipas, virėjas, virėjas: 4 odos tipas, vyras, šefas
👨🏾‍🍳	5 odos tipas, virėjas, virėjas: 5 odos tipas, vyras, šefas
👨🏿‍🍳	6 odos tipas, virėjas, virėjas: 6 odos tipas, vyras, šefas
👩🏻‍🍳	1 ir 2 odos tipai, moteris, virėja, virėja: 1 ir 2 odos tipai, šefė
👩🏼‍🍳	3 odos tipas, moteris, virėja, virėja: 3 odos tipas, šefė
👩🏽‍🍳	4 odos tipas, moteris, virėja, virėja: 4 odos tipas, šefė
👩🏾‍🍳	5 odos tipas, moteris, virėja, virėja: 5 odos tipas, šefė
