🦵🏻	جلد کی ہلکی رنگت, عضو, ٹانگ, ٹانگ: جلد کی ہلکی رنگت, ٹھوکر
👨🏽‍🦳	انسان, جلد کی درمیانی رنگت, سفید بال, مرد, مرد: جلد کی درمیانی رنگت اور سفید بال
👨🏾‍🦳	انسان, جلد کی درمیانی سیاہ رنگت, سفید بال, مرد, مرد: جلد کی درمیانی سیاہ رنگت اور سفید بال
👨🏿‍🦳	انسان, جلد کی سیاہ رنگت, سفید بال, مرد, مرد: جلد کی سیاہ رنگت اور سفید بال
👩🏻	انسان, جلد کی ہلکی رنگت, عورت, عورت: جلد کی ہلکی رنگت
👩🏼	انسان, جلد کی درمیانی -ہلکی رنگت, عورت, عورت: جلد کی درمیانی -ہلکی رنگت
👩🏽	انسان, جلد کی درمیانی رنگت, عورت, عورت: جلد کی درمیانی رنگت
👩🏾	انسان, جلد کی درمیانی سیاہ رنگت, عورت, عورت: جلد کی درمیانی سیاہ رنگت
👩🏿	انسان, جلد کی سیاہ رنگت, عورت, عورت: جلد کی سیاہ رنگت
👩‍🦰	انسان, سرخ بال, عورت, عورت: سرخ بال
👩🏻‍🦰	انسان, جلد کی ہلکی رنگت, سرخ بال, عورت, عورت: جلد کی ہلکی رنگت اور سرخ بال
👩🏼‍🦰	انسان, جلد کی درمیانی -ہلکی رنگت, سرخ بال, عورت, عورت: جلد کی درمیانی -ہلکی رنگت اور سرخ بال
👩🏽‍🦰	انسان, جلد کی درمیانی رنگت, سرخ بال, عورت, عورت: جلد کی درمیانی رنگت اور سرخ بال
👩🏾‍🦰	انسان, جلد کی درمیانی سیاہ رنگت, سرخ بال, عورت, عورت: جلد کی درمیانی سیاہ رنگت اور سرخ بال
👩🏿‍🦰	انسان, جلد کی سیاہ رنگت, سرخ بال, عورت, عورت: جلد کی سیاہ رنگت اور سرخ بال
👩‍🦱	انسان, عورت, عورت: گھنگھریالے بال, گھنگھریالے بال
👩🏻‍🦱	انسان, جلد کی ہلکی رنگت, عورت, عورت: جلد کی ہلکی رنگت اور گھنگھریالے بال, گھنگھریالے بال
👩🏼‍🦱	انسان, جلد کی درمیانی -ہلکی رنگت, عورت, عورت: جلد کی درمیانی -ہلکی رنگت اور گھنگھریالے بال, گھنگھریالے بال
👩🏽‍🦱	انسان, جلد کی درمیانی رنگت, عورت, عورت: جلد کی درمیانی رنگت اور گھنگھریالے بال, گھنگھریالے بال
👩🏾‍🦱	انسان, جلد کی درمیانی سیاہ رنگت, عورت, عورت: جلد کی درمیانی سیاہ رنگت اور گھنگھریالے بال, گھنگھریالے بال
👩🏿‍🦱	انسان, جلد کی سیاہ رنگت, عورت, عورت: جلد کی سیاہ رنگت اور گھنگھریالے بال, گھنگھریالے بال
👩‍🦲	انسان, عورت, عورت: گنجا, گنجا
👩🏻‍🦲	انسان, جلد کی ہلکی رنگت, عورت, عورت: جلد کی ہلکی رنگت اور گنجا, گنجا
👩🏼‍🦲	انسان, جلد کی درمیانی -ہلکی رنگت, عورت, عورت: جلد کی درمیانی -ہلکی رنگت اور گنجا, گنجا
👩🏽‍🦲	انسان, جلد کی درمیانی رنگت, عورت, عورت: جلد کی درمیانی رنگت اور گنجا, گنجا
👩🏾‍🦲	انسان, جلد کی درمیانی سیاہ رنگت, عورت, عورت: جلد کی درمیانی سیاہ رنگت اور گنجا, گنجا
👩🏿‍🦲	انسان, جلد کی سیاہ رنگت, عورت, عورت: جلد کی سیاہ رنگت اور گنجا, گنجا
👩‍🦳	انسان, سفید بال, عورت, عورت: سفید بال
👩🏻‍🦳	انسان, جلد کی ہلکی رنگت, سفید بال, عورت, عورت: جلد کی ہلکی رنگت اور سفید بال
👩🏼‍🦳	انسان, جلد کی درمیانی -ہلکی رنگت, سفید بال, عورت, عورت: جلد کی درمیانی -ہلکی رنگت اور سفید بال
👩🏽‍🦳	انسان, جلد کی درمیانی رنگت, سفید بال, عورت, عورت: جلد کی درمیانی رنگت اور سفید بال
👩🏾‍🦳	انسان, جلد کی درمیانی سیاہ رنگت, سفید بال, عورت, عورت: جلد کی درمیانی سیاہ رنگت اور سفید بال
👩🏿‍🦳	انسان, جلد کی سیاہ رنگت, سفید بال, عورت, عورت: جلد کی سیاہ رنگت اور سفید بال
🧓🏻	بوڑھا, بوڑھا بالغ, بوڑھا بالغ: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, صنفی غیر جانبدار
🧓🏼	بوڑھا, بوڑھا بالغ, بوڑھا بالغ: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, صنفی غیر جانبدار
🧓🏽	بوڑھا, بوڑھا بالغ, بوڑھا بالغ: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, صنفی غیر جانبدار
🧓🏾	بوڑھا, بوڑھا بالغ, بوڑھا بالغ: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, صنفی غیر جانبدار
🧓🏿	بوڑھا, بوڑھا بالغ, بوڑھا بالغ: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, صنفی غیر جانبدار
👴🏻	انسان, بوڑھا, بوڑھا آدمی, بوڑھا آدمی: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, مرد
👴🏼	انسان, بوڑھا, بوڑھا آدمی, بوڑھا آدمی: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, مرد
👴🏽	انسان, بوڑھا, بوڑھا آدمی, بوڑھا آدمی: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, مرد
👴🏾	انسان, بوڑھا, بوڑھا آدمی, بوڑھا آدمی: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, مرد
👴🏿	انسان, بوڑھا, بوڑھا آدمی, بوڑھا آدمی: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, مرد
👵🏻	انسان, بوڑھی, بوڑھی عورت: جلد کی ہلکی رنگت, جلد کی ہلکی رنگت, عورت
👵🏼	انسان, بوڑھی, بوڑھی عورت: جلد کی درمیانی -ہلکی رنگت, جلد کی درمیانی -ہلکی رنگت, عورت
👵🏽	انسان, بوڑھی, بوڑھی عورت: جلد کی درمیانی رنگت, جلد کی درمیانی رنگت, عورت
👵🏾	انسان, بوڑھی, بوڑھی عورت: جلد کی درمیانی سیاہ رنگت, جلد کی درمیانی سیاہ رنگت, عورت
👵🏿	انسان, بوڑھی, بوڑھی عورت: جلد کی سیاہ رنگت, جلد کی سیاہ رنگت, عورت
👨🏻‍⚕	جلد کی ہلکی رنگت, صحت, مرد, مرد ہیلتھ ورکر, مرد ہیلتھ ورکر: جلد کی ہلکی رنگت, ڈاکٹر, کارکن
👨🏼‍⚕	جلد کی درمیانی -ہلکی رنگت, صحت, مرد, مرد ہیلتھ ورکر, مرد ہیلتھ ورکر: جلد کی درمیانی -ہلکی رنگت, ڈاکٹر, کارکن
👨🏽‍⚕	جلد کی درمیانی رنگت, صحت, مرد, مرد ہیلتھ ورکر, مرد ہیلتھ ورکر: جلد کی درمیانی رنگت, ڈاکٹر, کارکن
👨🏾‍⚕	جلد کی درمیانی سیاہ رنگت, صحت, مرد, مرد ہیلتھ ورکر, مرد ہیلتھ ورکر: جلد کی درمیانی سیاہ رنگت, ڈاکٹر, کارکن
👨🏿‍⚕	جلد کی سیاہ رنگت, صحت, مرد, مرد ہیلتھ ورکر, مرد ہیلتھ ورکر: جلد کی سیاہ رنگت, ڈاکٹر, کارکن
👩🏻‍⚕	جلد کی ہلکی رنگت, صحت, عورت, عورت ہیلتھ ورکر, عورت ہیلتھ ورکر: جلد کی ہلکی رنگت, ڈاکٹر, کارکن
👩🏼‍⚕	جلد کی درمیانی -ہلکی رنگت, صحت, عورت, عورت ہیلتھ ورکر, عورت ہیلتھ ورکر: جلد کی درمیانی -ہلکی رنگت, ڈاکٹر, کارکن
👩🏽‍⚕	جلد کی درمیانی رنگت, صحت, عورت, عورت ہیلتھ ورکر, عورت ہیلتھ ورکر: جلد کی درمیانی رنگت, ڈاکٹر, کارکن
👩🏾‍⚕	جلد کی درمیانی سیاہ رنگت, صحت, عورت, عورت ہیلتھ ورکر, عورت ہیلتھ ورکر: جلد کی درمیانی سیاہ رنگت, ڈاکٹر, کارکن
👩🏿‍⚕	جلد کی سیاہ رنگت, صحت, عورت, عورت ہیلتھ ورکر, عورت ہیلتھ ورکر: جلد کی سیاہ رنگت, ڈاکٹر, کارکن
👨🏻‍🎓	اسکول, جلد کی ہلکی رنگت, طالب علم, مرد, مرد طالب علم, مرد طالب علم: جلد کی ہلکی رنگت, گریجوئیشن
👨🏼‍🎓	اسکول, جلد کی درمیانی -ہلکی رنگت, طالب علم, مرد, مرد طالب علم, مرد طالب علم: جلد کی درمیانی -ہلکی رنگت, گریجوئیشن
👨🏽‍🎓	اسکول, جلد کی درمیانی رنگت, طالب علم, مرد, مرد طالب علم, مرد طالب علم: جلد کی درمیانی رنگت, گریجوئیشن
👨🏾‍🎓	اسکول, جلد کی درمیانی سیاہ رنگت, طالب علم, مرد, مرد طالب علم, مرد طالب علم: جلد کی درمیانی سیاہ رنگت, گریجوئیشن
👨🏿‍🎓	اسکول, جلد کی سیاہ رنگت, طالب علم, مرد, مرد طالب علم, مرد طالب علم: جلد کی سیاہ رنگت, گریجوئیشن
👩🏻‍🎓	اسکول, جلد کی ہلکی رنگت, طالب علم, عورت, عورت طالب علم, عورت طالب علم: جلد کی ہلکی رنگت, گریجوئیشن
👩🏼‍🎓	اسکول, جلد کی درمیانی -ہلکی رنگت, طالب علم, عورت, عورت طالب علم, عورت طالب علم: جلد کی درمیانی -ہلکی رنگت, گریجوئیشن
👩🏽‍🎓	اسکول, جلد کی درمیانی رنگت, طالب علم, عورت, عورت طالب علم, عورت طالب علم: جلد کی درمیانی رنگت, گریجوئیشن
👩🏾‍🎓	اسکول, جلد کی درمیانی سیاہ رنگت, طالب علم, عورت, عورت طالب علم, عورت طالب علم: جلد کی درمیانی سیاہ رنگت, گریجوئیشن
👩🏿‍🎓	اسکول, جلد کی سیاہ رنگت, طالب علم, عورت, عورت طالب علم, عورت طالب علم: جلد کی سیاہ رنگت, گریجوئیشن
👨🏻‍🏫	استاد, استاد: جلد کی ہلکی رنگت, اسکول, جلد کی ہلکی رنگت, پروفیسر
👨🏼‍🏫	استاد, استاد: جلد کی درمیانی -ہلکی رنگت, اسکول, جلد کی درمیانی -ہلکی رنگت, پروفیسر
👨🏽‍🏫	استاد, استاد: جلد کی درمیانی رنگت, اسکول, جلد کی درمیانی رنگت, پروفیسر
👨🏾‍🏫	استاد, استاد: جلد کی درمیانی سیاہ رنگت, اسکول, جلد کی درمیانی سیاہ رنگت, پروفیسر
👨🏿‍🏫	استاد, استاد: جلد کی سیاہ رنگت, اسکول, جلد کی سیاہ رنگت, پروفیسر
👩🏻‍🏫	استانی, استانی: جلد کی ہلکی رنگت, اسکول, جلد کی ہلکی رنگت, پروفیسر
👩🏼‍🏫	استانی, استانی: جلد کی درمیانی -ہلکی رنگت, اسکول, جلد کی درمیانی -ہلکی رنگت, پروفیسر
👩🏽‍🏫	استانی, استانی: جلد کی درمیانی رنگت, اسکول, جلد کی درمیانی رنگت, پروفیسر
