👩‍🦳	grått hår, kvinne, kvinne: grått hår, menneske
👩🏻‍🦳	grått hår, hudtype 1–2, kvinne, kvinne: hudtype 1–2, grått hår, menneske
👩🏼‍🦳	grått hår, hudtype 3, kvinne, kvinne: hudtype 3, grått hår, menneske
👩🏽‍🦳	grått hår, hudtype 4, kvinne, kvinne: hudtype 4, grått hår, menneske
👩🏾‍🦳	grått hår, hudtype 5, kvinne, kvinne: hudtype 5, grått hår, menneske
👩🏿‍🦳	grått hår, hudtype 6, kvinne, kvinne: hudtype 6, grått hår, menneske
🧓🏻	eldre voksen, eldre voksen: hudtype 1–2, gammel, hudtype 1–2, kjønnsnøytral, menneske
🧓🏼	eldre voksen, eldre voksen: hudtype 3, gammel, hudtype 3, kjønnsnøytral, menneske
🧓🏽	eldre voksen, eldre voksen: hudtype 4, gammel, hudtype 4, kjønnsnøytral, menneske
🧓🏾	eldre voksen, eldre voksen: hudtype 5, gammel, hudtype 5, kjønnsnøytral, menneske
🧓🏿	eldre voksen, eldre voksen: hudtype 6, gammel, hudtype 6, kjønnsnøytral, menneske
👴🏻	eldre, eldre mann: hudtype 1–2, hudtype 1–2, mann, menneske
👴🏼	eldre, eldre mann: hudtype 3, hudtype 3, mann, menneske
👴🏽	eldre, eldre mann: hudtype 4, hudtype 4, mann, menneske
👴🏾	eldre, eldre mann: hudtype 5, hudtype 5, mann, menneske
👴🏿	eldre, eldre mann: hudtype 6, hudtype 6, mann, menneske
👵🏻	eldre, eldre kvinne: hudtype 1–2, hudtype 1–2, kvinne, menneske
👵🏼	eldre, eldre kvinne: hudtype 3, hudtype 3, kvinne, menneske
👵🏽	eldre, eldre kvinne: hudtype 4, hudtype 4, kvinne, menneske
👵🏾	eldre, eldre kvinne: hudtype 5, hudtype 5, kvinne, menneske
👵🏿	eldre, eldre kvinne: hudtype 6, hudtype 6, kvinne, menneske
👨🏻‍⚕	doktor, helsevesen, hudtype 1–2, lege, mann, mannlig lege, mannlig lege: hudtype 1–2
👨🏼‍⚕	doktor, helsevesen, hudtype 3, lege, mann, mannlig lege, mannlig lege: hudtype 3
👨🏽‍⚕	doktor, helsevesen, hudtype 4, lege, mann, mannlig lege, mannlig lege: hudtype 4
👨🏾‍⚕	doktor, helsevesen, hudtype 5, lege, mann, mannlig lege, mannlig lege: hudtype 5
👨🏿‍⚕	doktor, helsevesen, hudtype 6, lege, mann, mannlig lege, mannlig lege: hudtype 6
👩🏻‍⚕	doktor, helsevesen, hudtype 1–2, kvinne, kvinnelig lege, kvinnelig lege: hudtype 1–2, lege
👩🏼‍⚕	doktor, helsevesen, hudtype 3, kvinne, kvinnelig lege, kvinnelig lege: hudtype 3, lege
👩🏽‍⚕	doktor, helsevesen, hudtype 4, kvinne, kvinnelig lege, kvinnelig lege: hudtype 4, lege
👩🏾‍⚕	doktor, helsevesen, hudtype 5, kvinne, kvinnelig lege, kvinnelig lege: hudtype 5, lege
👩🏿‍⚕	doktor, helsevesen, hudtype 6, kvinne, kvinnelig lege, kvinnelig lege: hudtype 6, lege
👨🏻‍🎓	hudtype 1–2, mann, mannlig student, mannlig student: hudtype 1–2, skole, student, universitet
👨🏼‍🎓	hudtype 3, mann, mannlig student, mannlig student: hudtype 3, skole, student, universitet
👨🏽‍🎓	hudtype 4, mann, mannlig student, mannlig student: hudtype 4, skole, student, universitet
👨🏾‍🎓	hudtype 5, mann, mannlig student, mannlig student: hudtype 5, skole, student, universitet
👨🏿‍🎓	hudtype 6, mann, mannlig student, mannlig student: hudtype 6, skole, student, universitet
👩🏻‍🎓	hudtype 1–2, kvinne, kvinnelig student, kvinnelig student: hudtype 1–2, skole, student, universitet
👩🏼‍🎓	hudtype 3, kvinne, kvinnelig student, kvinnelig student: hudtype 3, skole, student, universitet
👩🏽‍🎓	hudtype 4, kvinne, kvinnelig student, kvinnelig student: hudtype 4, skole, student, universitet
👩🏾‍🎓	hudtype 5, kvinne, kvinnelig student, kvinnelig student: hudtype 5, skole, student, universitet
👩🏿‍🎓	hudtype 6, kvinne, kvinnelig student, kvinnelig student: hudtype 6, skole, student, universitet
👨🏻‍🏫	hudtype 1–2, lærer, mann, mannlig lærer, mannlig lærer: hudtype 1–2, skole, undervisning
👨🏼‍🏫	hudtype 3, lærer, mann, mannlig lærer, mannlig lærer: hudtype 3, skole, undervisning
👨🏽‍🏫	hudtype 4, lærer, mann, mannlig lærer, mannlig lærer: hudtype 4, skole, undervisning
👨🏾‍🏫	hudtype 5, lærer, mann, mannlig lærer, mannlig lærer: hudtype 5, skole, undervisning
👨🏿‍🏫	hudtype 6, lærer, mann, mannlig lærer, mannlig lærer: hudtype 6, skole, undervisning
👩🏻‍🏫	hudtype 1–2, kvinne, kvinnelig lærer, kvinnelig lærer: hudtype 1–2, lærer, skole, undervisning
👩🏼‍🏫	hudtype 3, kvinne, kvinnelig lærer, kvinnelig lærer: hudtype 3, lærer, skole, undervisning
👩🏽‍🏫	hudtype 4, kvinne, kvinnelig lærer, kvinnelig lærer: hudtype 4, lærer, skole, undervisning
👩🏾‍🏫	hudtype 5, kvinne, kvinnelig lærer, kvinnelig lærer: hudtype 5, lærer, skole, undervisning
👩🏿‍🏫	hudtype 6, kvinne, kvinnelig lærer, kvinnelig lærer: hudtype 6, lærer, skole, undervisning
👨🏻‍⚖	dommer, hudtype 1–2, jus, mann, mannlig dommer, mannlig dommer: hudtype 1–2, rettssak
👨🏼‍⚖	dommer, hudtype 3, jus, mann, mannlig dommer, mannlig dommer: hudtype 3, rettssak
👨🏽‍⚖	dommer, hudtype 4, jus, mann, mannlig dommer, mannlig dommer: hudtype 4, rettssak
👨🏾‍⚖	dommer, hudtype 5, jus, mann, mannlig dommer, mannlig dommer: hudtype 5, rettssak
👨🏿‍⚖	dommer, hudtype 6, jus, mann, mannlig dommer, mannlig dommer: hudtype 6, rettssak
👩🏻‍⚖	dommer, hudtype 1–2, jus, juss, kvinne, kvinnelig dommer, kvinnelig dommer: hudtype 1–2, rettssak
👩🏼‍⚖	dommer, hudtype 3, jus, juss, kvinne, kvinnelig dommer, kvinnelig dommer: hudtype 3, rettssak
👩🏽‍⚖	dommer, hudtype 4, jus, juss, kvinne, kvinnelig dommer, kvinnelig dommer: hudtype 4, rettssak
👩🏾‍⚖	dommer, hudtype 5, jus, juss, kvinne, kvinnelig dommer, kvinnelig dommer: hudtype 5, rettssak
👩🏿‍⚖	dommer, hudtype 6, jus, juss, kvinne, kvinnelig dommer, kvinnelig dommer: hudtype 6, rettssak
👨🏻‍🌾	bonde, dyrke, hudtype 1–2, jordbruk, mann, mannlig bonde, mannlig bonde: hudtype 1–2
👨🏼‍🌾	bonde, dyrke, hudtype 3, jordbruk, mann, mannlig bonde, mannlig bonde: hudtype 3
👨🏽‍🌾	bonde, dyrke, hudtype 4, jordbruk, mann, mannlig bonde, mannlig bonde: hudtype 4
👨🏾‍🌾	bonde, dyrke, hudtype 5, jordbruk, mann, mannlig bonde, mannlig bonde: hudtype 5
👨🏿‍🌾	bonde, dyrke, hudtype 6, jordbruk, mann, mannlig bonde, mannlig bonde: hudtype 6
👩🏻‍🌾	bonde, dyrke, hudtype 1–2, jordbruk, kvinne, kvinnelig bonde, kvinnelig bonde: hudtype 1–2
👩🏼‍🌾	bonde, dyrke, hudtype 3, jordbruk, kvinne, kvinnelig bonde, kvinnelig bonde: hudtype 3
👩🏽‍🌾	bonde, dyrke, hudtype 4, jordbruk, kvinne, kvinnelig bonde, kvinnelig bonde: hudtype 4
👩🏾‍🌾	bonde, dyrke, hudtype 5, jordbruk, kvinne, kvinnelig bonde, kvinnelig bonde: hudtype 5
👩🏿‍🌾	bonde, dyrke, hudtype 6, jordbruk, kvinne, kvinnelig bonde, kvinnelig bonde: hudtype 6
👨🏻‍🍳	hudtype 1–2, mann, mannlig kokk, mannlig kokk: hudtype 1–2, matlaging, restaurant
👨🏼‍🍳	hudtype 3, mann, mannlig kokk, mannlig kokk: hudtype 3, matlaging, restaurant
👨🏽‍🍳	hudtype 4, mann, mannlig kokk, mannlig kokk: hudtype 4, matlaging, restaurant
👨🏾‍🍳	hudtype 5, mann, mannlig kokk, mannlig kokk: hudtype 5, matlaging, restaurant
👨🏿‍🍳	hudtype 6, mann, mannlig kokk, mannlig kokk: hudtype 6, matlaging, restaurant
👩🏻‍🍳	hudtype 1–2, kvinne, kvinnelig kokk, kvinnelig kokk: hudtype 1–2, matlaging, restaurant
👩🏼‍🍳	hudtype 3, kvinne, kvinnelig kokk, kvinnelig kokk: hudtype 3, matlaging, restaurant
👩🏽‍🍳	hudtype 4, kvinne, kvinnelig kokk, kvinnelig kokk: hudtype 4, matlaging, restaurant
👩🏾‍🍳	hudtype 5, kvinne, kvinnelig kokk, kvinnelig kokk: hudtype 5, matlaging, restaurant
👩🏿‍🍳	hudtype 6, kvinne, kvinnelig kokk, kvinnelig kokk: hudtype 6, matlaging, restaurant
👨🏻‍🔧	bil, hudtype 1–2, mann, mannlig mekaniker, mannlig mekaniker: hudtype 1–2, mekaniker, motor
👨🏼‍🔧	bil, hudtype 3, mann, mannlig mekaniker, mannlig mekaniker: hudtype 3, mekaniker, motor
👨🏽‍🔧	bil, hudtype 4, mann, mannlig mekaniker, mannlig mekaniker: hudtype 4, mekaniker, motor
👨🏾‍🔧	bil, hudtype 5, mann, mannlig mekaniker, mannlig mekaniker: hudtype 5, mekaniker, motor
👨🏿‍🔧	bil, hudtype 6, mann, mannlig mekaniker, mannlig mekaniker: hudtype 6, mekaniker, motor
👩🏻‍🔧	bil, hudtype 1–2, kvinne, kvinnelig mekaniker, kvinnelig mekaniker: hudtype 1–2, mekaniker, motor
👩🏼‍🔧	bil, hudtype 3, kvinne, kvinnelig mekaniker, kvinnelig mekaniker: hudtype 3, mekaniker, motor
👩🏽‍🔧	bil, hudtype 4, kvinne, kvinnelig mekaniker, kvinnelig mekaniker: hudtype 4, mekaniker, motor
👩🏾‍🔧	bil, hudtype 5, kvinne, kvinnelig mekaniker, kvinnelig mekaniker: hudtype 5, mekaniker, motor
👩🏿‍🔧	bil, hudtype 6, kvinne, kvinnelig mekaniker, kvinnelig mekaniker: hudtype 6, mekaniker, motor
👨🏻‍🏭	fabrikk, hudtype 1–2, industri, mann, mannlig industriarbeider, mannlig industriarbeider: hudtype 1–2, produksjon
👨🏼‍🏭	fabrikk, hudtype 3, industri, mann, mannlig industriarbeider, mannlig industriarbeider: hudtype 3, produksjon
👨🏽‍🏭	fabrikk, hudtype 4, industri, mann, mannlig industriarbeider, mannlig industriarbeider: hudtype 4, produksjon
👨🏾‍🏭	fabrikk, hudtype 5, industri, mann, mannlig industriarbeider, mannlig industriarbeider: hudtype 5, produksjon
👨🏿‍🏭	fabrikk, hudtype 6, industri, mann, mannlig industriarbeider, mannlig industriarbeider: hudtype 6, produksjon
👩🏻‍🏭	fabrikk, hudtype 1–2, industri, kvinne, kvinnelig industriarbeider, kvinnelig industriarbeider: hudtype 1–2, produksjon
👩🏼‍🏭	fabrikk, hudtype 3, industri, kvinne, kvinnelig industriarbeider, kvinnelig industriarbeider: hudtype 3, produksjon
👩🏽‍🏭	fabrikk, hudtype 4, industri, kvinne, kvinnelig industriarbeider, kvinnelig industriarbeider: hudtype 4, produksjon
👩🏾‍🏭	fabrikk, hudtype 5, industri, kvinne, kvinnelig industriarbeider, kvinnelig industriarbeider: hudtype 5, produksjon
👩🏿‍🏭	fabrikk, hudtype 6, industri, kvinne, kvinnelig industriarbeider, kvinnelig industriarbeider: hudtype 6, produksjon
👨🏻‍💼	hudtype 1–2, kontor, mann, mannlig kontorarbeider, mannlig kontorarbeider: hudtype 1–2, næringsliv
👨🏼‍💼	hudtype 3, kontor, mann, mannlig kontorarbeider, mannlig kontorarbeider: hudtype 3, næringsliv
👨🏽‍💼	hudtype 4, kontor, mann, mannlig kontorarbeider, mannlig kontorarbeider: hudtype 4, næringsliv
